username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"kurt_daisley;2013-04-29 16:59;0;0;""@_Mwrightt I'm feelin that"";Baltimore"," MD;@_Mwrightt;;""329022281546338304"";https://twitter.com/kurt_daisley/status/329022281546338304",,,,,,,,
"yung_ndLegit;2013-04-29 16:59;1;0;""""@missSaMaRa_ca: I get mad as hell when I have to take the crust off a pop tart !"" AMEN"";Havre de Grace"," MD;@missSaMaRa_ca;;""329022274348908544"";https://twitter.com/yung_ndLegit/status/329022274348908544",,,,,,,,
"Delo_Taylor;2013-04-29 16:59;0;1;""@raven_rainfall @boricuafudd @dmcginity @Vickie627 The loser couldn't even pay his own rent but thought he ran the NH. #FuckOuttaHere"";Washington"," DC;@raven_rainfall @boricuafudd @dmcginity @Vickie627;#FuckOuttaHere;""329022270825701377"";https://twitter.com/Delo_Taylor/status/329022270825701377",,,,,,,,
"L4UR3NM1CH3LL3;2013-04-29 16:59;0;0;""I'm feeling really sick..."";South Laurel"," MD;;;""329022269722619904"";https://twitter.com/L4UR3NM1CH3LL3/status/329022269722619904",,,,,,,,
"GeeDee215;2013-04-29 16:59;0;1;""On a Very Special Episode of #MadMen ..."";Washington"," DC;;#MadMen;""329022269206704128"";https://twitter.com/GeeDee215/status/329022269206704128",,,,,,,,
"trali1975;2013-04-29 16:59;0;0;""I'm at Trader Joe's (Springfield"," VA) http:// 4sq.com/Zwvy1u"";;;;""329022267428323328"";https://twitter.com/trali1975/status/329022267428323328",,,,,,,,
"carabahniuk;2013-04-29 16:59;1;4;""Just finished Issue 15 of @HighlightZine and I leave for Chicago in 2 days. Life is swell."";Redland"," MD;@HighlightZine;;""329022266144854016"";https://twitter.com/carabahniuk/status/329022266144854016",,,,,,,,
"ItsGabyyBoo;2013-04-29 16:59;0;0;""#NP Si No Me Mintieras -24 Horas >>"";Washington"," DC;;#NP;""329022257278115840"";https://twitter.com/ItsGabyyBoo/status/329022257278115840",,,,,,,,
"JaySwann_;2013-04-29 16:59;0;0;""He was like ""oh you live by that Giant? I shop there all the time"," I love that store"" lmfao that had nothing to do with anything hahaha"";Baltimore"," MD;;;""329022249858379777"";https://twitter.com/JaySwann_/status/329022249858379777",,,,,,,
"ChrisKushnir;2013-04-29 16:59;0;0;""I pick things up.... (@Gaffney Gym w/ 3 others) http:// 4sq.com/14KvSxk"";Fort Meade"," MD;@Gaffney;;""329022245798297600"";https://twitter.com/ChrisKushnir/status/329022245798297600",,,,,,,,
