username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kanyabwile;2016-01-07 15:59;0;0;"This brother is a servant and soon to be aficionado of old school R&B! #SimeonTrust @Chicago,… https://www. instagram.com/p/BAQdSCGl2mR/";Chicago, IL;@Chicago;#SimeonTrust;"685249551473733632";https://twitter.com/kanyabwile/status/685249551473733632
LeFilthMart;2016-01-07 15:59;3;8;"mikefromfilthmart art A wine collaboration with @jennylewis @domainela @lcfwino @Filth Mart https://www. instagram.com/p/BAQdR1VD0ME/";West Hollywood, CA;@jennylewis @domainela @lcfwino @Filth;;"685249549418532864";https://twitter.com/LeFilthMart/status/685249549418532864
gabriileone;2016-01-07 15:59;0;2;"Tb to cali, take me back @Huntington Beach, California https://www. instagram.com/p/BAQdHYiAx95/";Huntington Beach, CA;@Huntington;;"685249548260884480";https://twitter.com/gabriileone/status/685249548260884480
Quake_TrackerOR;2016-01-07 15:59;0;0;"Mag: 2.9 - Depth: 10 km - UTC 11:43 PM - Lakeview, Oregon - USGS Info: http:// wp.me/p1bAUO-I6N";Nevada, USA;;;"685249547048718336";https://twitter.com/Quake_TrackerOR/status/685249547048718336
kentcycle;2016-01-07 15:59;0;0;"Jump Bikes #redlinebmx #radiobikes #raysmtb #kentcycle @Kent Cycle https://www. instagram.com/p/BAQdR2pIRlW/";Kent, OH;@Kent;#redlinebmx #radiobikes #raysmtb #kentcycle;"685249545782050816";https://twitter.com/kentcycle/status/685249545782050816
tonycaldwell;2016-01-07 15:59;0;0;"Wrestling match with my Mount Tabor Spartan family. I can't be with them everyday but my heart… https://www. instagram.com/p/BAQdRmThH8v/";Clemmons, NC;;;"685249545630953472";https://twitter.com/tonycaldwell/status/685249545630953472
flak0;2016-01-07 15:59;0;0;"DOUBLE TAP IF U #legday 235lbs x 15 x 4 sets This is how you squat, always break parallel… https://www. instagram.com/p/BAQdRw0rbEg/";Pembroke Pines, FL;;#legday;"685249545605877761";https://twitter.com/flak0/status/685249545605877761
LizFitLife;2016-01-07 15:59;0;0;"My backup! _traderjoes_ #blueberries #almonds #kale #broccolislaw #instagood #broccoli #green … https://www. instagram.com/p/BAQdRwWmdE6/";Winston-Salem, NC;;#blueberries #almonds #kale #broccolislaw #instagood #broccoli #green;"685249544347611136";https://twitter.com/LizFitLife/status/685249544347611136
LeanOnLindsay;2016-01-07 15:59;0;0;"Cigar therapy before heading out! #greenvillesc #realestate #cruise (@Outman Cigar and Martini Bar) https://www. swarmapp.com/c/9i0EYSjlX0b";Greenville, SC;@Outman;#greenvillesc #realestate #cruise;"685249538848862208";https://twitter.com/LeanOnLindsay/status/685249538848862208
annatreppa;2016-01-07 15:59;0;0;"love my little one @Detroit Skating Club https://www. instagram.com/p/BAQdRqKLxiZ/";Bloomfield Township, MI;@Detroit;;"685249538295246849";https://twitter.com/annatreppa/status/685249538295246849
