username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FeralFerguson;2012-07-29 16:54;1;1;"What will happen when the sun goes down? #Anaheim";Anaheim, CA;;#Anaheim;"229726673023684608";https://twitter.com/FeralFerguson/status/229726673023684608
FizzOpera;2012-07-29 16:54;0;0;"Upgraded to a suite because we are loud. Well, I'm loud. But I have to sing every day dangit. (@Hilton Anaheim ) http:// 4sq.com/PZnjow";;@Hilton;;"229726625850355712";https://twitter.com/FizzOpera/status/229726625850355712
FeralFerguson;2012-07-29 16:53;1;0;"The last hour has seen police gradually stand down. Horses still in scene. #Anaheim #AnaheimPolice";Anaheim, CA;;#Anaheim #AnaheimPolice;"229726472238149633";https://twitter.com/FeralFerguson/status/229726472238149633
ashleyjayhaha;2012-07-29 16:49;0;0;"I'm at Disney California Adventure Park ( Anaheim , CA) w/ 26 others http:// 4sq.com/MtbuUK";Anaheim, CA;;;"229725255172780034";https://twitter.com/ashleyjayhaha/status/229725255172780034
thebenconroy;2012-07-29 16:40;0;0;"M-I-C... K-E-Y ... M-O-U-S-E!! @Angel Stadium of Anaheim http:// instagr.am/p/NrveYlpIDs/";Anaheim, CA;@Angel;;"229723127414939648";https://twitter.com/thebenconroy/status/229723127414939648
topix_insight;2012-07-29 16:31;0;0;"Anaheim protest shuts Harbor at Ball Road - http:// bit.ly/QFDswT #DanaPoint #California";Anaheim, CA;;#DanaPoint #California;"229720795541274624";https://twitter.com/topix_insight/status/229720795541274624
luckyducky_170;2012-07-29 16:20;0;0;"I'm at Ralphs ( Anaheim , CA) http:// 4sq.com/M3iV3t";;;;"229718183664316416";https://twitter.com/luckyducky_170/status/229718183664316416
FizzOpera;2012-07-29 16:12;0;0;"I'm at Mickey & Friends Tram ( Anaheim , CA) w/ 4 others http:// 4sq.com/QFww2O";Anaheim, CA;;;"229715991607799808";https://twitter.com/FizzOpera/status/229715991607799808
ATaylor_2;2012-07-29 16:11;0;0;"Angel game in some great seats. @Angel Stadium of Anaheim http:// instagr.am/p/NrsVApTZZR/";Anaheim, CA;@Angel;;"229715912083779584";https://twitter.com/ATaylor_2/status/229715912083779584
MrsNoNoKnows;2012-07-29 16:11;0;0;"She got to run the bases! @Angel Stadium of Anaheim http:// instagr.am/p/NrsZgbH8HB/";Anaheim, CA;@Angel;;"229715805435219968";https://twitter.com/MrsNoNoKnows/status/229715805435219968
JulezBeKlassy;2012-07-29 15:59;0;0;"I'm at Indiana Jones Adventure: Temple of the Forbidden Eye ( Anaheim , CA) w/ 3 others http:// 4sq.com/MVfheg";Anaheim, CA;;;"229712735590572032";https://twitter.com/JulezBeKlassy/status/229712735590572032
FeralFerguson;2012-07-29 15:58;1;0;"Tensions have diminished somewhat. Still a lot of people at #Anaheim police station.";Anaheim, CA;;#Anaheim;"229712652123918336";https://twitter.com/FeralFerguson/status/229712652123918336
elsagoes;2012-07-29 15:55;0;0;"@Angel Stadium of Anaheim http:// instagr.am/p/NrqrXSwOlU/";Anaheim, CA;@Angel;;"229711767440334848";https://twitter.com/elsagoes/status/229711767440334848
McCool_88;2012-07-29 15:55;0;0;"I'm at Disney California Adventure Park ( Anaheim , CA) w/ 23 others http:// 4sq.com/Q2bqil";Anaheim, CA;;;"229711708824944640";https://twitter.com/McCool_88/status/229711708824944640
JulezBeKlassy;2012-07-29 15:54;0;0;"I'm at Pongo Parking Lot ( Anaheim , CA) http:// 4sq.com/Mt85Fk";Anaheim, CA;;;"229711633046450178";https://twitter.com/JulezBeKlassy/status/229711633046450178
FeralFerguson;2012-07-29 15:49;1;0;"#Anaheim #APDriot pic.twitter.com/qL35oWAe";Anaheim, CA;;#Anaheim #APDriot;"229710387510124545";https://twitter.com/FeralFerguson/status/229710387510124545
FeralFerguson;2012-07-29 15:49;1;0;"#Anaheim #APDriot #AnaheimPolice pic.twitter.com/pljW6lTW";Anaheim, CA;;#Anaheim #APDriot #AnaheimPolice;"229710159084142594";https://twitter.com/FeralFerguson/status/229710159084142594
FeralFerguson;2012-07-29 15:48;0;0;"#Anaheim #APDriot #AnaheimPolice pic.twitter.com/YYv6lJQm";Anaheim, CA;;#Anaheim #APDriot #AnaheimPolice;"229710053349933057";https://twitter.com/FeralFerguson/status/229710053349933057
FeralFerguson;2012-07-29 15:43;4;0;"Pig shit? #Anaheim #AnaheimPolice ststion pic.twitter.com/JY5AFF9S";Anaheim, CA;;#Anaheim #AnaheimPolice;"229708743980503040";https://twitter.com/FeralFerguson/status/229708743980503040
mikschne;2012-07-29 15:41;0;0;"I'm at Angel Stadium of Anaheim for Tampa Bay Rays vs. Los Angeles Angels ( Anaheim , CA) w/ 90 others http:// 4sq.com/MeAKCD";;;;"229708344330436608";https://twitter.com/mikschne/status/229708344330436608
screeny;2012-07-29 15:41;3;2;"Disneyland patrol kettling park guests in anticipation of parade. The crowd responds by sitting en masse. #anaheim pic.twitter.com/qUdYoyo3";Anaheim, CA;;#anaheim;"229708127128387584";https://twitter.com/screeny/status/229708127128387584
EdJoyce;2012-07-29 15:38;0;0;"Occupy presence at #Anaheim protests. http:// latimesblogs.latimes.com/lanow/2012/07/ anaheim-crowd-chants-am-i-next-outside-police-station.html …";Newport Beach, CA;;#Anaheim;"229707478378618880";https://twitter.com/EdJoyce/status/229707478378618880
djsatisfaction;2012-07-29 15:38;0;0;"I'm at Toy Story Midway Mania! ( Anaheim , CA) w/ 5 others http:// 4sq.com/M3cMEh";Anaheim, CA;;;"229707444622864384";https://twitter.com/djsatisfaction/status/229707444622864384
deeeep;2012-07-29 15:30;0;0;"I'm at Grizzly River Run ( Anaheim , CA) w/ 2 others http:// 4sq.com/M3bF7M";Anaheim, CA;;;"229705439862992897";https://twitter.com/deeeep/status/229705439862992897
FeralFerguson;2012-07-29 15:26;2;0;""get the animals off the horse!" #AnaheimPolice #Anaheim pic.twitter.com/Q9bOqG0d";Anaheim, CA;;#AnaheimPolice #Anaheim;"229704510338125825";https://twitter.com/FeralFerguson/status/229704510338125825
Drew1980;2012-07-29 15:25;0;0;"I'm at Disney's Aladdin - A Musical Spectacular ( Anaheim , CA) w/ 3 others http:// 4sq.com/P7LFsw";Anaheim, CA;;;"229704196365115392";https://twitter.com/Drew1980/status/229704196365115392
FeralFerguson;2012-07-29 15:25;15;2;"#AnaheimPolice #Anaheim pic.twitter.com/zZ3EpjUt";Anaheim, CA;;#AnaheimPolice #Anaheim;"229704148860432384";https://twitter.com/FeralFerguson/status/229704148860432384
Kella_Bella;2012-07-29 15:24;0;0;"Angels game with my best friend. Sox aren't even playing @Angel Stadium of Anaheim http:// instagr.am/p/NrnCdbsfFC/";Anaheim, CA;@Angel;;"229703877707059202";https://twitter.com/Kella_Bella/status/229703877707059202
