username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,,,
"cfwarde;2014-11-28 15:54;0;0;""I'm at Lebanese Taverna in Baltimore "," MD https://www. swarmapp.com/c/6Sy9gK6tKwd"";Baltimore"," MD;;;""538481170221400064"";https://twitter.com/cfwarde/status/538481170221400064",,,,,,,,,,
"baltimore311;2014-11-28 15:53;0;0;""Opened Street Light Out request via Android at 112 N Kenwood Ave Baltimore http:// spot.cx/1HLXenN . Street light cycles on and off every m..."";Baltimore"," MD;;;""538480802586439681"";https://twitter.com/baltimore311/status/538480802586439681",,,,,,,,,,,
"47RAC;2014-11-28 15:52;0;0;""It's been a long day. (@300 E North Ave. in Baltimore "," MD) https://www. swarmapp.com/c/66Kc07DNYUn"";Baltimore"," MD;@300;;""538480491301969921"";https://twitter.com/47RAC/status/538480491301969921",,,,,,,,,,
"JayStank;2014-11-28 15:47;0;0;""Food and drink time. (@Baltimore / Washington International Thurgood Marshall Airport (BWI) in Baltimore "," MD) https://www. swarmapp.com/c/iTKIEIfT5Wv"";Severn"," MD;@Baltimore;;""538479304884371456"";https://twitter.com/JayStank/status/538479304884371456",,,,,,,,,,
"pperpk;2014-11-28 15:38;1;0;""Dinner (@Spirit of Baltimore in Baltimore "," MD) https://www. swarmapp.com/c/lJSz4wSqISz pic.twitter.com/pB3D5ezfSS"";Baltimore"," MD;@Spirit;;""538477171812368384"";https://twitter.com/pperpk/status/538477171812368384",,,,,,,,,,
"BiebsFtCamMbJJ;2014-11-28 15:35;0;0;""Baltimore #MTVStars Justin Bieber pic.twitter.com/EP6ZDsFgFg"";Baltimore"," MD;;#MTVStars;""538476268401217536"";https://twitter.com/BiebsFtCamMbJJ/status/538476268401217536",,,,,,,,,,,
"LoveMyOpinions;2014-11-28 15:27;0;0;""@ShaiVaughnC wait really??? I moved here 6 months ago. I am still trying to find my way around Baltimore . LOL where you stay?"";Towson"," MD;@ShaiVaughnC;;""538474213519405056"";https://twitter.com/LoveMyOpinions/status/538474213519405056",,,,,,,,,,,
"pperpk;2014-11-28 15:23;1;0;""Dinner (@Spirit of Baltimore in Baltimore "," MD) https://www. swarmapp.com/c/jpT2K5Jc0o4 pic.twitter.com/SkVsYfIXB0"";Baltimore"," MD;@Spirit;;""538473194118979585"";https://twitter.com/pperpk/status/538473194118979585",,,,,,,,,,
"Blaque_Noir;2014-11-28 15:21;0;1;""I'm at Hazelwood Inn in Baltimore "," MD w/ @mralexander85 https://www. swarmapp.com/c/06UNRhp5EbT"";Rosedale"," MD;@mralexander85;;""538472709924352000"";https://twitter.com/Blaque_Noir/status/538472709924352000",,,,,,,,,,
"stonecoal211;2014-11-28 15:20;0;0;""Gotta love Baltimore"";Woodlawn"," MD;;;""538472426842365952"";https://twitter.com/stonecoal211/status/538472426842365952",,,,,,,,,,,
"usamahsiddiqui;2014-11-28 15:03;0;0;""#TGIF !!! Fridays are officially #HookahNights in Baltimore ! make it a #HookahNight tonight withâ€_ http:// instagram.com/p/v9g26Zg-g2/"";Baltimore"," MD;;#TGIF #HookahNights #HookahNight;""538468214242410497"";https://twitter.com/usamahsiddiqui/status/538468214242410497",,,,,,,,,,,
