username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vecanoi;2011-08-09 16:34;0;0;"Let's hope Bristol stays quiet and peaceful tonight. Night peeps #bristolriots #londonriots #riots";City of Bristol, England;;#bristolriots #londonriots #riots;"101073931762532352";https://twitter.com/vecanoi/status/101073931762532352
shinyperson;2011-08-09 16:29;0;0;"@jlefuller @AlecBaldwin Bristol 's been clear and quiet. sterling job by police here, dispelling the very few that were out to cause trouble.";City of Bristol, England;@jlefuller @AlecBaldwin;;"101072731633758209";https://twitter.com/shinyperson/status/101072731633758209
NSGL_Limited;2011-08-09 16:29;0;0;"Been here since 9 (@Bristol Royal Infirmary) http://4sq.com/pski7c";;@Bristol;;"101072685458657280";https://twitter.com/NSGL_Limited/status/101072685458657280
EastvilleErn;2011-08-09 16:10;0;0;"@vix2833 hiya vix, I take it you've decided against a trip to bristol this weekend. Do you subscribe to the (cont) http://tl.gd/c9modu";South Gloucestershire, England;@vix2833;;"101067841951895552";https://twitter.com/EastvilleErn/status/101067841951895552
Ninjacat10;2011-08-09 16:08;1;0;"All is quiet in Bristol so get to bed @clasimmons and @shawnsobers before the coach turns back to a pumpkin xxx";City of Bristol, England;@clasimmons @shawnsobers;;"101067230271377408";https://twitter.com/Ninjacat10/status/101067230271377408
_notlucas;2011-08-09 15:16;0;0;"@townerss ah :D i live more in bristol than gloustershire though";South Gloucestershire, England;@townerss;;"101054271331643392";https://twitter.com/_notlucas/status/101054271331643392
AndrewRilstone;2011-08-09 15:08;0;0;"In a more accurate sense I am listening to a man play the b Hurdy gurdy while parts of Bristol smoulder slightly.";Bath and North East Somerset, England;;;"101052295390834688";https://twitter.com/AndrewRilstone/status/101052295390834688
InventioAudio;2011-08-09 15:04;0;0;"All quiet in #Bristol by the sounds if it. Let's keep it that way.";City of Bristol, England;;#Bristol;"101051334702276608";https://twitter.com/InventioAudio/status/101051334702276608
GemaAppleheadJ;2011-08-09 14:16;0;0;"@hollytraversx the primark has most certainly NOT been burnt down - people scaremongering - Bristol is quiet at mo #fact #nobristolriotyet";City of Bristol, England;@hollytraversx;#fact #nobristolriotyet;"101039160919457792";https://twitter.com/GemaAppleheadJ/status/101039160919457792
MaxineMHS;2011-08-09 14:10;0;0;"RT @KirstyGardner : Avon and Somerset police issue pictures of people filmed in Bristol during disturbances last night http:// bit.ly/q7cMMq";City of Bristol, England;@KirstyGardner;;"101037574428176384";https://twitter.com/MaxineMHS/status/101037574428176384
Packer991;2011-08-09 14:00;0;0;"Any news on Bristol tonight?";City of Bristol, England;;;"101035260657156096";https://twitter.com/Packer991/status/101035260657156096
jonathan_may;2011-08-09 13:48;0;0;"RT @BristolRiots: Avon/Somerset police have confirmed that everywhere is riot-free, Citywide. <- well done so far bristol . Fingers crossed.";City of Bristol, England;@BristolRiots;;"101032138597609472";https://twitter.com/jonathan_may/status/101032138597609472
AamirWani;2011-08-09 13:46;0;0;"Can anyone confirm if there are any riots in bristol ? #BristolRiots #LondonRiots";City of Bristol, England;;#BristolRiots #LondonRiots;"101031582059593728";https://twitter.com/AamirWani/status/101031582059593728
ParaPhil1978;2011-08-09 13:14;0;0;"@BabyCat_240210 @_clairerichards thanks guys have passed it onto the people I'm working with in Bristol - thank you it's appreciated x";South Gloucestershire, England;@BabyCat_240210 @_clairerichards;;"101023620582748160";https://twitter.com/ParaPhil1978/status/101023620582748160
perunov;2011-08-09 13:14;0;0;"I'm at The Mall (The Mall, Bristol ) [pic]: http://4sq.com/ntE2Jm";City of Bristol, England;;;"101023456241528832";https://twitter.com/perunov/status/101023456241528832
amberanima;2011-08-09 13:01;1;0;"Glaziers out in force #cabotcircus #Bristol http:// twitpic.com/63ku2z";City of Bristol, England;;#cabotcircus #Bristol;"101020389441933312";https://twitter.com/amberanima/status/101020389441933312
catspin;2011-08-09 12:55;0;0;"No riots here in St. Paul's yet. Let's keep it that way Bristol . (@Bristol Cider House) http://4sq.com/oOn6pz";;@Bristol;;"101018805676941313";https://twitter.com/catspin/status/101018805676941313
mikeymfc9;2011-08-09 12:45;0;0;"I'm at The Royal (Pier Road , Portishead , BS20 9HG, btw Pier Road and Woodlands Road, Bristol ) http://4sq.com/q17Ogd";North Somerset, England;;;"101016179115704320";https://twitter.com/mikeymfc9/status/101016179115704320
pubby;2011-08-09 11:57;0;0;"On one of the main roads into Bristol . No sign of anything untoward thus far. Except a broken window. http:// yfrog.com/klzlckij";City of Bristol, England;;;"101004105299935233";https://twitter.com/pubby/status/101004105299935233
GemaAppleheadJ;2011-08-09 11:51;0;0;"@ispringel I'm in Bristol city centre and all very quiet, a large police presence - but no sign of trouble! X";City of Bristol, England;@ispringel;;"101002682919157760";https://twitter.com/GemaAppleheadJ/status/101002682919157760
GemaAppleheadJ;2011-08-09 11:48;0;0;"@BuddingGenius heard it might kick-off there but not had anything confirmed, I'm central Bristol , hoping I don't get kept awake again 2nite";City of Bristol, England;@BuddingGenius;;"101001996567453696";https://twitter.com/GemaAppleheadJ/status/101001996567453696
MyGeekLifeSoFar;2011-08-09 11:47;0;0;"@R3vo71 lots of people were sent home early from business in #bristol city centre on basis of police advice... Trouble expected?";City of Bristol, England;@R3vo71;#bristol;"101001633911152640";https://twitter.com/MyGeekLifeSoFar/status/101001633911152640
MyGeekLifeSoFar;2011-08-09 11:43;0;0;"Helicopter just went speeding overhead towards #bristol city centre #Riots ?";City of Bristol, England;;#bristol #Riots;"101000584190107648";https://twitter.com/MyGeekLifeSoFar/status/101000584190107648
em_sey;2011-08-09 11:37;0;0;"RT @StephenMerchent : Not fucking Bristol #prayforlondon #londonriots #NOTFUCKINGBRISTOL";City of Bristol, England;@StephenMerchent;#prayforlondon #londonriots #NOTFUCKINGBRISTOL;"100999103177175040";https://twitter.com/em_sey/status/100999103177175040
smithiecat;2011-08-09 11:35;0;0;"@IkeTheKidd ow no not good in Bristol they have tried to set the new shopping centre on fire. Stay safe. Xx";City of Bristol, England;@IkeTheKidd;;"100998613437661184";https://twitter.com/smithiecat/status/100998613437661184
KevinC;2011-08-09 11:33;0;0;"@GrantLCBCR3 I can talk to you about the riots in #Bristol but it's terribly dull. I slept through them.If it kicks off on my way home tho..";City of Bristol, England;@GrantLCBCR3;#Bristol;"100998146255110144";https://twitter.com/KevinC/status/100998146255110144
clubbedtodeath;2011-08-09 11:32;0;0;"Sep 3, 2011: Poetry on the Border at The Drill Hall, Chepstow http://bit.ly/pz9wiW [ #Bristol ]";Monmouthshire, Wales;;#Bristol;"100997926360334337";https://twitter.com/clubbedtodeath/status/100997926360334337
AnturGyffrous;2011-08-09 11:17;0;0;"@BristolRiots No credibility in report of fire in Primark on The Horsefair in #Bristol . #riot http://lockerz.com/s/128097864";City of Bristol, England;@BristolRiots;#Bristol #riot;"100994186031013888";https://twitter.com/AnturGyffrous/status/100994186031013888
AnturGyffrous;2011-08-09 11:06;0;0;"@BristolRiots All quiet with no sign of trouble in Cabots Circus in #Bristol at 7pm this evening. #riot http://lockerz.com/s/128095200";City of Bristol, England;@BristolRiots;#Bristol #riot;"100991330154590209";https://twitter.com/AnturGyffrous/status/100991330154590209
oneexwidow;2011-08-09 10:43;0;0;"I'm at Queen Square (Queen Square, Bristol ) http://4sq.com/nllsHd";;;;"100985501959462912";https://twitter.com/oneexwidow/status/100985501959462912
esteluk;2011-08-09 10:29;0;0;"East street might look as if it's been trashed and downtrodden, but that's how it usually looks #bedminster #bristol http:// yfrog.com/h83vwvgj";City of Bristol, England;;#bedminster #bristol;"100982061233471488";https://twitter.com/esteluk/status/100982061233471488
grahamspiller;2011-08-09 10:09;1;0;"Follow @BristolRiots for VERIFIED, Un-Exaggerated info. #bristol #riots";City of Bristol, England;@BristolRiots;#bristol #riots;"100976916273700864";https://twitter.com/grahamspiller/status/100976916273700864
pablup;2011-08-09 09:30;0;0;"bonita ciudad Bristol";City of Bristol, England;;;"100967089011040256";https://twitter.com/pablup/status/100967089011040256
Cooombsy;2011-08-09 09:25;1;0;"#bristolriots Too early for any trouble yet, this is Bristol , you'll need a good 8 cans of Natch in you to get in the mood. #themildwest";City of Bristol, England;;#bristolriots #themildwest;"100965954841882625";https://twitter.com/Cooombsy/status/100965954841882625
Loumat33;2011-08-09 09:15;0;0;"Plane 'broken' disembarked, stranded at Bristol airport - good old @easyJet . A bl*#%y expensive ticket too as last minute... No info yet";North Somerset, England;@easyJet;#;"100963433020788737";https://twitter.com/Loumat33/status/100963433020788737
Radish656;2011-08-09 08:58;0;0;"Bristol riots bbc radio bristol just announced trouble on Cheltenham rd near Tescos ! Again get home ladies and gents!";City of Bristol, England;;;"100959187605008385";https://twitter.com/Radish656/status/100959187605008385
jonathan_may;2011-08-09 08:56;0;0;"Bristol situation update anyone? Kind of stuck wrong side of centre.";City of Bristol, England;;;"100958744321601536";https://twitter.com/jonathan_may/status/100958744321601536
andyranyard;2011-08-09 08:51;0;0;"Sitting in starbucks in Bristol temple mead station. No riots here or along the main drag from cabot circus! http://yfrog.com/h4g5ltfj";City of Bristol, England;;;"100957298683424768";https://twitter.com/andyranyard/status/100957298683424768
su_quinn;2011-08-09 08:49;0;0;"Back in Bristol (@University of the West of England) http://4sq.com/po97y7";South Gloucestershire, England;@University;;"100956891504586752";https://twitter.com/su_quinn/status/100956891504586752
MJHaney;2011-08-09 08:48;0;0;"Ahhh, coffee in the sunshine in Bristol . A theme is developing here :-) #fb";City of Bristol, England;;#fb;"100956536641290240";https://twitter.com/MJHaney/status/100956536641290240
AamirWani;2011-08-09 08:38;0;0;"Alright that's it news of rioting coming in from various parts of #bristol #LondonRiots";City of Bristol, England;;#bristol #LondonRiots;"100954161968988160";https://twitter.com/AamirWani/status/100954161968988160
annahillieer;2011-08-09 08:36;0;0;"@HayleyJadeCass yeah it is! The riots have spread to Bristol as well. I'm going to Spain(a)";South Gloucestershire, England;@HayleyJadeCass;;"100953726415667201";https://twitter.com/annahillieer/status/100953726415667201
yuriyuke;2011-08-09 08:14;0;0;"Bengong :( (@Bristol Airport (BRS) w/ 2 others) http://4sq.com/qQcNS8";;@Bristol;;"100947987114631168";https://twitter.com/yuriyuke/status/100947987114631168
pablup;2011-08-09 08:11;0;0;"en Bristol";City of Bristol, England;;;"100947242676002816";https://twitter.com/pablup/status/100947242676002816
pubby;2011-08-09 07:52;0;0;"Why is the Bristol to Waterloo service described as 'continues to Waterloo'?";City of Bristol, England;;;"100942515737333760";https://twitter.com/pubby/status/100942515737333760
AamirWani;2011-08-09 07:50;0;0;"@yassermajid well thr are rumours of rioting in bristol . Some say they are going to burn the shops in town today. Even work security befd up";City of Bristol, England;@yassermajid;;"100942077579362306";https://twitter.com/AamirWani/status/100942077579362306
Baxfail;2011-08-09 07:47;0;0;"'I can't believe that monkey just stood up and bummed his missus!!!' - @TeamRivers , 2011. Bristol Zoo has stolen his innocence, apparently.";City of Bristol, England;@TeamRivers;;"100941340342366208";https://twitter.com/Baxfail/status/100941340342366208
