username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Chicago_CP;2016-03-19 14:59;0;0;"Protesters arrested for blocking highway to Trump event in Arizona http:// abc7.ws/1UcJQBG";Chicago, IL;;;"711311063212371968";https://twitter.com/Chicago_CP/status/711311063212371968
Nelsonmln;2016-03-19 12:23;0;0;"I'm at Trump International Hotel & Tower - @trumpcollection in Chicago, IL https://www. swarmapp.com/c/0c788e0jvhj";Chicago, IL;@trumpcollection;;"711271818775150593";https://twitter.com/Nelsonmln/status/711271818775150593
Krazeville;2016-03-19 11:54;0;0;"Probably one of the best signs from #c2e2 in #chicago so simple yet so funny. #trump #lexluthor … https://www. instagram.com/p/BDJTiFlxl1N/";Chicago, IL;;#c2e2 #chicago #trump #lexluthor;"711264556601901056";https://twitter.com/Krazeville/status/711264556601901056
Shane;2016-03-18 20:04;1;8;"Trump Tower. @Trump Towers https://www. instagram.com/p/BDHm3z7vlpP/";Chicago, IL;@Trump;;"711025614354931712";https://twitter.com/Shane/status/711025614354931712
Chicago_CP;2016-03-18 19:45;1;0;"Fox News slams Donald Trump for repeated Twitter tirades against Megyn Kelly http:// trib.in/1R5Z737";Chicago, IL;;;"711020632461352960";https://twitter.com/Chicago_CP/status/711020632461352960
jfs1719481;2016-03-18 19:04;0;0;"@realDonaldTrump Go Trump ! Forget Foxes Kelly . Move on to the Oval Office.";Cicero, IL;@realDonaldTrump;;"711010436141830144";https://twitter.com/jfs1719481/status/711010436141830144
EngageLASpaces;2016-03-18 16:53;0;0;"#Trump #hotdogs on sale in the #Chi @The Wiener's Circle https://www. instagram.com/p/BDHQ_Kcsm0Z/";Chicago, IL;@The;#Trump #hotdogs #Chi;"710977474214105088";https://twitter.com/EngageLASpaces/status/710977474214105088
juanicearras;2016-03-18 15:33;0;0;"Simplemente Chicago @Trump International Hotel & Tower Chicago https://www. instagram.com/p/BDHHxgIMBTN/";Chicago, IL;@Trump;;"710957215142821888";https://twitter.com/juanicearras/status/710957215142821888
OuvrezLeChien;2016-03-18 14:02;0;0;"It’s up to Trump to curb charged rally atmosphere http:// bit.ly/22szONG #MGWV #TFB #F4F";Chicago, IL;;#MGWV #TFB #F4F;"710934495176695808";https://twitter.com/OuvrezLeChien/status/710934495176695808
jatieko;2016-03-18 13:22;0;0;"This happened. Hahahahahhahahaha #chicago #trump #lol #chicagodog #shenanigans #stpatricksday … https://www. instagram.com/p/BDG4zs7jy-w/";Chicago, IL;;#chicago #trump #lol #chicagodog #shenanigans #stpatricksday;"710924305350193153";https://twitter.com/jatieko/status/710924305350193153
Chicago_CP;2016-03-18 12:40;0;0;"D'oh! "The Simpsons" predicted a Donald Trump presidency 16 years ago http:// trib.in/1UnkT63";Chicago, IL;;;"710913699972644864";https://twitter.com/Chicago_CP/status/710913699972644864
jackboylan1;2016-03-18 11:15;0;0;"Goals. @Trump International Hotel & Tower Chicago https://www. instagram.com/p/BDGqQOMorBI/";Chicago, IL;@Trump;;"710892308028203008";https://twitter.com/jackboylan1/status/710892308028203008
Splinteredones;2016-03-18 09:08;0;1;"@StevieEvilCat @SantasCat @behahn @Mr_Pie @Emma_black_cat I heard you did a rally for Donald Trump . Nice job!";Chicago, IL;@StevieEvilCat @SantasCat @behahn @Mr_Pie @Emma_black_cat;;"710860517615620096";https://twitter.com/Splinteredones/status/710860517615620096
SMOTMJ;2016-03-18 07:37;0;2;"@jephjacques trump is basically pointy-haired boss, except more inept and unloveable.";Chicago, IL;@jephjacques;;"710837558436044800";https://twitter.com/SMOTMJ/status/710837558436044800
WeLLington3rd;2016-03-18 07:37;0;0;"So dad what does this asshat Trump even do for a living? #GrumpyBeaglesUnited #NoChill @Trump … https://www. instagram.com/p/BDGRTNkQdd0/";Chicago, IL;@Trump;#GrumpyBeaglesUnited #NoChill;"710837425782784000";https://twitter.com/WeLLington3rd/status/710837425782784000
kathyanndiaz;2016-03-18 06:51;0;1;"Anonymous Hackers Claim to Release Trump 's Personal Data http://www. newsmax.com/Headline/anony mous-hackers-claim-release/2016/03/17/id/719634 … #Newsmax via @Newsmax_Media";Chicago, IL;@Newsmax_Media;#Newsmax;"710825921821810689";https://twitter.com/kathyanndiaz/status/710825921821810689
Chicago_CP;2016-03-18 04:54;0;0;"Suspicious powder sent to NYC home of Trump 's son http:// nbcchi.com/ZJIxFVQ";Chicago, IL;;;"710796427476074496";https://twitter.com/Chicago_CP/status/710796427476074496
iceincinerator;2016-03-17 22:16;0;0;"The city that held Trump at bay @Chicago, Illinois https://www. instagram.com/p/BDFRLcEHqBbh riCFxBJt-c4Ty4BL_OFv-iteBg0/ …";Chicago, IL;@Chicago;;"710696430994722816";https://twitter.com/iceincinerator/status/710696430994722816
wild100chitown;2016-03-17 20:11;0;0;"Fuck Trump ... @Roseland Area Chicago https://www. instagram.com/p/BDFC11ZKeaJT x8-chtgb5utwqEIG4BI0twLkP80/ …";Chicago, IL;@Roseland;;"710664894862008320";https://twitter.com/wild100chitown/status/710664894862008320
Chicago_CP;2016-03-17 20:01;0;0;"Anonymous claims to have hacked Donald Trump , releases his alleged social security #http:// abc7.ws/1UEXPP2";Chicago, IL;;#http;"710662294674415617";https://twitter.com/Chicago_CP/status/710662294674415617
