username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ARaufQadiri;2015-03-11 16:59;10;10;"Hain Ye Umeed Raza Ko Teri Rahmat Say Shah ﷺ, Naho Zindaniye Dozakh Tera Banda Hoh Kar ﷺ #A 'lahazrat pic.twitter.com/UQXYsI7wIh";Lincolnwood, IL;;#A;"575808414896504832";https://twitter.com/ARaufQadiri/status/575808414896504832
_YoPocahontas;2015-03-11 16:59;0;0;"Lil bitch wanna keep biting me pic.twitter.com/AQ8kb1kXIG";Oak Park, IL;;;"575808411490648064";https://twitter.com/_YoPocahontas/status/575808411490648064
k80478;2015-03-11 16:59;0;1;"I just picked up 2 months full of dog shit from the backyard. Jealous?";Chicago, IL;;;"575808396189896704";https://twitter.com/k80478/status/575808396189896704
lagiabella;2015-03-11 16:59;0;0;"@MuteNeighbor Did she become hissy after the vet visit? Sometimes that happens.";Chicago, IL;@MuteNeighbor;;"575808368784359424";https://twitter.com/lagiabella/status/575808368784359424
AmaraEnyia;2015-03-11 16:59;0;0;"@jasoncblee Moreover my interest has & continues 2 be on policy. I've alrdy shifted focus to make sure key issues are pressed in the runoff.";Chicago, IL;@jasoncblee;;"575808366678773761";https://twitter.com/AmaraEnyia/status/575808366678773761
ElainesHouse_;2015-03-11 16:59;0;0;"“ @quan_guwop : @ElainesHouse_ ”I got a boyfriend. Imma need you to stop..";Chicago, IL;@quan_guwop @ElainesHouse_;;"575808317643190272";https://twitter.com/ElainesHouse_/status/575808317643190272
DyeoJ;2015-03-11 16:59;0;0;"@FrankieG7Chi baking soda remix by borgore";Chicago, IL;@FrankieG7Chi;;"575808311477604352";https://twitter.com/DyeoJ/status/575808311477604352
Jay_thecreator2;2015-03-11 16:59;0;0;"I seriously need some sleep I can't do itt";Chicago, IL;;;"575808271250030593";https://twitter.com/Jay_thecreator2/status/575808271250030593
joeljrocha;2015-03-11 16:59;0;0;"I'm at Rittergut Wine Bar & Social Club in Chicago, IL https://www. swarmapp.com/c/bDfHIVTKibh";Chicago, IL;;;"575808270193000448";https://twitter.com/joeljrocha/status/575808270193000448
Sandra_Veee;2015-03-11 16:59;0;1;"| Instead of studying I took an adventure down by the sea wall | #Chicago #LakeMichigan @Sea Walls https:// instagram.com/p/0G0155F31x/";Chicago, IL;@Sea;#Chicago #LakeMichigan;"575808267617746945";https://twitter.com/Sandra_Veee/status/575808267617746945
Dennnnnise_;2015-03-11 16:59;0;0;"Omg she's so stupid";Brookfield, IL;;;"575808256829997057";https://twitter.com/Dennnnnise_/status/575808256829997057
