username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LKSHHLT;2014-08-15 16:56;0;2;"" @politico : #Breaking : Rick Perry indicted for abuse of power http:// politi.co/1m3aHdS " We this indictment for #Ferguson police chief";Old Jamestown, MO;@politico;#Breaking #Ferguson;"500430821518368768";https://twitter.com/LKSHHLT/status/500430821518368768
CreeLuv314;2014-08-15 16:55;0;0;"Saw a helicopter that looks like it's headed straight to ferguson too.";St John, MO;;;"500430717654822912";https://twitter.com/CreeLuv314/status/500430717654822912
isaiahofficial7;2014-08-15 16:53;0;0;"It was live today ! cc: ____kellie @Ferguson , MO http:// instagram.com/p/rvPHhSS_40/";Ferguson, MO;@Ferguson;;"500430080728788993";https://twitter.com/isaiahofficial7/status/500430080728788993
KalaMendoza;2014-08-15 16:49;0;0;"The Quick Trip of #Ferguson #humanrightsferguson @Quicktrip Ferguson http:// instagram.com/p/rvOpngjkev/";Ferguson, MO;@Quicktrip;#Ferguson #humanrightsferguson;"500429052818120704";https://twitter.com/KalaMendoza/status/500429052818120704
billkotsatos;2014-08-15 16:42;0;1;"The Rev. Jesse Jackson arrives at the QT. #Ferguson #MikeBrown pic.twitter.com/aYnbZaVWCt";Ferguson, MO;;#Ferguson #MikeBrown;"500427423167836160";https://twitter.com/billkotsatos/status/500427423167836160
KalaMendoza;2014-08-15 16:42;0;0;"CNN's donlemon in #Ferguson #humanrightsferguson @QuikTrip http:// instagram.com/p/rvN0WODkdb/";Ferguson, MO;@QuikTrip;#Ferguson #humanrightsferguson;"500427223048802305";https://twitter.com/KalaMendoza/status/500427223048802305
jennwhitmer;2014-08-15 16:39;0;0;"If my people who are called by my name humble themselves, & pray & seek my face...I will heal the land. #Ferguson http:// esv.to/2Chron7.14";Clayton, MO;;#Ferguson;"500426657757270016";https://twitter.com/jennwhitmer/status/500426657757270016
dmwise;2014-08-15 16:39;1;0;"#wellspringchurch #ferguson #thenewstl @WellspringChurchSTL http:// instagram.com/p/rvNguCjI3q/";Ferguson, MO;@WellspringChurchSTL;#wellspringchurch #ferguson #thenewstl;"500426547653009408";https://twitter.com/dmwise/status/500426547653009408
LandonCole;2014-08-15 16:38;0;1;"We out here #Ferguson";Ferguson, MO;;#Ferguson;"500426338638241794";https://twitter.com/LandonCole/status/500426338638241794
stevegiegerich;2014-08-15 16:36;8;0;"Jesse Jackson on w Florissant #Ferguson";Ferguson, MO;;#Ferguson;"500425738898898944";https://twitter.com/stevegiegerich/status/500425738898898944
KevinKellyUSA;2014-08-15 16:34;0;1;"#ferguson #mikebrown @Canfield Green Apartments http:// instagram.com/p/rvM9quuDpF/";Ferguson, MO;@Canfield;#ferguson #mikebrown;"500425343166341120";https://twitter.com/KevinKellyUSA/status/500425343166341120
OckieLocks;2014-08-15 16:29;0;0;"Shout out to back_2_chi_town for running into GPsi in Ferguson ! #mikebrownlaw #movementshift #unity … http:// instagram.com/p/rvMYkRg0ub/";St Louis, MO;;#mikebrownlaw #movementshift #unity;"500424069062623232";https://twitter.com/OckieLocks/status/500424069062623232
KalaMendoza;2014-08-15 16:29;0;0;"Dick Gregory speaking to the protesters in #Ferguson . #humanrightsferguson @QuikTrip http:// instagram.com/p/rvMVYsjkak/";Ferguson, MO;@QuikTrip;#Ferguson #humanrightsferguson;"500423958886633473";https://twitter.com/KalaMendoza/status/500423958886633473
STLTravis;2014-08-15 16:25;0;0;"At the N. Hanley metro station in #stlouis an hour before #Cards game. A tad unusual. #Ferguson ? pic.twitter.com/FWOJfHEnYk";Cool Valley, MO;;#stlouis #Cards #Ferguson;"500422984507850752";https://twitter.com/STLTravis/status/500422984507850752
iSoTatted;2014-08-15 16:23;0;1;"Tweetin live from Ferguson ...TURN UP!!!";Ferguson, MO;;;"500422643296641027";https://twitter.com/iSoTatted/status/500422643296641027
sierramike320;2014-08-15 16:20;0;0;"#Ferguson #MikeBrown @OpFerguson @_jden looks like maybe rain #staysafe pic.twitter.com/R0EnzPbHDl";St Louis, MO;@OpFerguson @_jden;#Ferguson #MikeBrown #staysafe;"500421741022167041";https://twitter.com/sierramike320/status/500421741022167041
FrankLaddSTL;2014-08-15 16:14;0;0;"“ @ryanjreilly : I asked Ron Johnson why #Ferguson cops aren't wearing name tags: http:// huff.to/1BkK3qJ ”";Olivette, MO;@ryanjreilly;#Ferguson;"500420378489913344";https://twitter.com/FrankLaddSTL/status/500420378489913344
KalaMendoza;2014-08-15 16:14;1;0;""We Will Be Heard" #Ferguson #humanrightsferguson @QuikTrip http:// instagram.com/p/rvKpP9jkXm/";Ferguson, MO;@QuikTrip;#Ferguson #humanrightsferguson;"500420243324694529";https://twitter.com/KalaMendoza/status/500420243324694529
enicolemoore;2014-08-15 16:13;0;0;"FOLKS. @RevJesseJackson is at Wellspring UMC. You're not going to want to miss this! #DONTSHOOT #Ferguson #MikeBrown";Ferguson, MO;@RevJesseJackson;#DONTSHOOT #Ferguson #MikeBrown;"500420058238431233";https://twitter.com/enicolemoore/status/500420058238431233
AoctaviusW;2014-08-15 16:11;14;3;"Day 6 #ferguson #mikebrown #LD @QuikTrip http:// instagram.com/p/rvKYKuxLEI/";Ferguson, MO;@QuikTrip;#ferguson #mikebrown #LD;"500419656096968704";https://twitter.com/AoctaviusW/status/500419656096968704
PoloSandovalCNN;2014-08-15 16:08;4;3;"Night 6 of #Ferguson protests underway. Family of #MichaelBrown asking supporters not break the peace. #CNN pic.twitter.com/aXUh42aQzN";Edmundson, MO;;#Ferguson #MichaelBrown #CNN;"500418816308822016";https://twitter.com/PoloSandovalCNN/status/500418816308822016
MAURStoEARTH;2014-08-15 16:07;0;0;"I wanna go on a mission to steal the autopsy report from the Ferguson police station. WHO'S WITH ME?!?!?";St Louis, MO;;;"500418533403418624";https://twitter.com/MAURStoEARTH/status/500418533403418624
