username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Greybeard3;2011-08-09 16:59;0;0;"@MayhemMischief ABC headline is " Manchester Mayhem". What have you done now?";;@MayhemMischief;;"101080298841841665";https://twitter.com/Greybeard3/status/101080298841841665
metallimuse;2011-08-09 16:59;0;0;"@anyamabee its on the verge of starting here.we've had police warnings. Manchester looks bad,you ok?";;@anyamabee;;"101080295264092160";https://twitter.com/metallimuse/status/101080295264092160
kissandcheese;2011-08-09 16:59;0;0;"nao aguento mais ver foto do m&g de manchester /londres sei la aonde foi aquela porra no tumblr";;;;"101080292927873025";https://twitter.com/kissandcheese/status/101080292927873025
georgialomasxox;2011-08-09 16:59;0;0;"genuinelly wanna help clean up manchester tomorrow but im kinda getting my hair done. not to take the piss or anything";;;;"101080291396947969";https://twitter.com/georgialomasxox/status/101080291396947969
BrianPSherryAFC;2011-08-09 16:59;0;0;"@daraobriain sorry forgot to mention it was a Manchester subway on the pic earlier,you really have to be very PC on twitter these days";Dublin City, Ireland;@daraobriain;;"101080287487864832";https://twitter.com/BrianPSherryAFC/status/101080287487864832
harriettbusby;2011-08-09 16:59;0;0;"I think I actually might cry when I see Manchester tomorrow. gettin my head down, night all xx";;;;"101080284438605824";https://twitter.com/harriettbusby/status/101080284438605824
GJLomas;2011-08-09 16:59;0;0;"@jackmarshall2 No the Sikhs were tonight in Manchester not yesterday in London";;@jackmarshall2;;"101080281255133184";https://twitter.com/GJLomas/status/101080281255133184
ferwen;2011-08-09 16:59;0;0;"Now it's Manchester and the Midlands' turn as London braces for FOURTH night of rioting http:// bit.ly/r2KMOS";;;;"101080275127250944";https://twitter.com/ferwen/status/101080275127250944
SamuelthomasUK;2011-08-09 16:59;0;0;"Gonna be promoting again tomorrow guys....these riots have hit manchester now....this is getting manic!";;;;"101080268466692097";https://twitter.com/SamuelthomasUK/status/101080268466692097
MarkHenty;2011-08-09 16:59;0;0;"@GersRafa Happily, London has been pretty quiet tonight cos of 16,000 coppers but there has been more in Liverpool, Manchester etc #crikey";;@GersRafa;#crikey;"101080254260580354";https://twitter.com/MarkHenty/status/101080254260580354
hrnndzmario;2011-08-09 16:59;0;0;"a jugar un partido de football en #Pes2011 Manchester vs Milan :)";;;#Pes2011;"101080247549702144";https://twitter.com/hrnndzmario/status/101080247549702144
reelyadam;2011-08-09 16:59;0;0;"@woodywood143 @TeamTYN Amazing photos of Manchester riots http://www. blottr.com/breaking-news/ manchester-riots-live …";;@woodywood143 @TeamTYN;;"101080238716502017";https://twitter.com/reelyadam/status/101080238716502017
orightmylover;2011-08-09 16:59;0;0;"@David_Hoss not in london really but manchester was bad earlier";;@David_Hoss;;"101080233939173376";https://twitter.com/orightmylover/status/101080233939173376
clinteldorado;2011-08-09 16:59;0;0;"Some rozzer on BBC News said this is the worst day in Manchester 's history. Peterloo massacre, Arndale bombing and Munich air crash, anyone?";;;;"101080233691713536";https://twitter.com/clinteldorado/status/101080233691713536
jodie_shepherd;2011-08-09 16:59;0;0;"Honest sign on the door of Subway #manchester #londonriots on Twitpic: http:// bit.ly/pa5Jag via @AddThis";;@AddThis;#manchester #londonriots;"101080225739309056";https://twitter.com/jodie_shepherd/status/101080225739309056
mynucleus;2011-08-09 16:59;0;0;"(Video) Wesley Sneijder: “I Want To Join Manchester United” http://goo.gl/fb/5djo2";;;;"101080220320268289";https://twitter.com/mynucleus/status/101080220320268289
lynsaydx;2011-08-09 16:59;0;0;"@xvlfx Good. Cause I don't wanna be coming to Manchester and causing riots myself if the fuckers hurt you. hehe! Really? Such a sad thing :(";;@xvlfx;;"101080213206736897";https://twitter.com/lynsaydx/status/101080213206736897
_jbsand;2011-08-09 16:59;0;0;"hugs and cups of teas to all the police in Manchester tonight from the@gmpolice! amazing job, keep going!";;@gmpolice;;"101080213034762240";https://twitter.com/_jbsand/status/101080213034762240
Wayne_James1;2011-08-09 16:59;0;0;"There seems to be shit in manchester , no not the riots... im talking about old trafford!";;;;"101080201114550272";https://twitter.com/Wayne_James1/status/101080201114550272
whatsadomadeof;2011-08-09 16:59;0;0;"Manchester orchesta timeeeee";Pawtucket, RI;;;"101080187969617920";https://twitter.com/whatsadomadeof/status/101080187969617920
reelyadam;2011-08-09 16:59;0;0;"@OriginalColin Amazing photos of Manchester riots http://www. blottr.com/breaking-news/ manchester-riots-live …";;@OriginalColin;;"101080184085676032";https://twitter.com/reelyadam/status/101080184085676032
polypop;2011-08-09 16:59;0;0;"@tammymarinho só se esvaziarem o Reino Unido inteiro... pq já chegou até em Manchester lá no norte O__________O'";;@tammymarinho;;"101080179757154304";https://twitter.com/polypop/status/101080179757154304
sonnyjoeflangan;2011-08-09 16:59;0;0;"It just showed all these young teenagers light up a shop during the day in Manchester ! Their poor families they have embarrassed them!";;;;"101080164804476928";https://twitter.com/sonnyjoeflangan/status/101080164804476928
DWBProductions;2011-08-09 16:59;0;0;"Tips for buying a house in Manchester , NH http://dld.bz/afvpt";;;;"101080158651428864";https://twitter.com/DWBProductions/status/101080158651428864
Xx_Gwen_xX;2011-08-09 16:59;0;0;"I wanted to go to Manchester the other day but can't now because of the #manchesterriots .... Thanks a lot guys! -_-";;;#manchesterriots;"101080157216968704";https://twitter.com/Xx_Gwen_xX/status/101080157216968704
lisa_tibbs;2011-08-09 16:59;0;0;"@OYeoman also Manchester now. Very worried about mine & my husbands friends there";;@OYeoman;;"101080155585392640";https://twitter.com/lisa_tibbs/status/101080155585392640
Walleron;2011-08-09 16:59;0;0;"Make dem kıll Rooney sef RT @MiZz__zURi : Riot don reach manchester oga o!";;@MiZz__zURi;;"101080149168111616";https://twitter.com/Walleron/status/101080149168111616
plum177;2011-08-09 16:59;1;0;"@splash_of_blue Manchester 's organised a volunteer clean-up crew for the morning. Maybe the #prayforlondon people should give that a go.";;@splash_of_blue;#prayforlondon;"101080147121278977";https://twitter.com/plum177/status/101080147121278977
gomarciego;2011-08-09 16:59;0;0;"Quiet now. Hoping it will stay like this and no trouble tomorrow. No shops left to loot. #manchester";;;#manchester;"101080145963663360";https://twitter.com/gomarciego/status/101080145963663360
Rositamar;2011-08-09 16:59;0;0;"RT @guardiannews : Lockdown in London, while trouble flares in Nottingham and Manchester http://gu.com/p/3x5b6/tf";;@guardiannews;;"101080144487264256";https://twitter.com/Rositamar/status/101080144487264256
dandeighan_;2011-08-09 16:59;0;0;"Anyone who calls manchester "Manny" is an imbecile.";;;;"101080142775980033";https://twitter.com/dandeighan_/status/101080142775980033
MrsHaggisHilson;2011-08-09 16:59;0;0;"@gmpolice so glad to hear this. Real Manchester stands up tomorrow. You should be proud of your officers and the real Mancunians!";;@gmpolice;;"101080124321054720";https://twitter.com/MrsHaggisHilson/status/101080124321054720
thirfy;2011-08-09 16:59;0;0;"Zombie apocalypse in Manchester ... wait, my mistake, zombies have higher IQ. Sorry zombies! http:// yfrog.com/ki7ykqjj";;;;"101080123226329088";https://twitter.com/thirfy/status/101080123226329088
sreeragtg;2011-08-09 16:59;0;0;"@LadyQueef I don't know how is it in Manchester ... but it is pretty violent in some areas in here #liverpoolriots";;@LadyQueef;#liverpoolriots;"101080106939842561";https://twitter.com/sreeragtg/status/101080106939842561
AlisonPhilcock;2011-08-09 16:59;0;0;"@The_National Thank you. So sad about the records. Quieter here (London) tonight but pretty bad in Manchester and Liverpool.";;@The_National;;"101080101088804864";https://twitter.com/AlisonPhilcock/status/101080101088804864
mattdbcn;2011-08-09 16:59;0;0;"@Jobonomatopoeia Manchester looks as scary as London did last night. U ok sugar?? Xx";;@Jobonomatopoeia;;"101080073679011840";https://twitter.com/mattdbcn/status/101080073679011840
lydconnolly;2011-08-09 16:59;0;0;"apparently rioters in manchester are carrying axes? erm, seriously?";;;;"101080067005882368";https://twitter.com/lydconnolly/status/101080067005882368
Maci75;2011-08-09 16:58;0;0;"@lukeslocombe @samdavies24 It's quiet tonight in London. But some copycat riots are breaking out in Manchester .";;@lukeslocombe @samdavies24;;"101080062220181506";https://twitter.com/Maci75/status/101080062220181506
DermotODonnell1;2011-08-09 16:58;0;0;"@RyanDoherty123 Absolute scumbag. Least the rioting has died down in Manchester";;@RyanDoherty123;;"101080060836052992";https://twitter.com/DermotODonnell1/status/101080060836052992
WillieKeane;2011-08-09 16:58;0;0;"I bought my piano in @dawsonsmusic in Manchester .";;@dawsonsmusic;;"101080060261445633";https://twitter.com/WillieKeane/status/101080060261445633
JayJr90;2011-08-09 16:58;0;0;"RT @BarclaysLeague : Wesley Sneijder: I want to joing Manchester United: WESLEY SNEIJDER last night admitted for the ... http://tmi.me/eeZ8m";;@BarclaysLeague;;"101080053839962112";https://twitter.com/JayJr90/status/101080053839962112
McBollocksface;2011-08-09 16:58;0;0;"@RachelvsPublic Ah that's what I meant. Loads of footage of looted shops in Manchester and Birmingham but no visuals from Nottingham. Weird.";;@RachelvsPublic;;"101080024001687552";https://twitter.com/McBollocksface/status/101080024001687552
RooftopJaxx;2011-08-09 16:58;0;0;"@blackblocLdn what were they after directions for, Manchester ? #coalstonewcastle";;@blackblocLdn;#coalstonewcastle;"101080020230995968";https://twitter.com/RooftopJaxx/status/101080020230995968
nuezielli;2011-08-09 16:58;0;0;"Los rebeldes de Inglaterra ya entraron a Manchester a hacer sus destrozos.. :/ Pobre de ellos que toquen a Javi :@";;@;;"101080017735397376";https://twitter.com/nuezielli/status/101080017735397376
confondu;2011-08-09 16:58;0;0;"And goodnight also to Manchester ,Liverpool,Birmingham,Leicester,Leeds,Nottingham,Bristol and all of the U.K&World-PEACE to ALL&power x";;;;"101080011850784768";https://twitter.com/confondu/status/101080011850784768
Squibby_;2011-08-09 16:58;0;0;";-) RT @Will_Hoe : People ask me why, as a Londoner, I choose and prefer to live in Manchester - now can you see why?";;@Will_Hoe;;"101079994217934849";https://twitter.com/Squibby_/status/101079994217934849
itsfewster;2011-08-09 16:58;0;0;"@CHATburn_ Yes it is but as well these are pointless thugs who are doing this as manchester liverpool no need to do it but its gunna happen";;@CHATburn_;;"101079991554543617";https://twitter.com/itsfewster/status/101079991554543617
reelyadam;2011-08-09 16:58;0;0;"@shewolfmanc @samgrinsell Amazing photos of Manchester riots http://www. blottr.com/breaking-news/ manchester-riots-live …";;@shewolfmanc @samgrinsell;;"101079981626638336";https://twitter.com/reelyadam/status/101079981626638336
babygurlLC;2011-08-09 16:58;0;0;"Im off 2 bed wishing things will be better 2mrw.Tonight i have my family, my best friend & my lil godson with me.Im so lucky #Manchester";;;#Manchester;"101079979651117056";https://twitter.com/babygurlLC/status/101079979651117056
NayefBH;2011-08-09 16:58;1;0;"One of my favorite cities being destroyed by materialistic asshole youth #Manchester #manchesterRiots";;;#Manchester #manchesterRiots;"101079978048884736";https://twitter.com/NayefBH/status/101079978048884736
AnyaR92;2011-08-09 16:58;0;0;"Riots in Manchester are right near my friend. Add that to a growing list of concerns.";;;;"101079975796543488";https://twitter.com/AnyaR92/status/101079975796543488
wilbossman;2011-08-09 16:58;0;0;"Just seen the video on Sky News of that hoodie setting fire to Manchester Miss Selfridge, very clear footage - let's hope @GMPolice get him.";;@GMPolice;;"101079972399169539";https://twitter.com/wilbossman/status/101079972399169539
HRES_1993;2011-08-09 16:58;0;0;"@ManCityCouncil if the met services are suspended and there are no bus services running in Manchester city centre, how can I get there?!";;@ManCityCouncil;;"101079970025193473";https://twitter.com/HRES_1993/status/101079970025193473
MiZz__zURi;2011-08-09 16:58;0;0;"LOL (y) RT @pharoukue: Shalè wa United :) RT @MiZz__zURi : Omoge Manchester !!!!!!......";;@pharoukue @MiZz__zURi;;"101079952774017024";https://twitter.com/MiZz__zURi/status/101079952774017024
wrenjerr;2011-08-09 16:58;0;0;"@ogiediaz hi ogie, 'di nlng sa London! Me riot n rin sa ct ng Manchester Birmingham at Liverpool";;@ogiediaz;;"101079939327074304";https://twitter.com/wrenjerr/status/101079939327074304
Pcave78;2011-08-09 16:58;0;0;"@mattjgraham forward to greater Manchester police!";;@mattjgraham;;"101079938781810688";https://twitter.com/Pcave78/status/101079938781810688
IainCPatterson;2011-08-09 16:58;0;0;"On my way home from #Manchester . Curious as to what tomorrow night will bring";;;#Manchester;"101079930426769408";https://twitter.com/IainCPatterson/status/101079930426769408
ladymunter;2011-08-09 16:58;0;0;"“ @viceuk : "Subway staff on Piccadilly Gardens show some humour" (via @samuelbreen ) http:// su.pr/24wOhY #Manchester ”";;@viceuk @samuelbreen;#Manchester;"101079927754981377";https://twitter.com/ladymunter/status/101079927754981377
SunniyaAziz;2011-08-09 16:58;0;0;"@Rayhan_999 they showed wolves ithnk and manchester abit they had the name of places they wer showin and yes they are doin a great job! :-)";;@Rayhan_999;;"101079909161635840";https://twitter.com/SunniyaAziz/status/101079909161635840
gesolorzano;2011-08-09 16:58;0;0;"RT @Futbol_Mercado : El Galatasaray se suma al interés por el delantero togolés del Manchester City, Emmanuel Adebayor.";;@Futbol_Mercado;;"101079891046432768";https://twitter.com/gesolorzano/status/101079891046432768
Squibby_;2011-08-09 16:58;0;0;"RT @Will_Hoe : I would love to assist with #riotcleanup , but in #Manchester we have more pride than to trash our own city. #NoManchesterRiots";;@Will_Hoe;#riotcleanup #Manchester #NoManchesterRiots;"101079890949980160";https://twitter.com/Squibby_/status/101079890949980160
rodrigussss;2011-08-09 16:58;0;0;"@angel_stoledo riot kid!! no la lies por manchester que luego sales en las noticias!!!";;@angel_stoledo;;"101079888345309184";https://twitter.com/rodrigussss/status/101079888345309184
SerendipitySays;2011-08-09 16:58;0;0;"@originalslash Glad to here you are both fine - heard conflicting messages on Manchester , Canal Road area etc. Be sure to stay safe, ok?! :)";;@originalslash;;"101079885182799873";https://twitter.com/SerendipitySays/status/101079885182799873
JamesfromTA;2011-08-09 16:58;0;0;"The riots are still continuing in cities in the UK with Birmingham and Manchester now seeing a lot of it.... http://tumblr.com/xzc40225d9";;;;"101079874676072448";https://twitter.com/JamesfromTA/status/101079874676072448
hayleyparker_xx;2011-08-09 16:58;0;0;"@KeshasSleazyHoe Liverpool and Manchester are bad, but I'm okay it's just the cities around me. Thanks for your concern though 8)";;@KeshasSleazyHoe;;"101079865884811265";https://twitter.com/hayleyparker_xx/status/101079865884811265
xvlfx;2011-08-09 16:58;0;0;"@LinziiD_x I aint leaving my house till some normality is in order. They have arrested 47 people just tonight in Manchester , its crazy xx";;@LinziiD_x;;"101079859555606529";https://twitter.com/xvlfx/status/101079859555606529
NinjaTurtleneck;2011-08-09 16:58;0;0;"@pydos aku dgr pagi td dh merebak ke tempat lain, liverpool, manchester . Xda zombie je ni. Kalau x dh mcm 28 Days Later LOL";;@pydos;;"101079852999909376";https://twitter.com/NinjaTurtleneck/status/101079852999909376
