username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
aspenmayer;2011-11-29 20:39;0;0;"“ @jaspergregory : #OccupyCal has a teepee. UC Berkeley lets them keep it up. It is really just a basic form of protest and assembly. #oo ”";Excelsior, San Francisco;@jaspergregory;#OccupyCal #oo;"141738032138170368";https://twitter.com/aspenmayer/status/141738032138170368
jaspergregory;2011-11-29 20:33;0;1;"#OccupyCal has a teepee. UC Berkeley lets them keep it up. It is really just a basic form of protest and assembly. #oo";Oakland, CA;;#OccupyCal #oo;"141736593856798721";https://twitter.com/jaspergregory/status/141736593856798721
yatown_news;2011-11-29 18:02;0;0;"Faculty Senate criticizes response to Occupy Cal protest -UC Berkeley #Cragmont #Berkeley http:// yatown.com/news/Cragmont, Berkeley,CA/Faculty-Senate-criticizes-response-to-Occupy-Cal-protest?pb=UC+Berkeley&lo=Cragmont%2CBerkeley%2CCA&sn=By+Public+Affairs%2C%26mdash%3BUC+Berkeley+%7C+November+29%2C+2011+In+a+packed+room+of+more+than+500+people%2C+the+Berkeley+Academic+Senate+voted+overwhelmingly+Monday+to+approve+a+package+of+four+r.&vi=y&ti=Faculty+Senate+criticizes+response+to+Occupy+Cal+protest&xu=http%3A%2F%2Fnewscenter.berkeley.edu%2F2011%2F11%2F29%2Ffaculty-senate-criticizes-response-to-occupy-cal-protest%2F&im=http%3A%2F%2Fwww.berkeley.edu%2Fnews2%2F2011%2F11%2Fsenate-rjb480.jpg&src=tw …";Berkeley, CA;;#Cragmont #Berkeley;"141698581395550208";https://twitter.com/yatown_news/status/141698581395550208
tigerbeat;2011-11-29 13:43;1;0;"#Egypt protest 5:30pm today #occupySF http:// ow.ly/7HTXl (FB event link) #NoMilTrials #FreeAlaa #noscaf #tahrir";Bernal Heights, San Francisco;;#Egypt #occupySF #NoMilTrials #FreeAlaa #noscaf #tahrir;"141633296797925377";https://twitter.com/tigerbeat/status/141633296797925377
95111;2011-11-28 22:01;0;0;"Jerry Brown says he's 'seriously concerned' about protest response http:// bit.ly/sTjd8t via http:// outside.in/95111";San Jose, CA;;;"141396340428128256";https://twitter.com/95111/status/141396340428128256
tigerbeat;2011-11-28 20:14;2;1;"RT @CapitolAlert Jerry Brown 'seriously concerned' on protest response http:// scnct.us/y6zFc #occupysf #occupydavis #ucdavis #oo #occupycal";SoMa, San Francisco;@CapitolAlert;#occupysf #occupydavis #ucdavis #oo #occupycal;"141369353705762816";https://twitter.com/tigerbeat/status/141369353705762816
Victor_Inzunza;2011-11-28 16:37;0;0;"“ @davidgraeber : Why does this strike me as overkill for a student tuition protest ? http:// lockerz.com/s/160396421 ” Humvees? Really? Where was this?";California, USA;@davidgraeber;;"141314784258826241";https://twitter.com/Victor_Inzunza/status/141314784258826241
Techn0phobe;2011-11-26 15:11;0;0;"@Lord_Sugar wrong tense (he still performs), also he v much didn't/doesn't JUST do protest songs, oh and he can sing (see Johnny Cash duet)";Fisherman's Wharf, San Francisco;@Lord_Sugar;;"140568476464062464";https://twitter.com/Techn0phobe/status/140568476464062464
tigerbeat;2011-11-26 13:39;0;0;"RT @acarvin : And here's that video again of @angryarabiya confronting police during the protest . http:// bit.ly/uOKKf8 #bahrain";Bernal Heights, San Francisco;@acarvin @angryarabiya;#bahrain;"140545320894468098";https://twitter.com/tigerbeat/status/140545320894468098
tigerbeat;2011-11-26 13:31;0;0;"@wwjoehd I just covered the protest (& wasn't there when the Apple store was blocked) You can ask someone who was there why they did it";Bernal Heights, San Francisco;@wwjoehd;;"140543116787720192";https://twitter.com/tigerbeat/status/140543116787720192
Alielo;2011-11-26 09:47;0;0;"People have the God given right to protest and stand against something but I have the same right to talk shit about it If I choose.";Novato, CA;;;"140486896995409920";https://twitter.com/Alielo/status/140486896995409920
jaspergregory;2011-11-26 08:43;3;0;"I suggest that #OccupyBerkeley is more a Modern Hooverville than an #OccupyWallStreet protest . Homeless people who demand visibility #oo";Oakland, CA;;#OccupyBerkeley #OccupyWallStreet #oo;"140470638455422976";https://twitter.com/jaspergregory/status/140470638455422976
nowve;2011-11-26 07:00;0;0;"OWS and the Power of Creative Protest | | AlterNet http:// bit.ly/u40ugf";Berkeley, CA;;;"140444724816396288";https://twitter.com/nowve/status/140444724816396288
occupyclaremont;2011-11-26 01:12;0;0;"@ExposeWarCrimes there will be a protest , anyone interested should be sure not to miss it!";San Mateo, CA;@ExposeWarCrimes;;"140357233845354496";https://twitter.com/occupyclaremont/status/140357233845354496
grahamwoodruff;2011-11-25 17:03;0;0;"#occupysf protest outside my work #ows pic.twitter.com/fSgqbaQX";Downtown, San Francisco;;#occupysf #ows;"140234091764264961";https://twitter.com/grahamwoodruff/status/140234091764264961
abelsfables;2011-11-25 15:52;0;0;"@DaltonHicks17 what you see on the surface may be a " protest parade", but that shows you haven't even slept there or engaged in conversation";Fisherman's Wharf, San Francisco;@DaltonHicks17;;"140216421056643072";https://twitter.com/abelsfables/status/140216421056643072
tigerbeat;2011-11-24 22:39;0;0;"RT @NicDawes One of SA's most significant artists, David Goldblatt, returns order of Ikhamanga in protest #secrecybill http:// ow.ly/1fPchG";Portola, San Francisco;@NicDawes;#secrecybill;"139956389559808000";https://twitter.com/tigerbeat/status/139956389559808000
