username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mariana02713105;2016-06-23 16:38;0;0;"Only in Mamelodi they can steal a ENCA camera #TshwaneUnrest";;;#TshwaneUnrest;"746125404726038536";https://twitter.com/Mariana02713105/status/746125404726038536
bongabotha;2016-06-23 16:34;2;0;"@702Aubrey #TshwaneUnrest consequences pic.twitter.com/fAtWiMHLWc";;@702Aubrey;#TshwaneUnrest;"746124209827495937";https://twitter.com/bongabotha/status/746124209827495937
GODDHAA;2016-06-23 16:25;0;0;"S.A. economists still wondering how the #TshwaneUnrest didn't affect the ZAR moves. Its all GBP now Lol";;;#TshwaneUnrest;"746121985055465476";https://twitter.com/GODDHAA/status/746121985055465476
van_Legobye;2016-06-23 16:06;1;0;"the guy who stood at the street corner everyday, asking you for ishumi. now owns a pair of airforce, wena usahamba nge Tomy #TshwaneUnrest";;;#TshwaneUnrest;"746117207428521984";https://twitter.com/van_Legobye/status/746117207428521984
AntoneithN;2016-06-23 15:54;1;0;"#TshwaneUnrest I'll buy it if only the first mission is to kill Zuma LOL! pic.twitter.com/YqTI3Ht2Mz";;;#TshwaneUnrest;"746114334305161216";https://twitter.com/AntoneithN/status/746114334305161216
HlabirwaDaGuy;2016-06-23 15:53;0;0;"Reaction leadership has no future in South Africa. #TshwaneUnrest #TshwaneViolence #Tshwane";;;#TshwaneUnrest #TshwaneViolence #Tshwane;"746114096567848960";https://twitter.com/HlabirwaDaGuy/status/746114096567848960
Miss_Puse;2016-06-23 15:42;0;0;"Is it safe to travel to Mabopane? Ke gopetse gae #TshwaneUnrest";;;#TshwaneUnrest;"746111183757910016";https://twitter.com/Miss_Puse/status/746111183757910016
Miss_Puse;2016-06-23 15:39;0;1;"Hebanna waitse im not used to Mabopane e tlhatlhakane ke 1st tym in d 28 years of my life ke bona motlholo o. #TshwaneUnrest";;;#TshwaneUnrest;"746110577458700288";https://twitter.com/Miss_Puse/status/746110577458700288
_Dibolo;2016-06-23 15:38;1;1;"Elected in May 2009 and 2014, respectively "@HlabirwaDaGuy_: Does South Africa have a President? #TshwaneUnrest #TshwaneViolence #Tshwane "";;@HlabirwaDaGuy_;#TshwaneUnrest #TshwaneViolence #Tshwane;"746110126315147265";https://twitter.com/_Dibolo/status/746110126315147265
InvestRSA;2016-06-23 15:36;0;0;"#TshwaneUnrest : ANC leaders to meet in a bid to ease ... http:// ewn.co.za/2016/06/22/Tsh waneUnrest-ANC-leaders-to-meet-in-a-bid-to-ease-tensions … #RSA | https:// twibble.io pic.twitter.com/S3xxmxYG6U";;;#TshwaneUnrest #RSA;"746109654673952769";https://twitter.com/InvestRSA/status/746109654673952769
HlabirwaDaGuy;2016-06-23 15:35;0;0;"Does South Africa have a President? #TshwaneUnrest #TshwaneViolence #Tshwane";;;#TshwaneUnrest #TshwaneViolence #Tshwane;"746109499413528576";https://twitter.com/HlabirwaDaGuy/status/746109499413528576
bassybee_kby;2016-06-23 15:05;0;0;"Criminal minds and laziness hiding amongst a hurt people #TshwaneUnrest";;;#TshwaneUnrest;"746101826727120896";https://twitter.com/bassybee_kby/status/746101826727120896
bassybee_kby;2016-06-23 15:04;0;0;"Son of the Soil, where is your sense of Black Pride???? #TshwaneUnrest";;;#TshwaneUnrest;"746101665040826368";https://twitter.com/bassybee_kby/status/746101665040826368
bassybee_kby;2016-06-23 15:03;0;0;"Opportunistic criminals taking advantage and hiding amongst genuine protesters disgust me #TshwaneUnrest";;;#TshwaneUnrest;"746101442407178241";https://twitter.com/bassybee_kby/status/746101442407178241
Hajar011;2016-06-23 15:03;1;2;"It's like every year during Ramadan, Twitter is most depressing. Or society has just lost it! #TshwaneUnrest #Giyaniunrest #prayforhumanity";;;#TshwaneUnrest #Giyaniunrest #prayforhumanity;"746101398543212544";https://twitter.com/Hajar011/status/746101398543212544
Peliwe_M;2016-06-23 15:03;1;1;"&you couldn't resist being 1 to break the news " @Abramjee : Unconfirmed report now about looting in Olievenhoutbos Centurion. #TshwaneUnrest ”";;@Abramjee;#TshwaneUnrest;"746101376917315584";https://twitter.com/Peliwe_M/status/746101376917315584
