username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BenJealous;2015-04-28 16:59;13;9;"I'll be on @allinwithchris in thirty minutes to talk #Baltimore";Baltimore, MD;@allinwithchris;#Baltimore;"593203002749624320";https://twitter.com/BenJealous/status/593203002749624320
stephanieetxe;2015-04-28 16:59;1;2;"This round up of images collected via social media surpasses all mainstream coverage I've seen on Baltimore today: http://www. buzzfeed.com/ryanhatesthis/ another-side-of-the-baltimore-riots?utm_term=.sjdKM2VVzM …";Washington, DC;;;"593202847661084674";https://twitter.com/stephanieetxe/status/593202847661084674
lechlinski;2015-04-28 16:58;0;0;"#Baltimore saw this today on myway home. pic.twitter.com/KcjzUQ007E";Baltimore, MD;;#Baltimore;"593202753587048448";https://twitter.com/lechlinski/status/593202753587048448
MuskatMedia;2015-04-28 16:58;1;0;"Standing ground #Baltimore #tvnews #tvphotog @Baltimore City Hall https:// instagram.com/p/2CbLSNj8CP/";Baltimore, MD;@Baltimore;#Baltimore #tvnews #tvphotog;"593202602453639168";https://twitter.com/MuskatMedia/status/593202602453639168
77Naysia;2015-04-28 16:57;0;0;"I love my city #Baltimore All the way around ((if u not from here don't come here ))";Baltimore, MD;;#Baltimore;"593202309422817280";https://twitter.com/77Naysia/status/593202309422817280
MJEinc;2015-04-28 16:56;0;0;"Community discussion in Baltimore City about change at Empowerment Temple!! Many leaders from all… https:// instagram.com/p/2CbBlZvYxK/";Baltimore, MD;;;"593202269136547840";https://twitter.com/MJEinc/status/593202269136547840
thisisdking;2015-04-28 16:56;0;0;"@misslisha3 Baltimore isn't the only place going thru this. This is really an urban issue.";Lanham, MD;@misslisha3;;"593202163008045056";https://twitter.com/thisisdking/status/593202163008045056
DOMDIVA83;2015-04-28 16:53;0;0;"He better watch it! He's been beat by monkeys several time! #baltimore @DYNAMIC IMAGES HAIR SALON https:// instagram.com/p/2CapjrE4k8/";Catonsville, MD;@DYNAMIC;#baltimore;"593201443563253761";https://twitter.com/DOMDIVA83/status/593201443563253761
DJAbele;2015-04-28 16:53;1;1;"Here come the troops #curfew #baltimore @Pratt Street Ale House https:// instagram.com/p/2CallxLP9o/";Baltimore, MD;@Pratt;#curfew #baltimore;"593201307713929218";https://twitter.com/DJAbele/status/593201307713929218
jaspersss_;2015-04-28 16:53;0;0;"Coverdale was lit. Peaceful protest , baltimore came out and did right";Baltimore, MD;;;"593201291867910144";https://twitter.com/jaspersss_/status/593201291867910144
WashingtonCP;2015-04-28 16:51;0;0;"Employees of Baltimore CVS Destroyed in Riots React: Looters ransacked a Baltimore CVS and set it on fire Monday… http:// washington.cityandpress.com/node/9498574";Washington, DC;;;"593200931874844672";https://twitter.com/WashingtonCP/status/593200931874844672
WashingtonCP;2015-04-28 16:51;0;0;"Shomari Stone Describes Reporting From the Baltimore Riots: News4's Shomari Stone shares what it was like to cover… http:// washington.cityandpress.com/node/9498575";Washington, DC;;;"593200930029326336";https://twitter.com/WashingtonCP/status/593200930029326336
WashingtonCP;2015-04-28 16:51;0;0;"Baltimore Business Owner Whose Store Was Looted Blames Mayor: A Baltimore business owner whose store was destroyed… http:// washington.cityandpress.com/node/9498577";Washington, DC;;;"593200922458599426";https://twitter.com/WashingtonCP/status/593200922458599426
