username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PeterFrancis26;2014-08-21 16:58;1;0;"My hotel is 4 miles from ferguson , maybe no morning runs and all taxis here";Berkeley, MO;;;"502605818362339328";https://twitter.com/PeterFrancis26/status/502605818362339328
Mvstermind;2014-08-21 16:49;0;0;"I've been MIA at work, anybody know the latest with #Ferguson and the Case?? The protests?";Edmundson, MO;;#Ferguson;"502603385900920833";https://twitter.com/Mvstermind/status/502603385900920833
phaeth;2014-08-21 16:44;0;0;"#RIPMichaelBrown #nojusticenopeace #handsupdontshoot @Ferguson , MO http:// instagram.com/p/r-q7A3vu6S/";Ferguson, MO;@Ferguson;#RIPMichaelBrown #nojusticenopeace #handsupdontshoot;"502602285005144064";https://twitter.com/phaeth/status/502602285005144064
Aqualeo;2014-08-21 16:42;1;2;"#RIPMIKEBROWN #FERGUSSON @Ferguson Burger Bar & MORE http:// instagram.com/p/r-qovnGNYb/";Ferguson, MO;@Ferguson;#RIPMIKEBROWN #FERGUSSON;"502601657042337792";https://twitter.com/Aqualeo/status/502601657042337792
phaeth;2014-08-21 16:40;0;0;"@iyanlavanzant doing what she does best! #prayerralley @Ferguson , Missouri http:// instagram.com/p/r-qZwcvu5Q/";Ferguson, MO;@iyanlavanzant @Ferguson;#prayerralley;"502601142594195456";https://twitter.com/phaeth/status/502601142594195456
JimDalrympleII;2014-08-21 16:38;4;1;"57% of blacks think the shooting was unjustified. http://www. nytimes.com/interactive/20 14/08/21/us/ferguson-poll.html … #Ferguson pic.twitter.com/zEu55d6DCA";Jennings, MO;;#Ferguson;"502600554049462272";https://twitter.com/JimDalrympleII/status/502600554049462272
JimDalrympleII;2014-08-21 16:37;4;2;"18% of whites think Michael Brown's shooting was unjustified, according to @nytimes http://www. nytimes.com/interactive/20 14/08/21/us/ferguson-poll.html … #Ferguson pic.twitter.com/Iad4OUqCif";Jennings, MO;@nytimes;#Ferguson;"502600335840800768";https://twitter.com/JimDalrympleII/status/502600335840800768
JamesV_news;2014-08-21 16:33;0;0;"W. Florissant Ave still open in #Ferguson";Ferguson, MO;;#Ferguson;"502599416927510529";https://twitter.com/JamesV_news/status/502599416927510529
idrawrobots;2014-08-21 16:16;0;0;"@MaxOnMovies I listen to several people talking about how the local cops being good and county bring the bad ones. #Ferguson";St Charles, MO;@MaxOnMovies;#Ferguson;"502595130810183682";https://twitter.com/idrawrobots/status/502595130810183682
Aqualeo;2014-08-21 16:16;1;4;"#WestFlorissant #HandsUp #DontShoot #RIPMIKEBROWN #FERGUSON #FergusonMissouri @Ferguson Burger Bar &… http:// instagram.com/p/r-npbwGNTx/";Ferguson, MO;@Ferguson;#WestFlorissant #HandsUp #DontShoot #RIPMIKEBROWN #FERGUSON #FergusonMissouri;"502595083657830402";https://twitter.com/Aqualeo/status/502595083657830402
Samboni88STL;2014-08-21 16:10;0;1;"@moosemusick chyea #Ferguson";St Louis, MO;@moosemusick;#Ferguson;"502593626820845568";https://twitter.com/Samboni88STL/status/502593626820845568
whennessy;2014-08-21 16:07;0;0;"Appreciate the great police presence on a hot day. Thank you, officers. #Ferguson";Ferguson, MO;;#Ferguson;"502592856822120449";https://twitter.com/whennessy/status/502592856822120449
CreeLuv314;2014-08-21 16:07;0;0;"Hopefully all the kids on my street went to the community school over at the ferguson library since school is still closed.";Berkeley, MO;;;"502592826610561026";https://twitter.com/CreeLuv314/status/502592826610561026
whennessy;2014-08-21 16:06;0;0;"BUYcotts work and #Ferguson is open for business.";Ferguson, MO;;#Ferguson;"502592628425506817";https://twitter.com/whennessy/status/502592628425506817
whennessy;2014-08-21 16:06;0;1;"Leaving #ferguson Got some stuff. Everybody we met was awesome and happy to see us. Watch KMOV 6 & 10";Ferguson, MO;;#ferguson;"502592486838394882";https://twitter.com/whennessy/status/502592486838394882
whennessy;2014-08-21 16:04;2;0;"“ @Dottie4Liberty : BUYcott #Ferguson . @whennessy @liberatianhipE @24thstate pic.twitter.com/khYbnKDSia ” support Dellena 911 Salon";Dellwood, MO;@Dottie4Liberty @whennessy @liberatianhipE @24thstate;#Ferguson;"502591983551254529";https://twitter.com/whennessy/status/502591983551254529
whennessy;2014-08-21 16:02;0;0;"Met some awesome people in #ferguson suffering from outrageous violence.";Dellwood, MO;;#ferguson;"502591589299257345";https://twitter.com/whennessy/status/502591589299257345
