username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AnonyCanada;2013-03-14 16:58;1;1;"@DBCOOPA Cops show up to a candle vigil it becomes a protest. Cops break out riot gear it becomes a riot. #BrooklynProtest";;@DBCOOPA;#BrooklynProtest;"312352106105430016";https://twitter.com/AnonyCanada/status/312352106105430016
DMaxSamson;2013-03-14 16:58;1;0;"RT @occupythemob : #BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia On the front lines http:// ustre.am/FIGI #Anonymous";;@occupythemob;#BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia #Anonymous;"312352103462993920";https://twitter.com/DMaxSamson/status/312352103462993920
CarloBruzi;2013-03-14 16:58;4;2;"Groups of people in masks are illegal in NYC: mad props to @StopMotionsolo for pointing the camera away from faces. #Legit #BrooklynProtest";;@StopMotionsolo;#Legit #BrooklynProtest;"312352067584921602";https://twitter.com/CarloBruzi/status/312352067584921602
JavierSorianoNY;2013-03-14 16:57;0;0;"#brooklynprotest #kimanigray http:// fb.me/219fCZjz6";;;#brooklynprotest #kimanigray;"312351924773089280";https://twitter.com/JavierSorianoNY/status/312351924773089280
Occuweather;2013-03-14 16:57;2;1;"Follow @Captnick_ for livestream and photos from tonight's #brooklynprotest";;@Captnick_;#brooklynprotest;"312351858876354560";https://twitter.com/Occuweather/status/312351858876354560
firemanjohn628;2013-03-14 16:57;2;3;"IDEA get on CNN or HLN with fake Jodi Arias question. YELL WHY AREN'T YOU DOUCHBAGS COVERING THE #BrooklynProtest !?!?!!!";;;#BrooklynProtest;"312351758431170560";https://twitter.com/firemanjohn628/status/312351758431170560
FacundoElement;2013-03-14 16:56;1;0;"To our followers- we will be RT #brooklynprotest info tonight. We encourage you to learn more too. we do this in #solidarity";;;#brooklynprotest #solidarity;"312351645377892352";https://twitter.com/FacundoElement/status/312351645377892352
patrickdehahn;2013-03-14 16:56;2;1;"PIX11 has a truck here on 55 and Church. #brooklynprotest";;;#brooklynprotest;"312351615539617794";https://twitter.com/patrickdehahn/status/312351615539617794
SeaNick_;2013-03-14 16:56;3;1;"RT @patrickdehahn : Barricades on Church and 55 #brooklynprotest";;@patrickdehahn;#brooklynprotest;"312351590373785600";https://twitter.com/SeaNick_/status/312351590373785600
shanedkavanaugh;2013-03-14 16:56;3;1;"Our @nydailynews guy on the ground: about 40 ppl at #KimaniGray 's memorial."This is where he was executed, right?" sez man. #brooklynprotest";;@nydailynews;#KimaniGray #brooklynprotest;"312351525957672960";https://twitter.com/shanedkavanaugh/status/312351525957672960
SeaNick_;2013-03-14 16:56;1;1;"RT @_mdsn : Can't watch closely tonight. Stick with @shushugah @StopMotionsolo and @Captnick_ for street reports #brooklynprotest #solidarity";;@_mdsn @shushugah @StopMotionsolo @Captnick_;#brooklynprotest #solidarity;"312351518726701056";https://twitter.com/SeaNick_/status/312351518726701056
AnonyMobLive;2013-03-14 16:56;5;1;"#BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia On the front lines http:// ustre.am/FIGI #Anonymous";;;#BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia #Anonymous;"312351476565549057";https://twitter.com/AnonyMobLive/status/312351476565549057
Ows_Casper;2013-03-14 16:55;2;2;"RT @recaiiskender is live on #Ustream ! Check him out. He has an iPad that gets great angles http:// ustre.am/:21MJf " #BrooklynProtest #FTP";;@recaiiskender;#Ustream #BrooklynProtest #FTP;"312351414137544704";https://twitter.com/Ows_Casper/status/312351414137544704
HuntedHorse;2013-03-14 16:55;0;0;"Cops flex cuffing the barricades together #BrooklynProtest pic.twitter.com/oitdQnmYNa";;;#BrooklynProtest;"312351364569260032";https://twitter.com/HuntedHorse/status/312351364569260032
LiborVS;2013-03-14 16:55;2;1;"There is abt 80 ppl of european descent in solidarity #KimaniGray +tons of #NYPD (backed up streets) #BrooklynProtest pic.twitter.com/JWxSuoJAmE";;;#KimaniGray #NYPD #BrooklynProtest;"312351353575989248";https://twitter.com/LiborVS/status/312351353575989248
AnonyMobLive;2013-03-14 16:55;13;1;"Clashing RT @BatmanWI Photo of cop pulling girl's hair while she's in fetal position at ... #BrooklynProtest pic.twitter.com/XmTEnuwbef";;@BatmanWI;#BrooklynProtest;"312351328317865985";https://twitter.com/AnonyMobLive/status/312351328317865985
SeaNick_;2013-03-14 16:55;3;0;"Will be live shortly. Feels like the movie groundhogs day. #brooklynprotest";;;#brooklynprotest;"312351306713010176";https://twitter.com/SeaNick_/status/312351306713010176
AnonyMobLive;2013-03-14 16:54;7;1;"Please continue calling DA 7182502001 until all community members are released! #brooklynprotest #watchthecops @CIApressoffice";;@CIApressoffice;#brooklynprotest #watchthecops;"312351170901467136";https://twitter.com/AnonyMobLive/status/312351170901467136
jamiekilstein;2013-03-14 16:54;1;0;"RT @RaniaKhalek : . @allisonkilkenny on the NYPD's #frozenzones during Occupy http:// inthesetimes.com/uprising/entry /12353/inside_the_frozen_zone_death_of_the_first_amendment/ … #kimanigray #brooklynprotest";;@RaniaKhalek @allisonkilkenny;#frozenzones #kimanigray #brooklynprotest;"312351164110876674";https://twitter.com/jamiekilstein/status/312351164110876674
shanedkavanaugh;2013-03-14 16:54;1;0;"Watch live stream of #Brooklynprotest Day 4 from East Flatbush here: http:// bit.ly/ZDvXe7 . #Kimanigray #NYPD #OWS";;;#Brooklynprotest #Kimanigray #NYPD #OWS;"312351076261175298";https://twitter.com/shanedkavanaugh/status/312351076261175298
NeilAnAlien;2013-03-14 16:54;0;0;"cops. RT @BatmanWI : Photo of cop pulling girl's hair while she's in fetal position at last night's #BrooklynProtest pic.twitter.com/G7s0f5gtXX";;@BatmanWI;#BrooklynProtest;"312351053884583936";https://twitter.com/NeilAnAlien/status/312351053884583936
RisePDX;2013-03-14 16:54;1;0;"@mikcheck @#kimanigray #brooklynprotest live police making double barricade @globalrevlive #ows #onyc (live at http:// ustre.am/H1Mz )";;@mikcheck @ @globalrevlive;#kimanigray #brooklynprotest #ows #onyc;"312351048553607168";https://twitter.com/RisePDX/status/312351048553607168
Jayron26;2013-03-14 16:54;0;0;"NYPD attempting to "Zuccattify" #Brooklyn w/ barricades. pic.twitter.com/YuApzMNnzr #BrooklynProtest #KimaniGray #OO #OWS #OLA #OSF #OPDX";;;#Brooklyn #BrooklynProtest #KimaniGray #OO #OWS #OLA #OSF #OPDX;"312351007273271296";https://twitter.com/Jayron26/status/312351007273271296
QueenCherryYG;2013-03-14 16:53;0;0;"#BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia On the front lines http:// ustre.am/FIGI";;;#BrooklynProtest #BrooklynRiot #LIVEStream #CitizenMedia;"312350851962380288";https://twitter.com/QueenCherryYG/status/312350851962380288
Ows_Casper;2013-03-14 16:53;0;0;"I wish I could be there at #BrooklynProtest but I have to help a friend take this futon. Before I get a #evicted from this apartment.";;;#BrooklynProtest #evicted;"312350750909026304";https://twitter.com/Ows_Casper/status/312350750909026304
occupySYDNEY;2013-03-14 16:52;1;0;"RT @OccupyWallSt : #CitizenMedia Video coverage of #brooklynprotest by #OccupyTVNY via @GlobalRevLive http:// shrd.by/635OkD";;@OccupyWallSt @GlobalRevLive;#CitizenMedia #brooklynprotest #OccupyTVNY;"312350673738018816";https://twitter.com/occupySYDNEY/status/312350673738018816
patrickdehahn;2013-03-14 16:52;0;0;"Barricades on Church and 55 #brooklynprotest";;;#brooklynprotest;"312350651910852609";https://twitter.com/patrickdehahn/status/312350651910852609
jamesx61;2013-03-14 16:52;2;1;"Hurricane-proofed (?) NYPD van in #eastflatbush . #kimamigray #brooklynprotest . pic.twitter.com/omM8mEnLcp";;;#eastflatbush #kimamigray #brooklynprotest;"312350615391043585";https://twitter.com/jamesx61/status/312350615391043585
patrickdehahn;2013-03-14 16:52;1;0;"Spotted a NYPD van with windows taped up #brooklynprotest .";;;#brooklynprotest;"312350537205051392";https://twitter.com/patrickdehahn/status/312350537205051392
thepellareport;2013-03-14 16:52;13;1;"#riotpolice already on scene for #kimanigray #brooklynprotest pic.twitter.com/IHUkGuQuMp";;;#riotpolice #kimanigray #brooklynprotest;"312350519773499392";https://twitter.com/thepellareport/status/312350519773499392
Occupied_Air;2013-03-14 16:52;11;2;"NYPD now putting up double barricades at #brooklynprotest Also #LIVE @http:// Ustre.am/FIGI & http:// Ustre.am/H1Mz";;@http;#brooklynprotest #LIVE;"312350470100373504";https://twitter.com/Occupied_Air/status/312350470100373504
Jayron26;2013-03-14 16:52;2;0;"If u are in the other buroughs, come down #BrooklynProtest NOW and support the community. #KimaniGray #OO #OWS #OLA #OSF #OPDX #Queens";;;#BrooklynProtest #KimaniGray #OO #OWS #OLA #OSF #OPDX #Queens;"312350440941576193";https://twitter.com/Jayron26/status/312350440941576193
occupySYDNEY;2013-03-14 16:51;1;0;"RT @occupytheory : READ - Know Your Rights: Demonstrating in New York City http:// shrd.by/11Xexb #BrooklynProtest #KimaniGray";;@occupytheory;#BrooklynProtest #KimaniGray;"312350379650191360";https://twitter.com/occupySYDNEY/status/312350379650191360
NasMohit;2013-03-14 16:51;1;0;"Crowd growing at 52nd and Church for #KimaniGray . Cops stationed at every corner, police presence far outnumbering crowd #brooklynprotest";;;#KimaniGray #brooklynprotest;"312350362512261121";https://twitter.com/NasMohit/status/312350362512261121
jackiethomason;2013-03-14 16:51;0;1;"Clashing RT @BatmanWI Photo of cop pulling girl's hair while she's in fetal position at ... #BrooklynProtest pic.twitter.com/tcC96YTU9z";;@BatmanWI;#BrooklynProtest;"312350263283425280";https://twitter.com/jackiethomason/status/312350263283425280
