username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LauraAnthony7;2014-12-09 15:57;9;2;""When rocks, bricks, bottles and ice picks came at us" we had to deploy tear gas: Berkeley Police Chief Michael Meehan.";;;;"542468070292615168";https://twitter.com/LauraAnthony7/status/542468070292615168
LauraAnthony7;2014-12-09 15:51;10;2;"Berkeley police chief says "things changed" Sat night when demonstrators started throwing things, incl an ice pick.' pic.twitter.com/CGqUFhNTIw";;;;"542466688420446208";https://twitter.com/LauraAnthony7/status/542466688420446208
LauraAnthony7;2014-12-09 15:47;34;17;"Berkeley police chief says they have been vastly outnumbered by protestors the past 3 nights. #mapit pic.twitter.com/RJVCSnyeEs";;;#mapit;"542465492888190977";https://twitter.com/LauraAnthony7/status/542465492888190977
iSiciliana;2014-12-09 15:42;0;0;"Video: check out these gift ideas from #Berkeley 's best independent stores! #ShopLocal http:// youtu.be/vv4dkHlpHq8";;;#Berkeley #ShopLocal;"542464209129193472";https://twitter.com/iSiciliana/status/542464209129193472
LauraAnthony7;2014-12-09 15:38;0;0;"Activist group claims "victory" after Berkeley city council meeting canceled. By All Means Necessary says goal to shut down meeting met.";;;;"542463368280285184";https://twitter.com/LauraAnthony7/status/542463368280285184
LauraAnthony7;2014-12-09 15:36;14;5;"Berkeley Mayor and police chief say city council meeting canceled only due to space limitation not planned protest . pic.twitter.com/Ovv9j6aMO1";;;;"542462704049324032";https://twitter.com/LauraAnthony7/status/542462704049324032
tedpatrickbaird;2014-12-09 15:28;0;0;"@YoYo_Ma live from Berkeley tomorrow";;@YoYo_Ma;;"542460906806861827";https://twitter.com/tedpatrickbaird/status/542460906806861827
SanFranciscoCP;2014-12-09 15:18;0;0;"Berkeley City Council Meeting Postponed Following 3 Nights Of Protest : Berkeley city officials have canceled… http:// dlvr.it/7mpYJr";;;;"542458229205118977";https://twitter.com/SanFranciscoCP/status/542458229205118977
dine_here;2014-12-09 15:18;0;0;"Great China Restaurant … http://great chinarestaurant-kittredge.dinehere.us/?photos=1 #Northside #Berkeley Last nights pic.twitter.com/TpGG5jvjOh";;;#Northside #Berkeley;"542458194044260352";https://twitter.com/dine_here/status/542458194044260352
CandyDeXocolate;2014-12-09 15:03;0;1;"#UStired2 #BlackLivesMatter #Ferguson2Cal #NoJusticeNoPeace @Berkeley , California http:// instagram.com/p/wZ1j-xOad6/";;@Berkeley;#UStired2 #BlackLivesMatter #Ferguson2Cal #NoJusticeNoPeace;"542454392658464768";https://twitter.com/CandyDeXocolate/status/542454392658464768
emanperez14;2014-12-09 14:56;0;0;"Wow. Thank God she's fine " @KTVU : Mom in labor stuck on I-80 blocked by protesters in #Berkeley last night. pic.twitter.com/XcC9HlmSGw "";;@KTVU;#Berkeley;"542452640676720640";https://twitter.com/emanperez14/status/542452640676720640
JacobUnger;2014-12-09 14:55;0;0;"Windows boarded up. Berkeley cancels tonights city council meetings. Was it the right thing to do? #BlackLivesMatter pic.twitter.com/8v58fvA6Mk";;;#BlackLivesMatter;"542452379862319105";https://twitter.com/JacobUnger/status/542452379862319105
masonmpaul;2014-12-09 14:53;0;0;"Glad I'm screwed for next semester... Time to transfer somewhere private... Sick of this Berkeley BS";;;;"542452082083495936";https://twitter.com/masonmpaul/status/542452082083495936
hiloelee;2014-12-09 14:49;0;0;"It's snowing in Berkeley ! @IdeaScale HQ http:// instagram.com/p/wZz96CRLwv/";;@IdeaScale;;"542450885628928000";https://twitter.com/hiloelee/status/542450885628928000
dine_here;2014-12-09 14:33;0;0;"Cafe Durant http:// cafedurant.dinehere.us/?photos=1 #Northside #Berkeley Cause there's nothing better for this weather pic.twitter.com/uCK4QYo0It";;;#Northside #Berkeley;"542446885466669056";https://twitter.com/dine_here/status/542446885466669056
johncarl;2014-12-09 14:20;0;1;"Well the Oakland/ Berkeley police can't catch thieves or contain riots but they have parking tickets on lock. Slow clap, guys. Keep it up.";;;;"542443714484764672";https://twitter.com/johncarl/status/542443714484764672
epaulnet;2014-12-09 14:17;0;0;"@oncontour Oakland and Berkeley councils both cancelled tonight. How do we hold our elected reps accountable? #berkeleyprotests";;@oncontour;#berkeleyprotests;"542442875493957633";https://twitter.com/epaulnet/status/542442875493957633
paul_pearce;2014-12-09 14:02;0;0;"Oh Berkeley . You so Berkeley . pic.twitter.com/mINS5tZYoH";;;;"542439092420485121";https://twitter.com/paul_pearce/status/542439092420485121
topix_sf;2014-12-09 13:51;0;0;"25 Year Old Berkeley Man Stabbed to Death in Mission Identified http:// bit.ly/1Iw1qII";;;;"542436410834173952";https://twitter.com/topix_sf/status/542436410834173952
treessaaaa;2014-12-09 13:29;0;0;"So mad I didn't get to go to the protest";;;;"542430968728932352";https://twitter.com/treessaaaa/status/542430968728932352
Samantha_Loomis;2014-12-09 13:07;0;0;"#repost from @anobelkh from the #protesting in #Berkeley blocking off the i80 freeway.. Please tell me… http:// instagram.com/p/wZoWFpGq9b/";;@anobelkh;#repost #protesting #Berkeley;"542425330237984768";https://twitter.com/Samantha_Loomis/status/542425330237984768
holdenkarau;2014-12-09 12:54;0;1;"Nom! Poutine! (@Smoke's Poutinerie in Berkeley , CA) https://www. swarmapp.com/c/cKMearUuQjS pic.twitter.com/QiwSPuQshm";;@Smoke;;"542422080193429504";https://twitter.com/holdenkarau/status/542422080193429504
meekorouse;2014-12-09 12:39;0;0;"Taking a break from stuff.. (at @BerkeleyPublic Library (Central Branch) in Berkeley , CA) https://www. swarmapp.com/c/2PmAh1DS6W8";;@BerkeleyPublic;;"542418322059309056";https://twitter.com/meekorouse/status/542418322059309056
LauraAnthony7;2014-12-09 12:34;0;1;"Berkeley has canceled tonight's city council meeting claiming not enough space. Protestors planned to disrupt, ask Mayor Bates to resign.";;;;"542417025130192897";https://twitter.com/LauraAnthony7/status/542417025130192897
