username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TyMiller247;2016-11-21 15:42;0;1;"Just finished this new design #winteriscoming #cold #frontlines #support #Fundraising #protest … https://www. instagram.com/p/BNF05JQgAR7/";;;#winteriscoming #cold #frontlines #support #Fundraising #protest;"800846951784718337";https://twitter.com/TyMiller247/status/800846951784718337
arobinsonfilm;2016-11-21 15:40;0;0;"Snapped this close to sunset or my amazing friend @addiefahr during a protest on Wescoe last… https://www. instagram.com/p/BNF0qrPhIyx/";;@addiefahr;;"800846460078014464";https://twitter.com/arobinsonfilm/status/800846460078014464
ct_la;2016-11-21 15:27;0;0;"8. So, fellow white people, what would it TAKE, what'd have to HAPPEN for you to drop what you're doing & join a protest , today, RIGHT NOW?";;;;"800843158598795264";https://twitter.com/ct_la/status/800843158598795264
Megalyn;2016-11-21 15:06;3;3;"Posted by my dear childhood friend vampirafaye about last nights attack on the peaceful protest … https://www. instagram.com/p/BNFwx9lj5pB/";;;;"800837915744075776";https://twitter.com/Megalyn/status/800837915744075776
cih2005;2016-11-21 14:57;0;0;"#americancultureis art as #socialcommentary and #protest back in 1848... notice how… https://www. instagram.com/p/BNFvu6QBRJK/";;;#americancultureis #socialcommentary #protest;"800835607836573697";https://twitter.com/cih2005/status/800835607836573697
matokie;2016-11-21 14:11;0;1;"Protest @Monumento a la Revolución https://www. instagram.com/p/BNFqc09jxwd/";;@Monumento;;"800823989081870336";https://twitter.com/matokie/status/800823989081870336
fhinojosa71;2016-11-21 12:16;2;0;"Protest march at TAMU @Texas A&M University https://www. instagram.com/p/BNFdUO5Bciv/";;@Texas;;"800795112401817600";https://twitter.com/fhinojosa71/status/800795112401817600
Houston_CP;2016-11-21 08:10;0;1;"THE LATEST: DakotaAccessPipeline protest organizer says at least 180 injured in latest skirmish with police.… https:// twitter.com/i/web/status/8 00710573877039104 …";;;;"800733147784589312";https://twitter.com/Houston_CP/status/800733147784589312
CindyLisitsin;2016-11-21 08:03;0;0;"We are witnessing bullying from those who protest "bullying". Interesting. God is watching all of us, I don't think He is impressed";;;;"800731434054873088";https://twitter.com/CindyLisitsin/status/800731434054873088
PhoenixCP;2016-11-21 07:51;0;0;"Tensions mount in Dakota Access pipeline protest abc15 http:// bit.ly/2fhNoQC";;;;"800728250959806465";https://twitter.com/PhoenixCP/status/800728250959806465
BeckyJohnson222;2016-11-20 22:59;0;0;"Despite pouring rain, nearly 300 people marched in protest of the anti-immigrant agenda of… https://www. instagram.com/p/BNECBN_A_Kv/";;;;"800594382705618944";https://twitter.com/BeckyJohnson222/status/800594382705618944
rynoglobal;2016-11-20 21:29;1;3;"If you want to protest something, then protest this travesty. The more I follow this the more… https://www. instagram.com/p/BND3vr8gYTG/";;;;"800571748978606081";https://twitter.com/rynoglobal/status/800571748978606081
taiarock;2016-11-20 21:03;0;0;"Protest in Seattle... #blacklivesmatter = @Seattle, Washington https://www. instagram.com/p/BND0yYZARvq/";;@Seattle;#blacklivesmatter;"800565243411922945";https://twitter.com/taiarock/status/800565243411922945
BLifeGalleria;2016-11-20 16:07;0;0;"Dozens gather near Galleria to protest Donald Trump http:// bubly.us/QVxF";;;;"800490794943651840";https://twitter.com/BLifeGalleria/status/800490794943651840
CodyBlueSnider;2016-11-20 16:04;0;4;"Shooting Dakota access pipeline protest #noDAPL @Dakota Access Pipeline Resistance Camp https://www. instagram.com/p/BNDSn1LAK91/";;@Dakota;#noDAPL;"800490115600617477";https://twitter.com/CodyBlueSnider/status/800490115600617477
BLifeAftonOaks;2016-11-20 15:47;0;0;"Dozens gather near Galleria to protest Donald Trump http:// bubly.us/QVvS";;;;"800485721064800261";https://twitter.com/BLifeAftonOaks/status/800485721064800261
TheLiB;2016-11-20 15:31;2;16;"About to march in a peaceful anti-Trump protest in #sanrafael , organized by 2 high school… https://www. instagram.com/p/BNDO2gqD0CR/";;;#sanrafael;"800481825307103232";https://twitter.com/TheLiB/status/800481825307103232
billybennight;2016-11-20 13:26;0;0;"Why Doo Dah do you make me feel so good! #absurdism #absurdist #absurd #protest @pasadenadoodah … https://www. instagram.com/p/BNDAjl0g6tT/";;@pasadenadoodah;#absurdism #absurdist #absurd #protest;"800450386230247425";https://twitter.com/billybennight/status/800450386230247425
DrewyKing;2016-11-20 13:17;0;0;"#StayFly #FCLSSMCMXCVIII #LGBT #LEAK #KimberKShade #NikiVi #DrewyKing #Rap #Pop #Protest … https://www. instagram.com/p/BM2iI_5hkBH/";;;#StayFly #FCLSSMCMXCVIII #LGBT #LEAK #KimberKShade #NikiVi #DrewyKing #Rap #Pop #Protest;"800448053492649985";https://twitter.com/DrewyKing/status/800448053492649985
