username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Arnold_Fel;2015-12-29 15:58;0;0;"pic.twitter.com/GUUlOEP2Yh";Ukraine;;;"681987705450958848";https://twitter.com/Arnold_Fel/status/681987705450958848
Pojelalaostatsy;2015-12-29 15:57;0;0;"это как с туфлями на выпускной.только я могла забыть про туфли и в день выпускного ехать в зп покупать их";Ukraine;;;"681987340332580864";https://twitter.com/Pojelalaostatsy/status/681987340332580864
AnastasiaNychyk;2015-12-29 15:56;2;1;"отличным новогодним подарком на этот новый год будет коробка валерьянки";Ukraine;;;"681987210279817216";https://twitter.com/AnastasiaNychyk/status/681987210279817216
Pojelalaostatsy;2015-12-29 15:55;0;0;"хочу в новом году научится не забывать о себе,а то вспомнила в последний момент что нет платья на праздник.придется завтра быстро шить его";Ukraine;;;"681986845710921728";https://twitter.com/Pojelalaostatsy/status/681986845710921728
Pojelalaostatsy;2015-12-29 15:52;0;0;"завтра у меня др";Ukraine;;;"681986218817634304";https://twitter.com/Pojelalaostatsy/status/681986218817634304
Pojelalaostatsy;2015-12-29 15:50;0;0;"а вот что круто, но странно,так это играть с новорожденным ребенком подруженции";Ukraine;;;"681985591513317376";https://twitter.com/Pojelalaostatsy/status/681985591513317376
Pojelalaostatsy;2015-12-29 15:48;0;0;"очень круто ведется с друзьями с которыми не видился давно,очень круто когда они поддерживают тебя в твоих начинаниях так хорошо";Ukraine;;;"681985106240737280";https://twitter.com/Pojelalaostatsy/status/681985106240737280
RniggaM;2015-12-29 15:42;0;0;"I'm at банька https://www. swarmapp.com/c/kv2qoijJ1vn";Ukraine;;;"681983632144216064";https://twitter.com/RniggaM/status/681983632144216064
darinka_kh;2015-12-29 15:41;0;1;"Со своей любимой! Как же я по ней скучала и как люблю! Ни на кого никогда не променяю! (@The Burger in Київ) https://www. swarmapp.com/c/3e3UDjMoWb9";Ukraine;@The;;"681983503609782272";https://twitter.com/darinka_kh/status/681983503609782272
klideklide;2015-12-29 15:39;0;0;"I'm at Klide home in Киев https://www. swarmapp.com/c/bwOuyHrQVrW";Ukraine;;;"681982898963091457";https://twitter.com/klideklide/status/681982898963091457
artem_barbashin;2015-12-29 15:37;0;0;"@Pizza & Grill - Reviera https://www. instagram.com/p/_5PmiFt_PDrC 4Wt9dGHxhJRZrer_xorY377ZY0/ …";Ukraine;@Pizza;;"681982505352835072";https://twitter.com/artem_barbashin/status/681982505352835072
Arnold_Fel;2015-12-29 15:36;0;0;"2 дня:6 баб Пфффффф!изи";Ukraine;;;"681982163567423488";https://twitter.com/Arnold_Fel/status/681982163567423488
pmalshakov;2015-12-29 15:34;0;0;"#style @Максимум https://www. instagram.com/p/_5PKT4Hn7S/";Ukraine;@;#style;"681981536678375424";https://twitter.com/pmalshakov/status/681981536678375424
