username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Vkool18055;2016-12-15 22:59;0;0;"Hey guys I wanted to say one more goodbye since vine hasn't shut down yet. I loved my... (Vine by @FlyteEditz ) https:// vine.co/v/5UOnbal7xIB";;@FlyteEditz;;"809654112975552512";https://twitter.com/Vkool18055/status/809654112975552512
gsmVoiD;2016-12-15 22:59;0;0;"@8bitsyd has it been like a month since I've seen you";;@8bitsyd;;"809654108936228864";https://twitter.com/gsmVoiD/status/809654108936228864
lesser_oceans;2016-12-15 22:59;0;0;"It floors me that tomorrow will be 5 years since I started hormones. Where the hell did the time go???";;;;"809654105203359744";https://twitter.com/lesser_oceans/status/809654105203359744
dannyho3_;2016-12-15 22:59;0;0;"since I still have no window, I fall asleep to the sound of the rain and w my cat on my chest and my dog in room";;;;"809654105048125440";https://twitter.com/dannyho3_/status/809654105048125440
stella_fabella;2016-12-15 22:59;0;0;"What I have is a loving heart. Mind you its diseased since I've met you but it's loving also. #ifyouaretheone";;;#ifyouaretheone;"809654103508819968";https://twitter.com/stella_fabella/status/809654103508819968
breezypaces;2016-12-15 22:59;0;0;"I ain't seen my own brother since thanksgiving lol";;;;"809654102661677056";https://twitter.com/breezypaces/status/809654102661677056
ChefBeezus;2016-12-15 22:59;0;0;"& we ain't miss either since that pool party! @Djstevo https:// twitter.com/jonny__rockets /status/809653690730770432 …";;@Djstevo;;"809654099226558464";https://twitter.com/ChefBeezus/status/809654099226558464
shashankmodi26;2016-12-15 22:59;0;0;"@BJP4Jharkhand @BJPJharkhand Please provide us electricity. No electricity since 6:00 a.m.";;@BJP4Jharkhand @BJPJharkhand;;"809654096001122304";https://twitter.com/shashankmodi26/status/809654096001122304
hayleymans;2016-12-15 22:59;0;0;"Ever since seeing @LittleSimz at this little SXSW stage last year I knew she was going to do big things. #StillnessInWonderland pic.twitter.com/kEUv7oxXvk";;@LittleSimz;#StillnessInWonderland;"809654094008881152";https://twitter.com/hayleymans/status/809654094008881152
TraceBlack_;2016-12-15 22:59;0;0;"I'm finnaly visiting New York for the Holidays!Almost two years since the last timeū.... t… http:// ift.tt/2gRzlW0 pic.twitter.com/tHI82M8RGA";;;;"809654091873918976";https://twitter.com/TraceBlack_/status/809654091873918976
YourEnd7;2016-12-15 22:59;0;1;"Since when was this my most popular dokkan video? xD 86k views and 1200 likes 0.0 https://www. youtube.com/watch?v=aRLSh- SCym0 …";;;;"809654088363376641";https://twitter.com/YourEnd7/status/809654088363376641
di2504;2016-12-15 22:59;0;0;"#USD Dollar Climbs to Strongest Since 2003 on Fed Path; Bonds Drop http:// bloom.bg/2gKo1fH с помощью @markets";;@markets;#USD;"809654084672352256";https://twitter.com/di2504/status/809654084672352256
ministrywithgod;2016-12-15 22:59;0;0;"Jesus says I have new ebooks coming out next year. Its been a while since I finally got my 2nd ebook out. Go to; http:// writersebook.com/shopping";;;;"809654084001091584";https://twitter.com/ministrywithgod/status/809654084001091584
valnehls;2016-12-15 22:59;0;0;"So bunnies flop on their side when they are utterly satisfied and content and Todd has done it at least 10 times since we've been home";;;;"809654082499702785";https://twitter.com/valnehls/status/809654082499702785
kiana_frede;2016-12-15 22:59;0;0;"@grantdenyer this is the best thing I've seen since I got to meet you Grant she's so adorable";;@grantdenyer;;"809654082008797184";https://twitter.com/kiana_frede/status/809654082008797184
jentran142;2016-12-15 22:59;0;0;"It's been awhile since I've had a good laugh Credit goes to @Samiras_Empire , Katie, @jestinacetin";;@Samiras_Empire @jestinacetin;;"809654079458836480";https://twitter.com/jentran142/status/809654079458836480
EMC2900;2016-12-15 22:59;0;0;"baby lock dem doors n turn dem lights down loooowww";;;;"809654072139771904";https://twitter.com/EMC2900/status/809654072139771904
FaithKiega;2016-12-15 22:59;0;0;"#IstandwithJudy Is anything Hard for God?Absolutely NOOOOO!!!!!!!!!!!.... Tis barely a month since we started a... http:// fb.me/1JTzWMhIx";;;#IstandwithJudy;"809654066053861376";https://twitter.com/FaithKiega/status/809654066053861376
millieewards_x;2016-12-15 22:59;0;0;"Happy Birthday my lovelies , Beenewith you since fœtus 14 year old E and Gray have a great 17th @GraysonDolan @EthanDolan";;@GraysonDolan @EthanDolan;;"809654051822518272";https://twitter.com/millieewards_x/status/809654051822518272
kibmus;2016-12-15 22:59;0;0;"the fact that I've been listening winter wonderland nonstop since it dropped";;;;"809654050497171456";https://twitter.com/kibmus/status/809654050497171456
Our_Kris;2016-12-15 22:59;0;0;"Nothing has changed since then #Nirbhaya U remind us how we Failed you..! Rest in peace ...! https:// twitter.com/indiatvnews/st atus/809634412644048897 …";;;#Nirbhaya;"809654049284890624";https://twitter.com/Our_Kris/status/809654049284890624
HHOPtweet;2016-12-15 22:59;0;0;"Pro Tip: Sometimes I'll add glycerine to the water-based paint... since they won't mix, it creates these weird textures.";;;;"809654046910910464";https://twitter.com/HHOPtweet/status/809654046910910464
BrianRathbone;2016-12-15 22:59;0;0;"Energy = Mass x Speed of Light squared. Since the speed of light can be altered, that explains fluctuations on the bathroom scale.";;;;"809654046172778497";https://twitter.com/BrianRathbone/status/809654046172778497
PaigeDayon;2016-12-15 22:58;1;0;"@DonKrez_ nowhere since y'all wanna bitch out";;@DonKrez_;;"809654035368185856";https://twitter.com/PaigeDayon/status/809654035368185856
