username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MothDustPhoto;2016-07-13 16:38;0;0;"#altonsterling vigil; on assignment for @papermagazine @Union Square Park https://www. instagram.com/p/BH0gOWqjvrN/";;@papermagazine @Union;#altonsterling;"753372967862755329";https://twitter.com/MothDustPhoto/status/753372967862755329
515Maz;2016-07-13 16:29;0;0;"Took this last Saturday night at a #BlackLivesMatter protest in #NYC of the recent deaths by… https://www. instagram.com/p/BH0fO-sg1QK/";;;#BlackLivesMatter #NYC;"753370788200316928";https://twitter.com/515Maz/status/753370788200316928
_Tiffsterrr;2016-07-13 16:14;0;3;"Black Lives Matter protest in Hackensack 7/12 #BLM #blacklivesmatter #Hackensack -- Super… https://www. instagram.com/p/BH0dkXMAr-Q/";;;#BLM #blacklivesmatter #Hackensack;"753367128271642624";https://twitter.com/_Tiffsterrr/status/753367128271642624
WPIR984Fm;2016-07-13 13:07;0;0;"#Repost @balleralert with repostapp ・・・ #AltonSterling 's son speaks about his father's death… https://www. instagram.com/p/BH0IG_OgCpX/";;@balleralert;#Repost #AltonSterling;"753319970046631940";https://twitter.com/WPIR984Fm/status/753319970046631940
WPIR984Fm;2016-07-13 13:03;0;1;"#Repost @balleralert with repostapp ・・・ #AltonSterling 's son speaks about his father's death… https://www. instagram.com/p/BH0HrWngUKo/";;@balleralert;#Repost #AltonSterling;"753319019621543936";https://twitter.com/WPIR984Fm/status/753319019621543936
FrenchBeatsInt;2016-07-13 12:25;0;0;"#racism #hatecrime #altonsterling #innocent #blacklivesmatter #alllivesmatter … https://www. instagram.com/p/BH0DTurgyKl/";;;#racism #hatecrime #altonsterling #innocent #blacklivesmatter #alllivesmatter;"753309378564980736";https://twitter.com/FrenchBeatsInt/status/753309378564980736
PalmTrees_books;2016-07-13 12:18;0;0;"The Art Of The Protest http://www. consciousvanguard.com/blog/2016/2/10 /the-art-of-the-protest …";;;;"753307628017635328";https://twitter.com/PalmTrees_books/status/753307628017635328
reyarturo29;2016-07-13 11:35;0;0;"David Hammons. Pray for America. 1969. #davidhammons #prayforamerica #blacklivesmatter #protest … https://www. instagram.com/p/BHnUxy5hqj4/";;;#davidhammons #prayforamerica #blacklivesmatter #protest;"753296874522742784";https://twitter.com/reyarturo29/status/753296874522742784
NewYorkCP;2016-07-13 08:17;0;0;"Alton Sterling’s 15-year-old son Cameron pleads for peace: "No violence — none whatsoever" http:// nydn.us/29BPfgd";;;;"753246899180703744";https://twitter.com/NewYorkCP/status/753246899180703744
NewYorkCP;2016-07-12 17:56;0;0;"Baton Rouge police bust plot to kill cops in retaliation for Alton Sterling shooting http:// nydn.us/29CVYK3";;;;"753030218185515008";https://twitter.com/NewYorkCP/status/753030218185515008
SquareSlam;2016-07-12 17:22;1;1;""If people will walk a mile for a Zewbat, then maybe they will walk a mile in protest ." --Daniel… https://www. instagram.com/p/BHyAgDhDPeQ/";;;;"753021730940215296";https://twitter.com/SquareSlam/status/753021730940215296
_pamela_garcia_;2016-07-12 16:52;0;0;"Number of arrest amongst protesters rises as they rally for justice in the death of many like #PhilandoCastile #AltonSterling #SandraBland";;;#PhilandoCastile #AltonSterling #SandraBland;"753014257986506752";https://twitter.com/_pamela_garcia_/status/753014257986506752
brycexanthony;2016-07-12 16:02;0;0;"walked out to an impromptu protest directly in front of the venue @Skylight Clarkson Sq https://www. instagram.com/p/BHx3WZmDrEp/";;@Skylight;;"753001608083013634";https://twitter.com/brycexanthony/status/753001608083013634
MothDustPhoto;2016-07-12 09:56;0;0;"Found the day after news on #altonsterling broke @Bushwick, Brooklyn https://www. instagram.com/p/BHxNfG6j-Wl/";;@Bushwick;#altonsterling;"752909548000800768";https://twitter.com/MothDustPhoto/status/752909548000800768
saridelmar;2016-07-12 06:00;0;1;"You can kill the protestor, but you can't kill the protest . You can murder the rebel, you can't… https://www. instagram.com/p/BHwyduDjmsc/";;;;"752850126452948992";https://twitter.com/saridelmar/status/752850126452948992
topix_nyc;2016-07-11 21:25;0;0;"Hundreds arrested as protests continue over shooting deaths of Alton Sterling and Philando Castile http:// bit.ly/29Md9rL";;;;"752720573470355456";https://twitter.com/topix_nyc/status/752720573470355456
maguiresteele;2016-07-11 20:40;0;0;"@common shouts out #altonsterling in his rendition of #LoveIs #howbeautifullovecanbe … https://www. instagram.com/p/BHvxTasgJF8/";;@common;#altonsterling #LoveIs #howbeautifullovecanbe;"752709233666322432";https://twitter.com/maguiresteele/status/752709233666322432
Omo_Osun1;2016-07-11 18:27;0;1;"Peaceful protest in the park collaborating with the boys in blue @… https://www. instagram.com/p/BHvjLjuBpJom mHP7TYSPYcDd_xCzpSuOdef5bM0/ …";;@;;"752675782674092032";https://twitter.com/Omo_Osun1/status/752675782674092032
aczhang0;2016-07-11 17:39;0;0;"Manhattanhenge and BLM protest . (@Union Square Park - @nycparks in New York, NY) https://www. swarmapp.com/c/8kAF853tWCq";;@Union @nycparks;;"752663554914971648";https://twitter.com/aczhang0/status/752663554914971648
NewYorkCP;2016-07-11 15:11;0;0;"Man who witnessed Alton Sterling’s death sues Baton Rouge police for stealing video http:// nydn.us/29wx0J2";;;;"752626302474080256";https://twitter.com/NewYorkCP/status/752626302474080256
JamilSmith;2016-07-11 12:00;22;14;"The man who first posted the Alton Sterling police shooting online was detained by law enforcement soon thereafter. http:// pocket.co/sMpGdv";;;;"752578321637003264";https://twitter.com/JamilSmith/status/752578321637003264
__MostWanted_;2016-07-11 10:08;0;3;"Tomorrow , City Hall Paterson NJ will be having the 2nd Protest for #blacklivesmatter the first… https://www. instagram.com/p/BHupbVBgz22/";;;#blacklivesmatter;"752550103760666624";https://twitter.com/__MostWanted_/status/752550103760666624
_monicajorge;2016-07-11 06:34;0;0;"A woman raises her fist during a protest through Manhattan on Sunday following the police… https://www. instagram.com/p/BHuRicVjxcn/";;;;"752496246150012928";https://twitter.com/_monicajorge/status/752496246150012928
icarusgray;2016-07-11 02:00;0;1;"Alton Sterling, Philando Castile, and Black Lives Matter - No Rhyme Or Reason Podcast - Episode 26 http://www. otmmg.com/nror/episode26";;;;"752427392690483200";https://twitter.com/icarusgray/status/752427392690483200
iveymichele;2016-07-10 22:19;0;0;"Completely took the focus off of #philandocastile and #altonsterling ... Some people are… https://www. instagram.com/p/BHtY6qUBHwa/";;;#philandocastile #altonsterling;"752371737552039936";https://twitter.com/iveymichele/status/752371737552039936
Eliseswain;2016-07-10 19:28;0;2;"Last night. #NYC #BLACKLIVESMATTER #enoughisenough #SAYTHEIRNAMES #delrawnsmall #altonsterling … https://www. instagram.com/p/BHtFYa-Atbi/";;;#NYC #BLACKLIVESMATTER #enoughisenough #SAYTHEIRNAMES #delrawnsmall #altonsterling;"752328775434657792";https://twitter.com/Eliseswain/status/752328775434657792
aczhang0;2016-07-10 18:10;0;1;"Playing Pokemon GO and viewing a Jesus demonstration/ protest . (@Union Square Park - @nycparks in New York, NY) https://www. swarmapp.com/c/gDu2kcHSpSd";;@Union @nycparks;;"752308961307664384";https://twitter.com/aczhang0/status/752308961307664384
CatchGifUCan;2016-07-10 16:18;1;0;"Benefit concert for the Broadway Community to raise funds for Alton Sterling and Philando Castile's families.... https://www. swarmapp.com/c/8N8QpzqCPKv";;;;"752280802101227521";https://twitter.com/CatchGifUCan/status/752280802101227521
cuntspiracyp;2016-07-10 15:49;1;0;"@90sfeminist has been organizing the #SpeakUpSpeakOut protest in various cities around the US.… https://www. instagram.com/p/BHssU6vjbdp/";;@90sfeminist;#SpeakUpSpeakOut;"752273692378460160";https://twitter.com/cuntspiracyp/status/752273692378460160
MrMecc;2016-07-10 14:50;0;0;"No other word for it... #PhilandoCastile #AltonSterling #BlackLivesMatter #HappySunday @Fort… https://www. instagram.com/p/BHslehcBrWo/";;@Fort;#PhilandoCastile #AltonSterling #BlackLivesMatter #HappySunday;"752258620201455616";https://twitter.com/MrMecc/status/752258620201455616
NewYorkCP;2016-07-10 14:13;0;0;"JUST IN: BlackLivesMatter leader deray mckesson released after arrest in Baton Rouge protest http:// nydn.us/29Gth1d";;;;"752249334171709440";https://twitter.com/NewYorkCP/status/752249334171709440
bclorio;2016-07-10 13:53;0;0;"PHOTO: #blacklivesmatter Protest . Paterson, NJ. ( @zellieimani leading chant) #nj @Paterson… https://www. instagram.com/p/BHset2TDwvd/";;@zellieimani @Paterson;#blacklivesmatter #nj;"752244317666832385";https://twitter.com/bclorio/status/752244317666832385
bclorio;2016-07-10 13:45;14;10;"VIDEO: #blacklivesmatter Protest . Paterson, New Jersey. @Paterson City Hall https://www. instagram.com/p/BHsdy7NDIfx/";;@Paterson;#blacklivesmatter;"752242427168190464";https://twitter.com/bclorio/status/752242427168190464
bclorio;2016-07-10 13:10;0;1;"PHOTO:. #blacklivesmatter Protest . Paterson, New Jersey. #nj @Paterson City Hall https://www. instagram.com/p/BHsZhjijUVU/";;@Paterson;#blacklivesmatter #nj;"752233496903573504";https://twitter.com/bclorio/status/752233496903573504
bclorio;2016-07-10 12:50;0;1;"PHOTO:. #blacklivesmatter Protest In Paterson, NJ #nj @Paterson City Hall https://www. instagram.com/p/BHsWiiXjBG4/";;@Paterson;#blacklivesmatter #nj;"752228582290776066";https://twitter.com/bclorio/status/752228582290776066
bclorio;2016-07-10 12:47;2;2;"PHOTO: #blacklivesmatter Protest . Paterson, New Jersey. #nj @Paterson City Hall https://www. instagram.com/p/BHsXR7IDVjm/";;@Paterson;#blacklivesmatter #nj;"752227870274125824";https://twitter.com/bclorio/status/752227870274125824
stefpix;2016-07-10 12:35;0;1;"#usrepresentative #congresswoman #carolynmaloney #protest #bushwickinletpark #downpour … https://www. instagram.com/p/BHsWFFaBkeR/";;;#usrepresentative #congresswoman #carolynmaloney #protest #bushwickinletpark #downpour;"752224764312170496";https://twitter.com/stefpix/status/752224764312170496
