username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DVS_Imaad;2012-07-30 16:59;0;0;"I'm at Stiles Complex (Elizabeth, NJ) http:// 4sq.com/Mv6nDl";;;;"230090391280558080";https://twitter.com/DVS_Imaad/status/230090391280558080
jefflac;2012-07-30 16:59;0;0;"@mlbtv Is there a way to hide the highlights on Xbox app? They spoil unwatched games with headlines/pictures.";;@mlbtv;;"230090390718537728";https://twitter.com/jefflac/status/230090390718537728
King_Steveee;2012-07-30 16:59;0;0;"So who gonna turn twitter up with me tonight";;;;"230090385773453312";https://twitter.com/King_Steveee/status/230090385773453312
bittersweet_cs;2012-07-30 16:59;0;0;"I want a g37xS";;;;"230090377812643843";https://twitter.com/bittersweet_cs/status/230090377812643843
MikeKris_;2012-07-30 16:59;0;0;"And now we think we can play el Futbol. @bankxd @bonggbongg @mrfloydz @_raffyrey @Bergenfield High School http:// instagr.am/p/NuWsmsvDG9/";;@bankxd @bonggbongg @mrfloydz @_raffyrey @Bergenfield;;"230090377028308992";https://twitter.com/MikeKris_/status/230090377028308992
chadburgess;2012-07-30 16:59;0;0;"I'm at Rivergate Luxury Apartments (New York, NY) http:// 4sq.com/OgYCRV";;;;"230090367939272704";https://twitter.com/chadburgess/status/230090367939272704
ElectricLit;2012-07-30 16:59;2;1;"Books Beneath the Bridge: the only reading series with a Coast Guard presence. pic.twitter.com/lVjQKHPY";;;;"230090362608316416";https://twitter.com/ElectricLit/status/230090362608316416
_yourgirlTash;2012-07-30 16:59;0;0;"this chinese food and my mother's iced tea >>> http:// yfrog.com/eszmnguj";;;;"230090343524216832";https://twitter.com/_yourgirlTash/status/230090343524216832
_BleedLOVE;2012-07-30 16:59;0;0;", back in newark again friday , woot wooot ! ( ;";;;;"230090340118450176";https://twitter.com/_BleedLOVE/status/230090340118450176
HeSoHim;2012-07-30 16:59;0;0;"" @RomanReSLAYded : there is no need for people to be rude to me"";;@RomanReSLAYded;;"230090317163024384";https://twitter.com/HeSoHim/status/230090317163024384
girlgotmadgame;2012-07-30 16:59;0;0;"@sambot5k ay caramb, immediately";;@sambot5k;;"230090315497885696";https://twitter.com/girlgotmadgame/status/230090315497885696
RebelHeartBitch;2012-07-30 16:59;0;0;"Because the only thing I can do is walk";;;;"230090310426955777";https://twitter.com/RebelHeartBitch/status/230090310426955777
Petey2Times;2012-07-30 16:59;0;0;"Hammered, viva Los jankees. H";;;;"230090286179708928";https://twitter.com/Petey2Times/status/230090286179708928
Levidopeness;2012-07-30 16:59;1;0;"Is there a cash prize or something on BGC, cuz i don't understand it.";;;;"230090281565962240";https://twitter.com/Levidopeness/status/230090281565962240
MichaelDeLuca;2012-07-30 16:59;0;0;"I'm at Retro Fitness (Brooklyn, NY) w/ 6 others http:// 4sq.com/QPwLbS";;;;"230090268542652416";https://twitter.com/MichaelDeLuca/status/230090268542652416
BxGunna_Gutta;2012-07-30 16:59;0;0;"RT @_ToLegit_ToQuit : #WeFromTheBronx where Fordham rd is the place to shop";;@_ToLegit_ToQuit;#WeFromTheBronx;"230090263362678785";https://twitter.com/BxGunna_Gutta/status/230090263362678785
ClassicBray;2012-07-30 16:59;2;0;"RT @LynchBoosie: Urban Outfitters is for fake high end niggas. FUBU is for the elegant.";;@LynchBoosie;;"230090261122932738";https://twitter.com/ClassicBray/status/230090261122932738
KhyreStrong;2012-07-30 16:59;0;0;"@Q_KindaExotic where you at?";;@Q_KindaExotic;;"230090257046069248";https://twitter.com/KhyreStrong/status/230090257046069248
_Hulser;2012-07-30 16:59;0;0;"@reggiejackson69 if the Olympics had sucking cock as an event, u would be te representative for the US";;@reggiejackson69;;"230090255255076864";https://twitter.com/_Hulser/status/230090255255076864
thaKraftzmanBBH;2012-07-30 16:59;0;0;"It's weird looking outside at 8pm & it still being light outside";;;;"230090250825912320";https://twitter.com/thaKraftzmanBBH/status/230090250825912320
PotheadMoni;2012-07-30 16:59;0;0;"Pushing Me . Niggas Finna Get It";;;;"230090240621170688";https://twitter.com/PotheadMoni/status/230090240621170688
sandwichantel;2012-07-30 16:59;0;0;"@iRauhlWithBiebz http:// chaniibeliebz.tumblr.com";;@iRauhlWithBiebz;;"230090238083612673";https://twitter.com/sandwichantel/status/230090238083612673
frankieciv608;2012-07-30 16:59;0;0;"“ @Kurkjian_ESPN No one in history has had as many hits, SB's and HRS as Mike Trout has had in his 119-game major league career”";;@Kurkjian_ESPN;;"230090212401872896";https://twitter.com/frankieciv608/status/230090212401872896
CherryBomb515;2012-07-30 16:59;0;0;"Need to go to the mall n by myself something";;;;"230090211282010113";https://twitter.com/CherryBomb515/status/230090211282010113
RebelHeartBitch;2012-07-30 16:59;0;0;"@silviarjones in a way yes lol. Ugh that’s the worst haha";;@silviarjones;;"230090203988099072";https://twitter.com/RebelHeartBitch/status/230090203988099072
MenhattanBook;2012-07-30 16:59;0;0;"Shocker Adrienne and Paul separating from rhobh!! We didn't see that coming! #rhobh #yenta";;;#rhobh #yenta;"230090203296038914";https://twitter.com/MenhattanBook/status/230090203296038914
Jessenia_2014;2012-07-30 16:59;0;0;"@INKEDUP_PLAYBOY follow back";;@INKEDUP_PLAYBOY;;"230090202717224962";https://twitter.com/Jessenia_2014/status/230090202717224962
LinaMS10;2012-07-30 16:59;0;0;"@JJap555 porq?";;@JJap555;;"230090202234888192";https://twitter.com/LinaMS10/status/230090202234888192
FrankMCardillo;2012-07-30 16:59;0;0;"Who has better manners: guy who has his bare feet on top of the row of seats at Yankee Stadium or the 1 who has his stocking feet on them?";;;;"230090193535905792";https://twitter.com/FrankMCardillo/status/230090193535905792
maryvercillo;2012-07-30 16:59;0;1;"Free drinks from the manager... @kellyereid #getittttttt";;@kellyereid;#getittttttt;"230090189270298624";https://twitter.com/maryvercillo/status/230090189270298624
OyeAndres;2012-07-30 16:59;0;0;"Found a guy who does great tats for good prices ^_^";;;;"230090186497875968";https://twitter.com/OyeAndres/status/230090186497875968
john_tK_;2012-07-30 16:59;0;0;"Huge difference between standing in the same spot and running around";;;;"230090180181258240";https://twitter.com/john_tK_/status/230090180181258240
JustJoe_______;2012-07-30 16:59;0;0;"Khariyyah gotta be the slowest person I've ever texted";;;;"230090179703103489";https://twitter.com/JustJoe_______/status/230090179703103489
xaviterns;2012-07-30 16:59;0;0;"I'm at Herald Square (New York, NY) w/ 3 others http:// 4sq.com/M6KPvm";;;;"230090179334000641";https://twitter.com/xaviterns/status/230090179334000641
robnapiza;2012-07-30 16:59;0;0;"I'm at Costco Wholesale Club (Hackensack, NJ) http:// 4sq.com/M6KMQp";;;;"230090175999524865";https://twitter.com/robnapiza/status/230090175999524865
JonMcL;2012-07-30 16:59;0;0;"@javascriptdebug sorry. Mac shop here.";;@javascriptdebug;;"230090164129644544";https://twitter.com/JonMcL/status/230090164129644544
NYGENERAL;2012-07-30 16:59;1;0;"U cannot fall in love in 24 hrs #knockitOFF";;;#knockitOFF;"230090163949273088";https://twitter.com/NYGENERAL/status/230090163949273088
recklessam;2012-07-30 16:59;0;0;"10 no's doesn't mean I'm giving up";;;;"230090146006056960";https://twitter.com/recklessam/status/230090146006056960
BiancaSultana;2012-07-30 16:58;0;0;"BCAAs and a funny face! #LegDay #10000Lunges @Otom Gym http:// instagr.am/p/NuWt8TD-rJ/";;@Otom;#LegDay #10000Lunges;"230090105237413889";https://twitter.com/BiancaSultana/status/230090105237413889
megtbutton;2012-07-30 16:58;0;0;"Someone's super excited #Olympics #London2012 @burnyourstencils @Northside Piers http:// instagr.am/p/NuWnWuTLAs/";;@burnyourstencils @Northside;#Olympics #London2012;"230090093040394241";https://twitter.com/megtbutton/status/230090093040394241
MsSelenaHill;2012-07-30 16:58;0;0;""This is going to be a close election." -Joel Benenson at the @dl21c mixer";;@dl21c;;"230090087638130688";https://twitter.com/MsSelenaHill/status/230090087638130688
xoXO_Kishana1;2012-07-30 16:58;0;0;"STOP, DROP, n ROLL ur weave is RACHETT!!";;;;"230090081480880129";https://twitter.com/xoXO_Kishana1/status/230090081480880129
Tonicakes;2012-07-30 16:58;0;0;"Getting close @Family Dollar http:// instagr.am/p/NuWOkbhueL/";;@Family;;"230090081074040832";https://twitter.com/Tonicakes/status/230090081074040832
AshleyWeiler;2012-07-30 16:58;0;0;"@GarretMater Edible :)";;@GarretMater;;"230090073834680320";https://twitter.com/AshleyWeiler/status/230090073834680320
KimberlyWhite9;2012-07-30 16:58;0;0;"@karamenendez It was so good to see you! Wish we could have chatted longer! Lets catch up soon! Miss you!";;@karamenendez;;"230090051571294208";https://twitter.com/KimberlyWhite9/status/230090051571294208
asenyaylar;2012-07-30 16:58;0;0;"@bestebabii tamam olsun sen sapa sağlam şimdi buraya gelde önemli olan oo gerisi kolay olmazsa biz geliriz yanına :))";;@bestebabii;;"230090047884500993";https://twitter.com/asenyaylar/status/230090047884500993
chrysy7;2012-07-30 16:58;0;0;"@knowdhatt that's you & @yesskriss right there!!! #julymadness";;@knowdhatt @yesskriss;#julymadness;"230090042377371648";https://twitter.com/chrysy7/status/230090042377371648
toriperryxo;2012-07-30 16:58;0;0;"I wish I wasn't so tired";;;;"230090022861275136";https://twitter.com/toriperryxo/status/230090022861275136
MenhattanBook;2012-07-30 16:58;0;0;"Real housewives of new York tonight!!! Bring on the white trash bitches!!!! #RHONY #catfight";;;#RHONY #catfight;"230090021200334848";https://twitter.com/MenhattanBook/status/230090021200334848
vincantox;2012-07-30 16:58;0;0;"@Dal_KK well that's very American sure I'll sue you loool";;@Dal_KK;;"230090019442941952";https://twitter.com/vincantox/status/230090019442941952
c_crisalli;2012-07-30 16:58;0;0;"I'm just sitting on my floor.. idk what to do with myself..";;;;"230090015525457920";https://twitter.com/c_crisalli/status/230090015525457920
tamiayevette_;2012-07-30 16:58;0;0;"watching taboo :)";;;;"230090010358071297";https://twitter.com/tamiayevette_/status/230090010358071297
KhyreStrong;2012-07-30 16:58;0;0;"@SNEAKERMANDAN Jerry...Martin just had hella Js but Jerry switched it up.";;@SNEAKERMANDAN;;"230090005899517952";https://twitter.com/KhyreStrong/status/230090005899517952
StephenBaldwin7;2012-07-30 16:58;7;3;"Ok ... So I've become part of this wild new venture go2 http:// Stephenbaldwin.com wait for the SOLAVEI banner click it This is Gunna go crazy !";;;;"230090003219357696";https://twitter.com/StephenBaldwin7/status/230090003219357696
venicechoi;2012-07-30 16:58;0;0;"@alliejr that's a fun show. just went last week";;@alliejr;;"230090001910751233";https://twitter.com/venicechoi/status/230090001910751233
Foxmental_X;2012-07-30 16:58;0;0;"I'm at MTA Subway - Nereid Ave (2/5) (Bronx, NY) http:// 4sq.com/OgYodr";;;;"230089991504662528";https://twitter.com/Foxmental_X/status/230089991504662528
IngridDukevicz;2012-07-30 16:58;0;0;"“@give_and_tave: @NjBieberShore followback? :)”done :)";;@give_and_tave @NjBieberShore;;"230089982843441152";https://twitter.com/IngridDukevicz/status/230089982843441152
lowwrax;2012-07-30 16:58;0;0;"All you lucky mfs";;;;"230089980461068288";https://twitter.com/lowwrax/status/230089980461068288
metafisix;2012-07-30 16:58;0;0;"That's a huge bitch!!! (@Liberty Island) http:// 4sq.com/OykBnV";;@Liberty;;"230089977248243712";https://twitter.com/metafisix/status/230089977248243712
JustJoe_______;2012-07-30 16:58;0;0;"Bitches<<<< being locked up for a year";;;;"230089972793896960";https://twitter.com/JustJoe_______/status/230089972793896960
borabora017;2012-07-30 16:58;0;0;"Dinner with @itsjennab :) :) :) (@Blue Water Grill w/ 8 others) http:// 4sq.com/OgYnGo";;@itsjennab @Blue;;"230089972454129664";https://twitter.com/borabora017/status/230089972454129664
Gabby_Cordova5;2012-07-30 16:58;0;0;"All the #good things in this life will #kill you, make you #fat or get #pregnant #true @Manhattan, NY http:// instagr.am/p/NuWkbkrlzI/";;@Manhattan;#good #kill #fat #pregnant #true;"230089967571968000";https://twitter.com/Gabby_Cordova5/status/230089967571968000
ClassicBray;2012-07-30 16:58;0;0;"I stay seeing Chinese people with them RT @__Roscoe: this shyt is getting out of hand now, a Mexican with dreads";;@__Roscoe;;"230089963604160514";https://twitter.com/ClassicBray/status/230089963604160514
domainavial;2012-07-30 16:58;0;0;"I'm at Kasadela (New York, NY) http:// 4sq.com/QPwd5H";;;;"230089962526224386";https://twitter.com/domainavial/status/230089962526224386
ShawneeTaylor;2012-07-30 16:58;2;1;"Thank you so much! Means alot. RT @satnitelaunch @ShawneeTaylor Just wanted to stop by and tell you that you're sti... http:// tl.gd/ijngcu";;@satnitelaunch @ShawneeTaylor;;"230089952824795136";https://twitter.com/ShawneeTaylor/status/230089952824795136
JonHarris48;2012-07-30 16:58;0;0;"I'm at Del Posto (New York, NY) http:// 4sq.com/LZIdUI";;;;"230089945585446913";https://twitter.com/JonHarris48/status/230089945585446913
luckyboy2007;2012-07-30 16:58;0;0;"I'm at The Garage http:// 4sq.com/NRpyJd";;;;"230089938346061826";https://twitter.com/luckyboy2007/status/230089938346061826
