username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nunuwins;2016-11-21 15:28;0;0;"Learning about #environmentalism in the era of #notmypresident (@Benjamin N. Cardozo School of Law in New York, NY) https://www. swarmapp.com/c/kZyM5Q2Xyks";;@Benjamin;#environmentalism #notmypresident;"800843448945405952";https://twitter.com/nunuwins/status/800843448945405952
becfordyce;2016-11-21 12:43;0;1;"NYC is pretty damned awesome sometimes. #notmypresident #dumptrump @Union Square Subway Station https://www. instagram.com/p/BNFgX8KDi9U/";;@Union;#notmypresident #dumptrump;"800801834042437632";https://twitter.com/becfordyce/status/800801834042437632
ActualDannyH;2016-11-21 11:55;0;2;"// #notmypresident //5th Ave // //just in case //the message //wasn't clear @Fifth Avenue https://www. instagram.com/p/BNFa71iBeaH/";;@Fifth;#notmypresident;"800789872847921152";https://twitter.com/ActualDannyH/status/800789872847921152
MaggieChatter;2016-11-21 08:20;0;1;"#NYCmetro when America screws up #postits screaming how we feel. #notmypresident … https://www. instagram.com/p/BNFCOpmh7uI/";;;#NYCmetro #postits #notmypresident;"800735544770629632";https://twitter.com/MaggieChatter/status/800735544770629632
BrianSommer17;2016-11-21 07:08;0;0;"Love each other #photography #donaldtrump #election2016 #notmypresident #unionsquare #love … https://www. instagram.com/p/BNE6Fy4Bv9H/";;;#photography #donaldtrump #election2016 #notmypresident #unionsquare #love;"800717648262623232";https://twitter.com/BrianSommer17/status/800717648262623232
charrowface;2016-11-21 04:14;0;0;"#whitehouse #alt #cntrlaltdelete #altwhite #altright #notmypresident #dumptrump #illustration … https://www. instagram.com/p/BNEmKrHAl66/";;;#whitehouse #alt #cntrlaltdelete #altwhite #altright #notmypresident #dumptrump #illustration;"800673830985342978";https://twitter.com/charrowface/status/800673830985342978
nessamp;2016-11-20 19:47;0;0;"This warms my ice cold heart to no end #NotMyPresident #FuckTheOrangeCheeto #LoveTrumpsHate @… https://www. instagram.com/p/BNDEP6JDqmb/";;@;#NotMyPresident #FuckTheOrangeCheeto #LoveTrumpsHate;"800546099144560640";https://twitter.com/nessamp/status/800546099144560640
euxart;2016-11-20 17:13;0;1;"What will life be like #behindtheorangecurtain #notmypresident #usaisajoke #occupy #resistance … https://www. instagram.com/p/BNDafRcgrEX/";;;#behindtheorangecurtain #notmypresident #usaisajoke #occupy #resistance;"800507412918792193";https://twitter.com/euxart/status/800507412918792193
BrianSommer17;2016-11-20 15:22;0;0;"Protection #photography #donaldtrump #election2016 #notmypresident #nyc #unionsquare #postit … https://www. instagram.com/p/BNDN0hxhnZU/";;;#photography #donaldtrump #election2016 #notmypresident #nyc #unionsquare #postit;"800479558277296128";https://twitter.com/BrianSommer17/status/800479558277296128
wanert;2016-11-20 11:37;0;0;"53rd and 5th Avenue, NYC - #notmypresident rally Day 4 - The March, Part XIV - A man with a plan… https://www. instagram.com/p/BNC0BxGByt4/";;;#notmypresident;"800422838796578816";https://twitter.com/wanert/status/800422838796578816
BrianSommer17;2016-11-20 08:59;0;2;"Lost Hope #nyc #notmypresident #election2016 #donaldtrump #photography #art @Union Square… https://www. instagram.com/p/BNCh50hh-nL/";;@Union;#nyc #notmypresident #election2016 #donaldtrump #photography #art;"800382983727247360";https://twitter.com/BrianSommer17/status/800382983727247360
Lit_Up;2016-11-20 02:06;0;0;"#newyork #newyorkcity #nyc #trump #protest #nazi #fuhrer #racist #notmypresident #history @… https://www. instagram.com/p/BNByoUYDLOv/";;@;#newyork #newyorkcity #nyc #trump #protest #nazi #fuhrer #racist #notmypresident #history;"800279203241455616";https://twitter.com/Lit_Up/status/800279203241455616
pastelmadonna;2016-11-19 19:39;0;0;"You are not alone. #notmypresident #protest #encouragement #love #unionsquare #manhattan … https://www. instagram.com/p/BNBGcb4DnHh/";;;#notmypresident #protest #encouragement #love #unionsquare #manhattan;"800181868784209920";https://twitter.com/pastelmadonna/status/800181868784209920
sugradst;2016-11-19 19:33;0;1;"#notmypresident #nevertrump @University Club of New York https://www. instagram.com/p/BNBFsomhmTI/";;@University;#notmypresident #nevertrump;"800180220846190592";https://twitter.com/sugradst/status/800180220846190592
Angel_boebangel;2016-11-19 19:25;0;0;"#NotMyPresident @Brooklyn 5th Ave https://www. instagram.com/p/BNBEzN-BTH8O r8vmX5cjJADPtdsFO4SvFe9sDM0/ …";;@Brooklyn;#NotMyPresident;"800178248344682497";https://twitter.com/Angel_boebangel/status/800178248344682497
LadyChampagneB;2016-11-19 19:10;0;1;"bettymwhite for the win! #notmyvp #quitwining #smh #notmypresident #bealeader #growup #beaman … https://www. instagram.com/p/BNBDHjWjhRt/";;;#notmyvp #quitwining #smh #notmypresident #bealeader #growup #beaman;"800174550197497856";https://twitter.com/LadyChampagneB/status/800174550197497856
screaMachineART;2016-11-19 18:29;0;1;""Protest/Dangerous" @ Union Square now! In the pouring rain #dumptrump #notmypresident … https://www. instagram.com/p/BNA-Xv5h_BB/";;@;#dumptrump #notmypresident;"800164110256128001";https://twitter.com/screaMachineART/status/800164110256128001
raultorres2000;2016-11-19 16:39;0;2;"You are so right George!!! #HamiltonMusical Donald J. Trump #TrumpVsAllofUs #NotMyPresident … https://www. instagram.com/p/BNAxzizhN03/";;;#HamiltonMusical #TrumpVsAllofUs #NotMyPresident;"800136476914634753";https://twitter.com/raultorres2000/status/800136476914634753
livjonesNYC;2016-11-19 14:24;0;0;"Life as a #NastyWoman #imstillwithher #NotMyPresident #newyork #lovetrumpshate … https://www. instagram.com/p/BNAiTFiFjCP/";;;#NastyWoman #imstillwithher #NotMyPresident #newyork #lovetrumpshate;"800102381929328641";https://twitter.com/livjonesNYC/status/800102381929328641
wanert;2016-11-19 14:14;0;0;"53rd and 5th Avenue, NYC - #notmypresident rally Day 4 - The March, Part XIII - #nastywoman -… https://www. instagram.com/p/BNAhKwxhS7q/";;;#notmypresident #nastywoman;"800099891842162688";https://twitter.com/wanert/status/800099891842162688
Skyevonderosten;2016-11-19 14:02;0;0;"Dump Trump #dumptrump #march #notmypresident #livelovenothate #lovetrumpshate #imwithher … https://www. instagram.com/p/BNAf0JHBcI_/";;;#dumptrump #march #notmypresident #livelovenothate #lovetrumpshate #imwithher;"800096915362717696";https://twitter.com/Skyevonderosten/status/800096915362717696
Chef_Madewell;2016-11-19 11:52;1;0;"Doing our part to rid the country of #Trump #notmypresident @34th Street https://www. instagram.com/p/BNAQ5PsjskI/";;@34th;#Trump #notmypresident;"800064117361016832";https://twitter.com/Chef_Madewell/status/800064117361016832
LifeOfActions;2016-11-19 10:28;0;0;"#H8 ############dumptrump #trumpprotest #notmypresident … https://www. instagram.com/p/BNAHYHGh17f/";;;#H8 # # # # # # # # # # # #dumptrump #trumpprotest #notmypresident;"800043174638948353";https://twitter.com/LifeOfActions/status/800043174638948353
stereo_bros;2016-11-19 08:08;1;0;"Lmaooo they get it. #trump #hillaryclinton #election2016 #notmypresident @Ample Hills Creamery https://www. instagram.com/p/BLYuR9GBe8W/";;@Ample;#trump #hillaryclinton #election2016 #notmypresident;"800007773052289026";https://twitter.com/stereo_bros/status/800007773052289026
jpeglermorgan;2016-11-19 08:03;0;0;"#sadbuttrue #notmypresident @New York, New York https://www. instagram.com/p/BM_2stBjV3j/";;@New;#sadbuttrue #notmypresident;"800006499326169088";https://twitter.com/jpeglermorgan/status/800006499326169088
Lit_Up;2016-11-19 04:06;0;0;"Me and "The Donald" get on just fine. He's definitely #notmypresident ! #trump #nyc #newyork … https://www. instagram.com/p/BM_bmAcjQm7/";;;#notmypresident #trump #nyc #newyork;"799946894583721985";https://twitter.com/Lit_Up/status/799946894583721985
Empressjurnee;2016-11-19 02:36;0;1;"Grand rising Sun people #respectThaMagic #notmypresident @New York, New York https://www. instagram.com/p/BM_RUvPjJ0C/";;@New;#respectThaMagic #notmypresident;"799924310672633857";https://twitter.com/Empressjurnee/status/799924310672633857
LifeOfActions;2016-11-18 22:07;0;0;"#H8 ############dumptrump #trumpprotest #notmypresident #@Trump… https://www. instagram.com/p/BM-yhB4hHtt/";;@Trump;#H8 # # # # # # # # # # # #dumptrump #trumpprotest #notmypresident #;"799856566346260480";https://twitter.com/LifeOfActions/status/799856566346260480
LifeOfActions;2016-11-18 21:29;0;1;"#H8 ############dumptrump #trumpprotest #notmypresident #@Trump… https://www. instagram.com/p/BM-uNd5hCyo/";;@Trump;#H8 # # # # # # # # # # # #dumptrump #trumpprotest #notmypresident #;"799847096492781569";https://twitter.com/LifeOfActions/status/799847096492781569
fumey;2016-11-18 17:26;0;1;"#history #nyc #subway #tearsforfears #notmypresident @New York Transit Museum https://www. instagram.com/p/BM-SWgLArj1/";;@New;#history #nyc #subway #tearsforfears #notmypresident;"799785830655131648";https://twitter.com/fumey/status/799785830655131648
wanert;2016-11-18 13:30;0;0;"53rd and 5th Avenue, NYC - #notmypresident rally Day 4 - The March, Part XII - Reflections - see… https://www. instagram.com/p/BM93VD1hRj0/";;;#notmypresident;"799726412508762113";https://twitter.com/wanert/status/799726412508762113
Chef_Madewell;2016-11-18 12:33;0;0;"I'M BACK DONALD!!! #privatechef #nyc #notmypresident @New York, New York https://www. instagram.com/p/BM9wzATjNaq/";;@New;#privatechef #nyc #notmypresident;"799712048510701568";https://twitter.com/Chef_Madewell/status/799712048510701568
BobertEA;2016-11-18 12:04;1;1;"#blacklivesmatter #lovewins #notmypresident #imstillwithher #postitprotest #postitproject @14th… https://www. instagram.com/p/BM9tgWFh1sw/";;@14th;#blacklivesmatter #lovewins #notmypresident #imstillwithher #postitprotest #postitproject;"799704809272053760";https://twitter.com/BobertEA/status/799704809272053760
jpeglermorgan;2016-11-18 10:44;0;0;"#sadbuttrue #notmypresident @New York, New York https://www. instagram.com/p/BM9kVctjr5_/";;@New;#sadbuttrue #notmypresident;"799684640793464832";https://twitter.com/jpeglermorgan/status/799684640793464832
willohare;2016-11-18 10:01;0;0;"Bully Culprit #nyc #protest #notmypresident #trump #bullyculprit #street #everybodystreet … https://www. instagram.com/p/BM9fc-LjsJe/";;;#nyc #protest #notmypresident #trump #bullyculprit #street #everybodystreet;"799673907833868288";https://twitter.com/willohare/status/799673907833868288
jpeglermorgan;2016-11-18 09:25;0;0;"#sadbuttrue #notmypresident @New York, New York https://www. instagram.com/p/BM9bX4Fj298/";;@New;#sadbuttrue #notmypresident;"799664933172576256";https://twitter.com/jpeglermorgan/status/799664933172576256
wanert;2016-11-18 08:22;0;0;"53rd and 5th Avenue, NYC - #notmypresident rally Day 4 - The March, Part X - Focused - see more,… https://www. instagram.com/p/BM9UJiXBZG0/";;;#notmypresident;"799649050911862784";https://twitter.com/wanert/status/799649050911862784
