username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Appl3ADay;2013-03-14 16:59;0;0;"I just ousted Darlene V. as the mayor of Northgate Veterinary on @foursquare ! http:// 4sq.com/bSvHGI";;@foursquare;;"312352429725327360";https://twitter.com/Appl3ADay/status/312352429725327360
celestedeee;2013-03-14 16:59;0;0;"http://www. youtube.com/watch?v=zxrbhy 2v3Us&feature=youtube_gdata_player …";;;;"312352426646712320";https://twitter.com/celestedeee/status/312352426646712320
MGMAUTO;2013-03-14 16:59;0;0;"I'm at Sunrise Mall - @sunrisemall1 w/ @himynameiscodyj http:// 4sq.com/WqVARS";;@sunrisemall1 @himynameiscodyj;;"312352407545843713";https://twitter.com/MGMAUTO/status/312352407545843713
juditherazo;2013-03-14 16:59;0;0;"Sick probz pic.twitter.com/lDxFTOh6Z3";;;;"312352396577759232";https://twitter.com/juditherazo/status/312352396577759232
jnzooger;2013-03-14 16:59;0;0;"@Nobu_San85 thnx man. So far I can see enough to tweet today when just this morning everything was just a blur of color.";;@Nobu_San85;;"312352392379248641";https://twitter.com/jnzooger/status/312352392379248641
MichaelYoukana7;2013-03-14 16:59;0;0;"@Emileezyy other girls you say? I know no such thing";;@Emileezyy;;"312352379544670208";https://twitter.com/MichaelYoukana7/status/312352379544670208
Braccs;2013-03-14 16:59;0;0;"Out of work and on my way to the #Castro to see @LinsanityMovie at @Castro_Theatre . #CAAMFest #SanFrancisco @benz415";;@LinsanityMovie @Castro_Theatre @benz415;#Castro #CAAMFest #SanFrancisco;"312352378135392256";https://twitter.com/Braccs/status/312352378135392256
emgrant1;2013-03-14 16:59;0;0;"Stumbled across a quidditch match in Berkeley yesterday #onlyinamerica";;;#onlyinamerica;"312352373857202177";https://twitter.com/emgrant1/status/312352373857202177
maichidarling;2013-03-14 16:59;0;0;"Just seen Eddy, whhuuuut";;;;"312352370103300096";https://twitter.com/maichidarling/status/312352370103300096
AMatthewMusic;2013-03-14 16:59;0;0;"My view tonight #studio #reason #epicpads #sustainforever @The Mission Vacaville http:// instagr.am/p/W23Eowvj2a/";;@The;#studio #reason #epicpads #sustainforever;"312352358698987520";https://twitter.com/AMatthewMusic/status/312352358698987520
calfairfax;2013-03-14 16:59;1;0;"i remember when @_princessjeanne came over for the first time and her sister was wearing a jb shirt & i thought her mom was her older sister";;@_princessjeanne;;"312352353238020096";https://twitter.com/calfairfax/status/312352353238020096
sharytran;2013-03-14 16:59;1;0;"@feistyfoodie That isn't even a Japanese stereotype caricature! Racism, you're doing it wrong.";;@feistyfoodie;;"312352349328920576";https://twitter.com/sharytran/status/312352349328920576
mauristic;2013-03-14 16:59;0;0;"@nathy_matthews the way we developed in the womb. Before testosterone kicks in we all have the same body parts.";;@nathy_matthews;;"312352347382763520";https://twitter.com/mauristic/status/312352347382763520
laur_k;2013-03-14 16:59;0;0;"Green Banana Almond smoothie at The Plant: homemade almond mylk, kale, almond butter, & banana.… http:// instagr.am/p/W227TZSOoc/";;;;"312352331582808064";https://twitter.com/laur_k/status/312352331582808064
ceecee_loveees;2013-03-14 16:59;0;0;"i always wait till the last minute";;;;"312352324716724224";https://twitter.com/ceecee_loveees/status/312352324716724224
ellechancer;2013-03-14 16:59;0;0;"We're at a restaurant. Hahaha I'm always ready to get fat. lol";;;;"312352321566818304";https://twitter.com/ellechancer/status/312352321566818304
Warn_A_brotha;2013-03-14 16:59;0;0;"@Gmaric42 duuuude I'm always down maaaan, whenever ur down or in town u need to hit me cuz I'm always trying to find people who are down lol";;@Gmaric42;;"312352316885958656";https://twitter.com/Warn_A_brotha/status/312352316885958656
pelonchavinda;2013-03-14 16:59;0;0;"@Azulita4ever @carmenamor69 @ERAZNOYLACHOKO @GARBANZO5 ati te gustaria bofona ke te llegara tu hijo con una mama pato ke tenga una docena ja";;@Azulita4ever @carmenamor69 @ERAZNOYLACHOKO @GARBANZO5;;"312352313748639744";https://twitter.com/pelonchavinda/status/312352313748639744
PheeHUNN1T;2013-03-14 16:59;0;1;"@RealYung_LB very much welcomed :-) See you at the MANA conference!";;@RealYung_LB;;"312352313127886849";https://twitter.com/PheeHUNN1T/status/312352313127886849
katamoret;2013-03-14 16:59;0;0;"Time to wake the fuck up. @Specialty's Cafe & Bakery http:// instagr.am/p/W23NdnRCqy/";;@Specialty;;"312352309579505664";https://twitter.com/katamoret/status/312352309579505664
BeastMancia;2013-03-14 16:59;5;1;"If every kiss begins with "k" then I'm just going to assume that when you text me "k" you secretly want to make out.";;;;"312352305070628864";https://twitter.com/BeastMancia/status/312352305070628864
ThisDickkkkk;2013-03-14 16:59;1;2;"@EaatMeDoownLoow cohs i can (;";;@EaatMeDoownLoow;;"312352297969676288";https://twitter.com/ThisDickkkkk/status/312352297969676288
thawk147;2013-03-14 16:59;0;0;"Might have to get stitches!";;;;"312352295318876161";https://twitter.com/thawk147/status/312352295318876161
bowscollective;2013-03-14 16:59;0;0;"#happyhour #sangria done right #bows #patio #sacramento $4...the most beautiful day ever in #california @… http:// instagr.am/p/W23Lmdk_qW/";;@;#happyhour #sangria #bows #patio #sacramento #california;"312352293561434112";https://twitter.com/bowscollective/status/312352293561434112
PeterBarile;2013-03-14 16:59;0;0;"Concrete pattern blocks. $30/each. #designporn @The Workshop Residence http:// instagr.am/p/W23JM9rwmI/";;@The;#designporn;"312352290411536384";https://twitter.com/PeterBarile/status/312352290411536384
