username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NewYorkCP;2014-12-09 15:49;0;0;"Bratton Address Efforts to Improve Public Safety: The Eric Garner grand jury decision is shining a spotlight on the… http:// dlvr.it/7mq5Hh";;;;"542465982241857537";https://twitter.com/NewYorkCP/status/542465982241857537
NewYorkCP;2014-12-09 15:18;0;0;"Can Eric Garner protests impact retail sales?: Since the Eric Garner grand jury decision came down last week we've… http:// dlvr.it/7mpYcP";;;;"542458198024667136";https://twitter.com/NewYorkCP/status/542458198024667136
thelivelyrachel;2014-12-09 14:14;0;0;"Columbia Law School Is Allowing Students to Postpone Exams Over Garner and Brown Decisions http:// nym.ag/1D4nk5z";;;;"542442178140573697";https://twitter.com/thelivelyrachel/status/542442178140573697
TheRevAl;2014-12-09 13:18;24;49;"Just taped Dr . Phil's Show with the Brown and Garner family members. Headed back to 30 Rock. Politics Nation live at 6 pm est on MSNBC.";;;;"542428090899525633";https://twitter.com/TheRevAl/status/542428090899525633
EmilWilbekin;2014-12-09 12:29;0;0;"Party with A Purpose!!! Tomorrow night $20 to enter goes to Eric Garner 's children. Proud to join… http:// instagram.com/p/wZkA9tRYsK/";;;;"542415808941420544";https://twitter.com/EmilWilbekin/status/542415808941420544
louiscamello;2014-12-09 10:53;0;0;"@KingJames garner death a tragedy, but he has 31 prior Arrests. He would be breathing if he just put his hands behind his back like instruct";;@KingJames;;"542391631207354369";https://twitter.com/louiscamello/status/542391631207354369
JulissaBaez1;2014-12-09 10:07;1;2;"Taking a breath. Baruch College responds to the deaths of Eric Garner and Michael Brown. @Baruch College http:// instagram.com/p/wZTvJ8HaEM/";;@Baruch;;"542380009990545408";https://twitter.com/JulissaBaez1/status/542380009990545408
NewYorkCP;2014-12-09 09:56;0;0;"Columbia Lets Students Disturbed by Garner Decision Delay Exams: Columbia Law School is allowing students to… http:// dlvr.it/7mhlT4";;;;"542377199920103424";https://twitter.com/NewYorkCP/status/542377199920103424
VinceBrunda4NJ;2014-12-09 09:53;0;0;""Columbia Law students get exams delayed to deal with 'trauma' of Ferguson, Garner decisions." What's next.....permenant PTSD?";;;;"542376417141751808";https://twitter.com/VinceBrunda4NJ/status/542376417141751808
transit010;2014-12-09 09:07;2;1;"I got some ideas for T-Shirts Lebron James and alike should wear. 1-"I've been arrested 32 times" 2-"I'm a lifelong criminal" #Garner &Brown";;;#Garner;"542364923524050944";https://twitter.com/transit010/status/542364923524050944
NewYorkCP;2014-12-09 05:39;0;0;"LeBron On Garner Protest Shirt: ‘It Was A Message To The Family’: LeBron James, Kyrie Irving and multiple Brooklyn… http:// dlvr.it/7mbL0H";;;;"542312641310371840";https://twitter.com/NewYorkCP/status/542312641310371840
Sadyoh;2014-12-09 04:37;0;0;"Wow white ppl “ @pewresearch : Sharp Racial Divisions in Reactions to Brown, Garner Decisions http:// pewrsr.ch/1ywLZYK pic.twitter.com/hHoviOVP5v ”";;@pewresearch;;"542297072876421120";https://twitter.com/Sadyoh/status/542297072876421120
GuzmaBeatriz;2014-12-09 03:09;0;0;"How A New York Seminary Became A Hub For Eric Garner Protests http:// thkpr.gs/3600539 via @thinkprogress";;@thinkprogress;;"542274855102869504";https://twitter.com/GuzmaBeatriz/status/542274855102869504
rhymes4relief;2014-12-09 00:41;0;0;"Many Thanks to Russell Simmons Eric Garner Jr. for coming out to support #JusticeLeagueNYC 's action… http:// instagram.com/p/wYTACIisT3/";;;#JusticeLeagueNYC;"542237653039460352";https://twitter.com/rhymes4relief/status/542237653039460352
NewYorkCP;2014-12-08 23:17;0;0;"Garner Decision Protesters Surround Barclays Center; Players Wear Shirts That Say 'I Can't Breathe': Protesters… http:// dlvr.it/7mPyKK";;;;"542216357438173185";https://twitter.com/NewYorkCP/status/542216357438173185
bestbooks2read;2014-12-08 22:15;0;0;"@es_snipes God is good and you all were great on CNN we all support the Garner family";;@es_snipes;;"542200936270401536";https://twitter.com/bestbooks2read/status/542200936270401536
sparrowmedia;2014-12-08 21:57;12;2;"35 people die-in for Eric Garner while 150 cops watch @14st Union Square http:// instagram.com/p/wYAL3Dh6gA/";;@14st;;"542196277748850688";https://twitter.com/sparrowmedia/status/542196277748850688
