username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kylieclemente10;2014-07-30 16:59;0;1;"@mariahtrotter kaayyy!";;@mariahtrotter;;"494633537027321858";https://twitter.com/kylieclemente10/status/494633537027321858
Miistydawn;2014-07-30 16:59;0;0;"@Jollo_H_Grant forensic files is on";;@Jollo_H_Grant;;"494633529431449600";https://twitter.com/Miistydawn/status/494633529431449600
goztepeli;2014-07-30 16:59;2;0;"Thinking of switching to another carrier than @at &t . Horrible reception most of the time and slow 4G. Maybe getting #galaxy s5. Who's best?";;@at;#galaxy;"494633526537363456";https://twitter.com/goztepeli/status/494633526537363456
_laurenelse;2014-07-30 16:59;0;8;"And nobody snaps me :')";;;;"494633504261435392";https://twitter.com/_laurenelse/status/494633504261435392
Tarek53180;2014-07-30 16:59;0;0;"@abc7newsBayArea anytime your anchors are infront of the smart board there is feedback coming thru its a high pitch";;@abc7newsBayArea;;"494633502113927168";https://twitter.com/Tarek53180/status/494633502113927168
helena;2014-07-30 16:59;0;3;"And just like that, I'm back to real life. Hi San Francisco. @Oakland International Airport http:// instagram.com/p/rGDIs9vmSt/";;@Oakland;;"494633495600181248";https://twitter.com/helena/status/494633495600181248
rosalifai;2014-07-30 16:59;0;0;"@vramirez1997 @heeeyitsraerae k coo";;@vramirez1997 @heeeyitsraerae;;"494633486490169344";https://twitter.com/rosalifai/status/494633486490169344
yaaaaay_aj;2014-07-30 16:59;0;0;"Well she interpreted it the wrong way.";;;;"494633484636262401";https://twitter.com/yaaaaay_aj/status/494633484636262401
emmamarinara;2014-07-30 16:59;0;1;"Almost forgot my favotite one... Me trying to run away from school on the first day. @NeverAhKen pic.twitter.com/6kKXNHUmGs";;@NeverAhKen;;"494633480119009280";https://twitter.com/emmamarinara/status/494633480119009280
radknees;2014-07-30 16:59;0;0;"if only theres a way to get intoxicated from eraser crumbs...";;;;"494633476289605632";https://twitter.com/radknees/status/494633476289605632
juliet_orellana;2014-07-30 16:59;0;1;"I'm too tired for this shit";;;;"494633468530147328";https://twitter.com/juliet_orellana/status/494633468530147328
Haji_Sosa;2014-07-30 16:59;0;0;"I'm trynna grub sumn vicious";;;;"494633467288633344";https://twitter.com/Haji_Sosa/status/494633467288633344
tiddytwister;2014-07-30 16:59;0;0;"my mom won't even text me back";;;;"494633463635386368";https://twitter.com/tiddytwister/status/494633463635386368
HeartBreakKayy;2014-07-30 16:59;0;0;"Okay .... I think I'm done changing my avi... Maybe lol";;;;"494633461739560960";https://twitter.com/HeartBreakKayy/status/494633461739560960
meshellaFADED;2014-07-30 16:59;0;0;"Let me love you though, I ain’t like these chicks Lovin’ you for your dough, money goes quick";;;;"494633460699385858";https://twitter.com/meshellaFADED/status/494633460699385858
victorlifeboyli;2014-07-30 16:59;0;1;"Now let's prepare to #BeatNY & possibly #TakeBackTheWest , @SFGiants . #Mets #BeatLA #GoSFGiants #SFGiants";;@SFGiants;#BeatNY #TakeBackTheWest #Mets #BeatLA #GoSFGiants #SFGiants;"494633459650809856";https://twitter.com/victorlifeboyli/status/494633459650809856
_allisonbeth_;2014-07-30 16:59;0;0;"Climbing trees @Stanford University http:// instagram.com/p/rGDHoJpcyl/";;@Stanford;;"494633458518343683";https://twitter.com/_allisonbeth_/status/494633458518343683
broookemelog;2014-07-30 16:59;0;0;"Nevermind the internet lied";;;;"494633452621148160";https://twitter.com/broookemelog/status/494633452621148160
VivaLaBri;2014-07-30 16:59;0;1;"@marissanotsoshy HAHAHHA no but seriously text me butt muncher";;@marissanotsoshy;;"494633448443613185";https://twitter.com/VivaLaBri/status/494633448443613185
tay_nelson3;2014-07-30 16:59;0;5;"@JuliaBroadland did you take a tumble again??";;@JuliaBroadland;;"494633436871553024";https://twitter.com/tay_nelson3/status/494633436871553024
HGillar;2014-07-30 16:59;0;2;"@ColtonSwisher @PFlores92 that's what you think.. Nice profile pic btw you look gewwwwd";;@ColtonSwisher @PFlores92;;"494633431867731970";https://twitter.com/HGillar/status/494633431867731970
meshellaFADED;2014-07-30 16:59;0;0;"Love stays, money goes, love a nigga rich Love games, funny hoes, on a nigga dick";;;;"494633427790876673";https://twitter.com/meshellaFADED/status/494633427790876673
sophie_cove;2014-07-30 16:59;0;1;"I just got a tie die shirt in Berkeley";;;;"494633427669245952";https://twitter.com/sophie_cove/status/494633427669245952
tkawryga;2014-07-30 16:59;0;0;"pic.twitter.com/V3y42shEp1";;;;"494633420463431681";https://twitter.com/tkawryga/status/494633420463431681
Preventionish;2014-07-30 16:59;0;0;"Drugs,Drug addiction has no religious preference and is color blind!";;;;"494633415337992194";https://twitter.com/Preventionish/status/494633415337992194
LynnOAult;2014-07-30 16:59;1;0;"@wiscuntsin You don't know anything about me. Your assumptions are laughable. Be well though and know that I wish you well.";;@wiscuntsin;;"494633407649832960";https://twitter.com/LynnOAult/status/494633407649832960
rosalifai;2014-07-30 16:59;0;1;"@heeeyitsraerae @vramirez1997 tru";;@heeeyitsraerae @vramirez1997;;"494633405938561025";https://twitter.com/rosalifai/status/494633405938561025
Drew_bare;2014-07-30 16:59;0;0;"I need something to consume all my time again";;;;"494633402750889984";https://twitter.com/Drew_bare/status/494633402750889984
MsJacksonnnnnn;2014-07-30 16:59;0;0;"If you still support Obama you might be an idiot";;;;"494633402004303872";https://twitter.com/MsJacksonnnnnn/status/494633402004303872
julp;2014-07-30 16:59;0;1;"i'm sure the other people in this meeting love watching me stuff my face with caesar salad (u just jealous)";;;;"494633395511504896";https://twitter.com/julp/status/494633395511504896
felicia_niicole;2014-07-30 16:59;1;1;"MARIA IS ONE DUMB HOE. but she's giving me life rn!";;;;"494633392948793344";https://twitter.com/felicia_niicole/status/494633392948793344
NattieSando;2014-07-30 16:59;0;0;"@Zahra @bohan @roter @JimsVest @jimpayne @Elizaleary @mopub @PubKevin @adambain #winner !";;@Zahra @bohan @roter @JimsVest @jimpayne @Elizaleary @mopub @PubKevin @adambain;#winner;"494633389660467200";https://twitter.com/NattieSando/status/494633389660467200
TeresaDRose;2014-07-30 16:59;0;0;"How greedy can you get?? There are people that work for $8 an hour. You should be beyond happy with that type of funding.";;;;"494633384283348992";https://twitter.com/TeresaDRose/status/494633384283348992
camillewehr;2014-07-30 16:59;0;3;"For all the concerts I'm going to see this year I've probably spent over 500 dollars on tickets. I'm literally the bread emoji";;;;"494633381154390016";https://twitter.com/camillewehr/status/494633381154390016
