username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SHOCKWAVE_LO;2015-04-29 16:59;0;0;"Turn you'll radio's on 103.1fm to listen "Shock wavE" w/ 1bklynmystery LIVE frm Now - Until… https:// instagram.com/p/2FAKcqyj0U/";;;;"593565413511946240";https://twitter.com/SHOCKWAVE_LO/status/593565413511946240
Justustalking2;2015-04-29 16:59;0;0;"#Mets";;;#Mets;"593565388153171968";https://twitter.com/Justustalking2/status/593565388153171968
MattBlankPlease;2015-04-29 16:59;0;1;"10 Tony noms. That's no joke. Bring it home, BDJ! @St. James Theatre https:// instagram.com/p/2FAJkHFINz/";;@St;;"593565382599933955";https://twitter.com/MattBlankPlease/status/593565382599933955
Busoladimplez;2015-04-29 16:59;0;0;"That moment when you let the sun hit your face and the warmth feels golden... @Battery Park New York https:// instagram.com/p/2FAJgEDL7h/";;@Battery;;"593565379768786945";https://twitter.com/Busoladimplez/status/593565379768786945
Iam_NumberSix;2015-04-29 16:59;0;0;"With a #passing breeze you can feel the mist of past #spirits . Old #twintowers #memorial #fountain … https:// instagram.com/p/2FAJQ-Gd9w/";;;#passing #spirits #twintowers #memorial #fountain;"593565372202225664";https://twitter.com/Iam_NumberSix/status/593565372202225664
HarmanTech;2015-04-29 16:59;2;2;"But would the technology work? @Harman 's IP Park replies "We can do it" at @Quirky + Harman #Live #Eval pic.twitter.com/sOQmXJRItS";;@Harman @Quirky;#Live #Eval;"593565359766171649";https://twitter.com/HarmanTech/status/593565359766171649
flolau_b;2015-04-29 16:59;0;0;"#squidink #paella so goood yummn @Socarrat Paella Bar https:// instagram.com/p/2FAIypmZpd/";;@Socarrat;#squidink #paella;"593565359732580352";https://twitter.com/flolau_b/status/593565359732580352
allisonsuzanne;2015-04-29 16:59;0;0;"drinks with a view. @The Frying Pan - NYC https:// instagram.com/p/2FAIw1So58/";;@The;;"593565354477146112";https://twitter.com/allisonsuzanne/status/593565354477146112
thaami_maaia;2015-04-29 16:59;0;0;"{O melhor presente que a dança poderia me dar...} #diamundialdadança #nãovivosem #melhordomundo @… https:// instagram.com/p/2FAIS5lcyM/";;@;#diamundialdadan #n #melhordomundo;"593565338719166464";https://twitter.com/thaami_maaia/status/593565338719166464
RoyMillerMusic;2015-04-29 16:59;0;0;"Out here in NYC with my cuz!! How much I love my fam! #SweetSoul #TC @Webster Ave & 169th Street https:// instagram.com/p/2FAID2GqpC/";;@Webster;#SweetSoul #TC;"593565330338897921";https://twitter.com/RoyMillerMusic/status/593565330338897921
EASY_E87;2015-04-29 16:59;0;0;""All Aboard!" Saturday June 13th #AllWhiteErrrthang !! Tickets and Tables Selling Fast!! … https:// instagram.com/p/2FAH8hCoxq/";;;#AllWhiteErrrthang;"593565330083061761";https://twitter.com/EASY_E87/status/593565330083061761
