username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FortyNickels;2011-11-14 15:12;0;0;"Sitting on a bench while a jolly Jamaican lady explains Occupy Wall Street to me. pic.twitter.com/AFYdSZg8";;;;"136219977098330113";https://twitter.com/FortyNickels/status/136219977098330113
ilpaesaggista;2011-11-14 14:15;0;0;"RT @DanMSiegel : No longer Mayor Quan's legal advisor. Resigned at 2 am. Support Occupy Oakland, not the 1% and its government facilitators.";;@DanMSiegel;;"136205627478392832";https://twitter.com/ilpaesaggista/status/136205627478392832
samsimon;2011-11-14 14:12;0;0;"Been here all day About to hose Roundtable : 'Perspectives on Occupy " (@Intersections International w/ @audiometrix ) http:// 4sq.com/tdg7LZ";;@Intersections @audiometrix;;"136204840392069120";https://twitter.com/samsimon/status/136204840392069120
wysk01;2011-11-14 13:54;0;0;"Video: Police Arrest 32, Clear Out Occupy Oakland Camp http:// bit.ly/uXC7ng";;;;"136200458514595840";https://twitter.com/wysk01/status/136200458514595840
ndlegendbillyd;2011-11-14 13:25;0;0;"Part of the occupy America movement pic.twitter.com/HpGzOTNe";;;;"136192990002675712";https://twitter.com/ndlegendbillyd/status/136192990002675712
OccupyPoetics;2011-11-14 12:30;0;0;"Another #Occupy Lego Land picture from #ows at #LibertyPlaza . - http:// moby.to/hh0rjd";;;#Occupy #ows #LibertyPlaza;"136179182353924096";https://twitter.com/OccupyPoetics/status/136179182353924096
OccupyPoetics;2011-11-14 12:28;0;0;"omg I love the creative souls here at #LibertyPlaza . #Occupy Lego Land. #ows #Zuccoti - http:// moby.to/l8x5nb";;;#LibertyPlaza #Occupy #ows #Zuccoti;"136178830883827712";https://twitter.com/OccupyPoetics/status/136178830883827712
Marchitto33;2011-11-14 11:48;0;0;"NBA Fans let's start Occupy Arenas!!";;;;"136168562963394560";https://twitter.com/Marchitto33/status/136168562963394560
joshuacstephens;2011-11-14 11:46;1;0;"RT @pitchforkmedia : Jay-Z's Occupy All Streets shirts are back on sale (still don't benefit Occupy Wall Street) http:// p4k.in/tRFIGA #fb";;@pitchforkmedia;#fb;"136168108099502081";https://twitter.com/joshuacstephens/status/136168108099502081
wysk01;2011-11-14 09:51;0;0;"Video: Mayor: Oakland Protest Camp Had to Go http:// bit.ly/v2qol8";;;;"136139241322319872";https://twitter.com/wysk01/status/136139241322319872
ViolinMonster;2011-11-14 09:34;0;1;"I'm hanging out at Occupy Wall Street. It's unbelievable! Nice to see the heart of the movement.";;;;"136134996934148096";https://twitter.com/ViolinMonster/status/136134996934148096
NasJab;2011-11-14 09:16;0;0;"“ @foxchicago : UChicago cancels event with Condoleeza Rice that #OccupyChi was planning to protest http:// bit.ly/rBPY9E ” @Abou_Charlie";;@foxchicago @Abou_Charlie;#OccupyChi;"136130476753690624";https://twitter.com/NasJab/status/136130476753690624
NasJab;2011-11-14 09:16;0;0;"“ @foxchicago : UChicago cancels event with Condoleeza Rice that #OccupyChi was planning to protest http:// bit.ly/rBPY9E ” Nice success !!!!";;@foxchicago;#OccupyChi;"136130420319330304";https://twitter.com/NasJab/status/136130420319330304
aziezauhnavy;2011-11-14 09:14;0;0;"I'm at Occupy Wall Street !!! (NY) http:// 4sq.com/tl46Fy";;;;"136129811281223681";https://twitter.com/aziezauhnavy/status/136129811281223681
micahreed;2011-11-14 08:42;0;0;"Occupy wall street. Going strong. Will they be here in January when it's 20 degrees? Imma say no. pic.twitter.com/bagqybyg";;;;"136121756011339778";https://twitter.com/micahreed/status/136121756011339778
CheekyFly;2011-11-14 07:51;0;0;"Occupy ALL Streets";;;;"136108937182326784";https://twitter.com/CheekyFly/status/136108937182326784
zseward;2011-11-14 07:48;7;1;"Occupy Wall Street slipping into SEC filings by financial firms: "risks associated with negative public opinion" http:// on.wsj.com/sAOFQ8";;;;"136108150498672641";https://twitter.com/zseward/status/136108150498672641
11217;2011-11-14 07:16;0;0;"Occupy Brooklyn - Featuring Atlantic Yards http:// bit.ly/rCByxk via http:// outside.in/11217";;;;"136100081282727936";https://twitter.com/11217/status/136100081282727936
topix_ny;2011-11-14 04:19;0;0;"LGBT New Yorkers Join Occupy Wall Street Movement - http:// bit.ly/vMmjiQ #NewYork #NewYork";;;#NewYork #NewYork;"136055668376485889";https://twitter.com/topix_ny/status/136055668376485889
topix_nyc;2011-11-14 04:16;0;0;"LGBT New Yorkers Join Occupy Wall Street Movement: Nearly two months into the Occupy Wall Street movement, the s... http:// bit.ly/t8uHH9";;;;"136054952123576320";https://twitter.com/topix_nyc/status/136054952123576320
skione;2011-11-14 03:58;0;0;"@opieradio u guys have become completely partisan and hypocritical with this #occupy shit";;@opieradio;#occupy;"136050435017539584";https://twitter.com/skione/status/136050435017539584
wysk01;2011-11-14 03:56;0;0;"Video: Dozens Arrested at ' Occupy ' Encampments http:// bit.ly/uKXKfH";;;;"136049955860250625";https://twitter.com/wysk01/status/136049955860250625
wysk01;2011-11-14 03:56;0;0;"Video: Dozens Arrested at ' Occupy ' Encampments http:// bit.ly/vfE6sz";;;;"136049954572611585";https://twitter.com/wysk01/status/136049954572611585
topix_nyc;2011-11-14 03:40;0;0;"LGBT New Yorkers Join Occupy Wall Street Movement: Nearly two months into the Occupy Wall Street movement, the s... http:// bit.ly/twcaHa";;;;"136045803872595968";https://twitter.com/topix_nyc/status/136045803872595968
topix_ny;2011-11-14 00:34;0;0;"LGBT New Yorkers Join Occupy Wall Street Movement - http:// bit.ly/uvedmc #WashingtonHeights #NewYork";;;#WashingtonHeights #NewYork;"135998906076119040";https://twitter.com/topix_ny/status/135998906076119040
iamBrandonZ;2011-11-13 21:47;0;0;"Oh dear. It's coming uptown. #occupy http:// twitpic.com/7e2thf";;;#occupy;"135957121668878336";https://twitter.com/iamBrandonZ/status/135957121668878336
ilpaesaggista;2011-11-13 19:17;0;0;"The 99% excluding the 99% RT @valliegator "The Harvard encampment, much like the university itself, is highly exclusive." nytimes on occupy";;@valliegator;;"135919188475781120";https://twitter.com/ilpaesaggista/status/135919188475781120
prn_radio;2011-11-13 15:52;0;0;"RT @anon_refundable Police clear Occupy sites, arrest protesters http://www. wfmz.com/news/Police-cl ear-Occupy-sites-arrest-protesters/-/121458/4738830/-/3vc0aaz/-/ …";;@anon_refundable;;"135867776731578369";https://twitter.com/prn_radio/status/135867776731578369
mbytz;2011-11-13 15:52;0;0;"RT @anon_refundable Police clear Occupy sites, arrest protesters http://www. wfmz.com/news/Police-cl ear-Occupy-sites-arrest-protesters/-/121458/4738830/-/3vc0aaz/-/ …";;@anon_refundable;;"135867760600285185";https://twitter.com/mbytz/status/135867760600285185
topix_nyc;2011-11-13 15:38;0;0;"Marchers protest burned cars in B'klyn Jewish enclave: About 100 people are marching through Brooklyn to protest ... http:// bit.ly/u9WY6X";;;;"135864083525275648";https://twitter.com/topix_nyc/status/135864083525275648
topix_ny;2011-11-13 15:38;0;0;"Occupy Your Block:Taking The 99% Movement To Our Neighborhoods - http:// bit.ly/trnejY #Manhattan #NewYork";;;#Manhattan #NewYork;"135864070506164224";https://twitter.com/topix_ny/status/135864070506164224
Buddhagem;2011-11-13 15:33;0;0;"“ @TheOther99 : UPDATE: Crowd now chanting "We Love You! We Love You!" at rows of riot police in helmets and batons.. #OO #OWS #opdx #Occupy";;@TheOther99;#OO #OWS #opdx #Occupy;"135862867508465664";https://twitter.com/Buddhagem/status/135862867508465664
11217;2011-11-13 15:17;0;0;"McBrooklyn: Occupy Brooklyn Marches to Atlantic Yards and Other Sites of Corporate Greed http:// bit.ly/tkGi8L via http:// outside.in/11217";;;;"135858765063929856";https://twitter.com/11217/status/135858765063929856
topix_nyc;2011-11-13 15:01;0;0;"Marchers protest burned cars in B'klyn Jewish enclave: About 100 people are marching through Brooklyn to protest ... http:// bit.ly/vOiSSw";;;;"135854865162321921";https://twitter.com/topix_nyc/status/135854865162321921
TheRamseyK;2011-11-13 14:13;0;0;"Just walking by...This is insane! (@Occupy Wall Street !!! w/ 3 others) [pic]: http:// 4sq.com/uTNbSQ";;@Occupy;;"135842757393649664";https://twitter.com/TheRamseyK/status/135842757393649664
rosie117;2011-11-13 13:03;0;0;"Occupy Wall Street needs a shower and deodorant.";;;;"135825212452245504";https://twitter.com/rosie117/status/135825212452245504
pandaswarm;2011-11-13 13:01;0;0;"Protesters raising $ with N.Y.P.D (@Occupy Wall Street !!! w/ 2 others) http:// 4sq.com/thNTZC";;@Occupy;;"135824727515217920";https://twitter.com/pandaswarm/status/135824727515217920
moriah_hnath;2011-11-13 13:00;0;0;"Occupy a shower, please #ows pic.twitter.com/mEBPx0q0";;;#ows;"135824306528714752";https://twitter.com/moriah_hnath/status/135824306528714752
topix_ny;2011-11-13 11:55;0;0;"Occupy Brooklyn Marches on Atlantic Yards - http:// bit.ly/rLsUZY #NewYork #NewYork";;;#NewYork #NewYork;"135808044725575682";https://twitter.com/topix_ny/status/135808044725575682
itschelseaaaaa_;2011-11-13 11:54;0;0;"#occupy @#OCCUPYWALLSTREET http:// instagr.am/p/UCIAl/";;@;#occupy #OCCUPYWALLSTREET;"135807826693074945";https://twitter.com/itschelseaaaaa_/status/135807826693074945
10038;2011-11-13 11:16;0;0;"Occupy Portland protesters face off with police over threats of eviction from city parks http:// bit.ly/w4cSHg via http:// outside.in/10038";;;;"135798150660231168";https://twitter.com/10038/status/135798150660231168
10027;2011-11-13 11:16;0;0;"New Outpost Coming For ' Occupy ' Campers http:// bit.ly/rNEGj7 via http:// outside.in/10027";;;;"135798147548061696";https://twitter.com/10027/status/135798147548061696
topix_nyc;2011-11-13 11:00;0;0;"Occupy Brooklyn Marches on Atlantic Yards: The Occupy Brooklyn movement marched on the Atlantic Yards Project as... http:// bit.ly/t6ifJU";;;;"135794079756853249";https://twitter.com/topix_nyc/status/135794079756853249
topix_nyc;2011-11-13 10:52;0;0;"Occupy Brooklyn Marches on Atlantic Yards: The Occupy Brooklyn movement marched on the Atlantic Yards Project as... http:// bit.ly/vfTKUF";;;;"135792135059415040";https://twitter.com/topix_nyc/status/135792135059415040
stevemouzon;2011-11-13 10:20;0;0;"Think I got good shots this morning of the #HighLine (walked entire length) then #OWS protest camp. Later, a few of #ForestHills";;;#HighLine #OWS #ForestHills;"135784054506270721";https://twitter.com/stevemouzon/status/135784054506270721
nseki;2011-11-13 10:13;0;0;"Occupy Wall Street @Zuccotti Park http:// instagr.am/p/UBO68/";;@Zuccotti;;"135782352667414529";https://twitter.com/nseki/status/135782352667414529
JosephSmidt;2011-11-13 06:52;0;0;"The real occupy wall street campground. pic.twitter.com/QYztPT8V";;;;"135731700134191104";https://twitter.com/JosephSmidt/status/135731700134191104
McMillianCo_;2011-11-13 06:10;4;0;"An Identity For Occupy Wall Street #OWS #OccupyDesign #OccupyWallStreet http:// flic.kr/p/auYRhf";;;#OWS #OccupyDesign #OccupyWallStreet;"135721207646531585";https://twitter.com/McMillianCo_/status/135721207646531585
Ryan_McG;2011-11-13 03:52;0;0;"OCCUPY Brooklyn! @Brooklyn Bridge @Tillary Street http:// instagr.am/p/T-h2E/";;@Brooklyn @Tillary;;"135686541421977600";https://twitter.com/Ryan_McG/status/135686541421977600
10038;2011-11-12 22:21;0;0;"Occupy Trenton: High spirits, low numbers http:// bit.ly/udFo5c via http:// outside.in/10038";;;;"135603068057292800";https://twitter.com/10038/status/135603068057292800
Buddhagem;2011-11-12 21:41;0;0;"@OccupyWallStNYC first video up from tonight's march: Buddhagem on YouTube #Occupy Wall Street";;@OccupyWallStNYC;#Occupy;"135593208775315456";https://twitter.com/Buddhagem/status/135593208775315456
topix_ny;2011-11-12 20:57;0;0;"Islanders march in support of growing Occupy movement - http:// bit.ly/rAaCKX #StatenIsland #NewYork";;;#StatenIsland #NewYork;"135582074458488832";https://twitter.com/topix_ny/status/135582074458488832
Buddhagem;2011-11-12 20:53;19;0;"Occupy Wall Street being attacked around the country. Salt Lake City encampment just raided by police with bulldozers #ows";;;#ows;"135580945343451137";https://twitter.com/Buddhagem/status/135580945343451137
Buddhagem;2011-11-12 20:48;0;0;"“ @BreakingNews : Bulldozer runs through Occupy Salt Lake City camp; police arrest at least 4 - via #OccupySLC tweets”";;@BreakingNews;#OccupySLC;"135579772922249217";https://twitter.com/Buddhagem/status/135579772922249217
TravisReilly;2011-11-12 20:27;0;0;"@hearmonicaroar It was karma for all the other times I didn't pick up his poop. That was my protest .";;@hearmonicaroar;;"135574510161248256";https://twitter.com/TravisReilly/status/135574510161248256
shazimc;2011-11-12 19:54;0;0;"A simple, effective message“Annie Leonard Takes On The Occupy Movement With 'Story Of Broke’ http:// is.gd/N8CEoS / @FastCoExist #ows ”";;@FastCoExist;#ows;"135566095766654976";https://twitter.com/shazimc/status/135566095766654976
11217;2011-11-12 19:16;0;0;"Is Jay-Z Trying To Profit From Occupy Wall Street? http:// bit.ly/sRivNe via http:// outside.in/11217";;;;"135556548209545217";https://twitter.com/11217/status/135556548209545217
