username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ALBlack24;2013-11-21 15:59;0;0;"@leahmgoodwin totally repinned that yesterday haha";Queeny, MO;@leahmgoodwin;;"403674138713137153";https://twitter.com/ALBlack24/status/403674138713137153
CarlieMeMaybe;2013-11-21 15:59;0;1;"Why can't we be friends";Blanchette, MO;;;"403674136704471042";https://twitter.com/CarlieMeMaybe/status/403674136704471042
stace2212;2013-11-21 15:59;0;0;"I really want coldstone but I don't wanna go alone. I need my best friend :(. @lilbrody14";Belleville, IL;@lilbrody14;;"403674122376343552";https://twitter.com/stace2212/status/403674122376343552
MaceoBoomin;2013-11-21 15:59;1;1;"@Jeremiahpacmanz you've been laughin since 4th grade hahaha";Edwardsville, IL;@Jeremiahpacmanz;;"403674107134218240";https://twitter.com/MaceoBoomin/status/403674107134218240
brielesparkles;2013-11-21 15:59;0;0;"who do you even talk to in this freaking situation";Des Peres, MO;;;"403674106505084928";https://twitter.com/brielesparkles/status/403674106505084928
_sayRASHAD;2013-11-21 15:59;0;0;"I'm with you!! #Subtweet";Carlinville, IL;;#Subtweet;"403674101245419520";https://twitter.com/_sayRASHAD/status/403674101245419520
Kasey_Lucas;2013-11-21 15:59;0;0;"I'm at Dierbergs School Of Cooking http:// 4sq.com/1e5mrJN";Chesterfield, MO;;;"403674076386197504";https://twitter.com/Kasey_Lucas/status/403674076386197504
Kasey_Lucas;2013-11-21 15:59;0;0;"I'm at Dierbergs School Of Cooking http:// 4sq.com/I2S0cx";Chesterfield, MO;;;"403674076377792513";https://twitter.com/Kasey_Lucas/status/403674076377792513
LCW21;2013-11-21 15:59;0;0;"@StriekerNatalie @Lexey_Whaley13 pic.twitter.com/tugsqdruZB";Arnold, MO;@StriekerNatalie @Lexey_Whaley13;;"403674071465877504";https://twitter.com/LCW21/status/403674071465877504
braedon_mathys;2013-11-21 15:59;0;1;"Crushed the freshman by 22!";Wentzville, MO;;;"403674065120276480";https://twitter.com/braedon_mathys/status/403674065120276480
justdo_WHIT;2013-11-21 15:59;1;1;"My girl @CaitlynObrock is working tonightttt";Hazelwood, MO;@CaitlynObrock;;"403674056186404864";https://twitter.com/justdo_WHIT/status/403674056186404864
_Taylor2xs;2013-11-21 15:59;0;0;"@tylerjeezus I just looked at that shit Whats wrong wit her ass";Creve Coeur, MO;@tylerjeezus;;"403674049194102784";https://twitter.com/_Taylor2xs/status/403674049194102784
