username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ShawnyyXO;2015-03-31 16:59;0;1;"Time to get fucked up. Cause why not?";New Milford, NJ;;;"583056176503357440";https://twitter.com/ShawnyyXO/status/583056176503357440
ryan_project;2015-03-31 16:59;0;0;"@wyshynski Hell yes. I'm in. I'll wear my flyers sweater.";Brooklyn, NY;@wyshynski;;"583056173798060033";https://twitter.com/ryan_project/status/583056173798060033
troylilly_;2015-03-31 16:59;0;2;"countdown to the reveal @cadillac #CT6 #daregreatly #vscocam #vsconyc @Duggal Greenhouse, Brooklyn… https:// instagram.com/p/06VHEUjP1w/";Brooklyn, NY;@cadillac @Duggal;#CT6 #daregreatly #vscocam #vsconyc;"583056164985970688";https://twitter.com/troylilly_/status/583056164985970688
EpsiloN713;2015-03-31 16:59;0;0;"First Nets game (@Barclays Center - @brooklynnets for @BrooklynNets @Pacers in Brooklyn, NY) https://www. swarmapp.com/c/3ONdoipkuLF";Brooklyn, NY;@Barclays @brooklynnets @BrooklynNets @Pacers;;"583056161789882368";https://twitter.com/EpsiloN713/status/583056161789882368
Dlightme1;2015-03-31 16:59;0;0;"Sometimes you just have to say what u feel and the hell with the rest. She had It coming";Manhattan, NY;;;"583056153447383040";https://twitter.com/Dlightme1/status/583056153447383040
ejdickson;2015-03-31 16:59;0;2;"Should I periscope unboxing this Squatty Potty y/n pic.twitter.com/ErB6ijFB2D";New York, USA;;;"583056152688197634";https://twitter.com/ejdickson/status/583056152688197634
Jackeli82922984;2015-03-31 16:59;0;0;"#NBLNathaliavoto2 #NBLNathaliaVoto";Brooklyn, NY;;#NBLNathaliavoto2 #NBLNathaliaVoto;"583056150142152704";https://twitter.com/Jackeli82922984/status/583056150142152704
Glitter_andNic;2015-03-31 16:59;0;0;"Watching Titanic ,otp.";Irvington, NJ;;;"583056139077722113";https://twitter.com/Glitter_andNic/status/583056139077722113
MMartine23;2015-03-31 16:59;0;0;"@stealthmunk maybe it was 07. Lifetime ago";Manhattan, NY;@stealthmunk;;"583056137941082112";https://twitter.com/MMartine23/status/583056137941082112
moe_1226;2015-03-31 16:59;0;0;"Brook is playing like a monster!";Paterson, NJ;;;"583056130928087040";https://twitter.com/moe_1226/status/583056130928087040
traceylundquist;2015-03-31 16:59;0;0;"#theBREAKFASTclub #theBIGscreen #whaaaaattt #Mylife #myFAVORITEmovie enjolirobin enjolirobin @… https:// instagram.com/p/06VF_LJWzX/";Secaucus, NJ;@;#theBREAKFASTclub #theBIGscreen #whaaaaattt #Mylife #myFAVORITEmovie;"583056127321096193";https://twitter.com/traceylundquist/status/583056127321096193
BrianMurphy24;2015-03-31 16:59;0;2;"The growth of #esports networking and panel event @NYVCSports #NYVC pic.twitter.com/2BbrJCiI3u";Manhattan, NY;@NYVCSports;#esports #NYVC;"583056123265191936";https://twitter.com/BrianMurphy24/status/583056123265191936
Dayiraaa;2015-03-31 16:59;0;0;"LMAOOO BRUHHH";Linden, NJ;;;"583056109046521856";https://twitter.com/Dayiraaa/status/583056109046521856
Christian15466;2015-03-31 16:59;0;0;"Just trying my best but my best ain't good enough.";Clifton, NJ;;;"583056102323056642";https://twitter.com/Christian15466/status/583056102323056642
serina_agnello;2015-03-31 16:59;1;1;"“@MlXEDGODDESS: Can't decide if I want a pretty white boy or a sexy foreign boy” me me me me me me me";Staten Island, NY;@MlXEDGODDESS;;"583056092961357824";https://twitter.com/serina_agnello/status/583056092961357824
XLADYNAYX;2015-03-31 16:59;0;0;"I need to stay off this shit";Brooklyn, NY;;;"583056092877316098";https://twitter.com/XLADYNAYX/status/583056092877316098
JordanRaia1;2015-03-31 16:59;0;0;"I legit just cracked my phone lol";Secaucus, NJ;;;"583056085168349184";https://twitter.com/JordanRaia1/status/583056085168349184
Calligrafist;2015-03-31 16:59;0;0;"We Talk Too Much, Shut Up and Listen... Advice is So Important and When We Listen and Take it in, The… https:// instagram.com/p/06VEvaioia/";Bronx, NY;;;"583056085084426240";https://twitter.com/Calligrafist/status/583056085084426240
Travvie_Dearest;2015-03-31 16:59;0;0;"During Kim and Kyle's fight: does anyone else notice that Kyle never looks Kim in the EYE. But Kim stares her right down. #RHOBH";Brooklyn, NY;;#RHOBH;"583056080529326080";https://twitter.com/Travvie_Dearest/status/583056080529326080
Lucilenny25;2015-03-31 16:59;0;0;"Just posted a photo @Coney Island Boardwalk https:// instagram.com/p/06VEmqoapo/";Brooklyn, NY;@Coney;;"583056079073857536";https://twitter.com/Lucilenny25/status/583056079073857536
TheCarGuy4All;2015-03-31 16:59;0;0;"Per Johan, 8 new models in new segments by 2020 for @Cadillac ? What will these new segments be? Go!";Brooklyn, NY;@Cadillac;;"583056076045701120";https://twitter.com/TheCarGuy4All/status/583056076045701120
GGAve_Bullie;2015-03-31 16:59;1;0;"@1coldest_winter My Baby Girl";Paterson, NJ;@1coldest_winter;;"583056074720280576";https://twitter.com/GGAve_Bullie/status/583056074720280576
frenchhornrebel;2015-03-31 16:59;0;2;"Feels good to be a VIP! @Cadillac @peacebisquit @BrennaEhrlich";Brooklyn, NY;@Cadillac @peacebisquit @BrennaEhrlich;;"583056071549460481";https://twitter.com/frenchhornrebel/status/583056071549460481
jeffrsmall;2015-03-31 16:59;0;0;"Why yes... yes I am. #Fortune @Sammy's Noodle Shop & Grill https:// instagram.com/p/06VD-OxNbL/";Manhattan, NY;@Sammy;#Fortune;"583056061227241472";https://twitter.com/jeffrsmall/status/583056061227241472
manndiekriss;2015-03-31 16:59;1;0;"I ain't shit I know";Bloomfield, NJ;;;"583056056953270272";https://twitter.com/manndiekriss/status/583056056953270272
iyelean;2015-03-31 16:59;0;0;"@chelseaavilaaa I love u too baby gurl";Queens, NY;@chelseaavilaaa;;"583056056793845760";https://twitter.com/iyelean/status/583056056793845760
JuniorTorezani;2015-03-31 16:59;0;0;"@nolouistrouble @wondeerIand de onde surgiu essa amizade?";Queens, NY;@nolouistrouble @wondeerIand;;"583056056424787968";https://twitter.com/JuniorTorezani/status/583056056424787968
summerrito;2015-03-31 16:59;0;0;"nah RT @abake6 : Every chick got 3-5 dudes sending her "good morning beautiful" texts each morning, thats just a fact.";Queens, NY;@abake6;;"583056054201774080";https://twitter.com/summerrito/status/583056054201774080
rubyla;2015-03-31 16:59;0;1;"@alix1 so engrossed in #Cadillac unveiling @Duggal Greenhouse, Brooklyn Navy Yard https:// instagram.com/p/06VDzFTIUR/";Brooklyn, NY;@alix1 @Duggal;#Cadillac;"583056053740371968";https://twitter.com/rubyla/status/583056053740371968
XLADYNAYX;2015-03-31 16:59;0;0;"Depression just fucking sucks and worse part about it is when u have to tell people u guna be alright even tho u feel you won't.";Brooklyn, NY;;;"583056037650952193";https://twitter.com/XLADYNAYX/status/583056037650952193
theproperdrink;2015-03-31 16:59;0;0;"Friends! Family! (@Streetbird Rotisserie in New York, NY) https://www. swarmapp.com/c/iS1xu4ycr3V";Manhattan, NY;@Streetbird;;"583056034614394880";https://twitter.com/theproperdrink/status/583056034614394880
AskJenB;2015-03-31 16:59;0;0;"@SportsGalPal agreed!! Plus our builders provide home warranties!";Manhattan, NY;@SportsGalPal;;"583056031258800128";https://twitter.com/AskJenB/status/583056031258800128
