username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"YoureWholeRTM;2014-08-11 16:59;0;0;""â€œ @TreySongz : We gon come back black as shit!!! http:// instagram.com/p/rk8bHCMz8K/ â€ù I wish I was that phone"";St Louis"," MO;@TreySongz;;""498982166928171010"";https://twitter.com/YoureWholeRTM/status/498982166928171010",,,,,,,,
"MzKennA76;2014-08-11 16:59;0;0;""I'm at Wehrenberg Ronnies 20 Cine in St. Louis"," MO w/ 2 others https://www. swarmapp.com/mzkenna76/chec kin/53e958f5498e44a0ea70c9c7?s=-HA5czdB0jZtq8B__cRJVGS3ndE&ref=tw â€_"";Sappington"," MO;;;""498982147768983552"";https://twitter.com/MzKennA76/status/498982147768983552",,,,,,,
"pwcleveland;2014-08-11 16:59;0;0;""#RobinWilliams passed? And word is suicide? God dammit."";St Louis"," MO;;#RobinWilliams;""498982126831022080"";https://twitter.com/pwcleveland/status/498982126831022080",,,,,,,,
"KRISTal_light_;2014-08-11 16:59;1;20;""HBD to my bff! 20 is pretty old I hope youve had an awesome day&im glad I get to spend it w u!! Love u sugar pic.twitter.com/v1j8N3BSKp"";Crestwood"," MO;;;""498982108304777218"";https://twitter.com/KRISTal_light_/status/498982108304777218",,,,,,,,
"luisdeanda10;2014-08-11 16:59;1;0;""It's awesome how one person can ruin everything!"";Fairmont City"," IL;;;""498982101094764545"";https://twitter.com/luisdeanda10/status/498982101094764545",,,,,,,,
"daniellesmyname;2014-08-11 16:59;0;0;""I'm at The @BoathouseStl in St. Louis"," MO https://www. swarmapp.com/daniellesmynam e/checkin/53e958d9498e6880859884ec?s=ObuB3Cyvv_cMb38eJdQ6HFoNbhI&ref=tw â€_"";St Louis"," MO;@BoathouseStl;;""498982071738859522"";https://twitter.com/daniellesmyname/status/498982071738859522",,,,,,,
"JazzStewart;2014-08-11 16:59;0;0;""#RIPRobinWilliams"";Dellwood"," MO;;#RIPRobinWilliams;""498982063513427968"";https://twitter.com/JazzStewart/status/498982063513427968",,,,,,,,
"HOxenreider;2014-08-11 16:59;0;0;""â€œ @TumbIrsPosts : You will always be remembered. RIP part of my childhood. #RIPRobinWilliams https://twitter.com/TumbIrsPosts/status/498981711892344832/photo/1 pic.twitter.com/iCERxozniI â€ù"";Marlborough"," MO;@TumbIrsPosts;#RIPRobinWilliams;""498982057557504003"";https://twitter.com/HOxenreider/status/498982057557504003",,,,,,,,
"EmsJems_38;2014-08-11 16:59;0;0;""Worst. Day. Ever."";Missouri"," USA;;;""498982047890034689"";https://twitter.com/EmsJems_38/status/498982047890034689",,,,,,,,
"Mitch_belinski;2014-08-11 16:59;0;0;""Video: Protester justifies the looting in Ferguson http:// go.fox2now.com/1q5medP via @fox2now interesting"";St Charles"," MO;@fox2now;;""498982043242344448"";https://twitter.com/Mitch_belinski/status/498982043242344448",,,,,,,,
"Nate_Blair53;2014-08-11 16:59;0;0;""Man I can't believe robin Williams is dead"";St Charles"," MO;;;""498982027605979137"";https://twitter.com/Nate_Blair53/status/498982027605979137",,,,,,,,
"Zjohn893;2014-08-11 16:59;0;5;""I can't believe it. He didn't write it but how he delivered this monologue changed my view on love. #RestEasy pic.twitter.com/HK3HDKkVYw"";Wood River"," IL;;#RestEasy;""498982025068810240"";https://twitter.com/Zjohn893/status/498982025068810240",,,,,,,,
"cama_getyonumba;2014-08-11 16:59;0;23;""what I get for living by the galleria"";Ladue"," MO;;;""498982017971675138"";https://twitter.com/cama_getyonumba/status/498982017971675138",,,,,,,,
"HOxenreider;2014-08-11 16:59;1;1;""@HOxenreider : A big part if my childhood is now missing. You will be missed by all @robinwilliams #riprobinwilliams pic.twitter.com/xWr99DqXns"";Marlborough"," MO;@HOxenreider @robinwilliams;#riprobinwilliams;""498982003895586816"";https://twitter.com/HOxenreider/status/498982003895586816",,,,,,,,
"YoureWholeRTM;2014-08-11 16:59;0;0;""@SheIsLoveli fat ass"";St Louis"," MO;@SheIsLoveli;;""498982002805071875"";https://twitter.com/YoureWholeRTM/status/498982002805071875",,,,,,,,
"tyrantstyra;2014-08-11 16:59;1;2;""If anyone needs/wants to talk I will always be available to."";Missouri"," USA;;;""498981981175021568"";https://twitter.com/tyrantstyra/status/498981981175021568",,,,,,,,
"MariposaAlpacas;2014-08-11 16:58;0;0;""I'm at Dog Sports At Kim's in Caseyville"," IL https://www. swarmapp.com/mariposaalpaca s/checkin/53e958b8498e5a0ca7a32fb7?s=wYgG5PIN44H_B-rL1YqY-sfY4gM&ref=tw â€_"";Illinois"," USA;;;""498981891517980672"";https://twitter.com/MariposaAlpacas/status/498981891517980672",,,,,,,
"the_stevewilson;2014-08-11 16:58;0;1;""I hate getting lectured by the foreman... @The Magic House"," St. Louis Children's Museum http:// instagram.com/p/rk8jZ9qnZB/"";Kirkwood"," MO;@The;;""498981881862303744"";https://twitter.com/the_stevewilson/status/498981881862303744",,,,,,,
"meeeee15_;2014-08-11 16:58;0;0;""damnnnn"";Venice"," IL;;;""498981878620102657"";https://twitter.com/meeeee15_/status/498981878620102657",,,,,,,,
"smplymarvalous;2014-08-11 16:58;0;0;""@NAACP they've made it impossible for the community to unite and hear your message. #MikeBrown pic.twitter.com/xAoswqg0bQ"";Normandy"," MO;@NAACP;#MikeBrown;""498981867933433856"";https://twitter.com/smplymarvalous/status/498981867933433856",,,,,,,,
"rissa_stacks;2014-08-11 16:58;0;0;""@K_Aliyahh no fam I'm out here"";Brentwood"," MO;@K_Aliyahh;;""498981824493006848"";https://twitter.com/rissa_stacks/status/498981824493006848",,,,,,,,
"tyrantstyra;2014-08-11 16:58;0;0;""@maddyson2442 oh my goodness..."";Missouri"," USA;@maddyson2442;;""498981820696780802"";https://twitter.com/tyrantstyra/status/498981820696780802",,,,,,,,
"Gary_Wilson14;2014-08-11 16:58;0;1;""Everybody got dreads done here!!!"";Ferguson"," MO;;;""498981802145771520"";https://twitter.com/Gary_Wilson14/status/498981802145771520",,,,,,,,
"JoeKonrad515;2014-08-11 16:58;0;0;""Local mall that I was just at yesterday on lockdown.. Dang I miss Iowa"";St Louis"," MO;;;""498981786463248384"";https://twitter.com/JoeKonrad515/status/498981786463248384",,,,,,,,
"gwyn_becker;2014-08-11 16:58;0;0;""@DericBecker back to school!"";Creve Coeur"," MO;@DericBecker;;""498981744968597504"";https://twitter.com/gwyn_becker/status/498981744968597504",,,,,,,,
"thesarahrosex;2014-08-11 16:58;0;0;""@StephenArrr I wanna go up there so bad lol"";Maplewood"," MO;@StephenArrr;;""498981729453871104"";https://twitter.com/thesarahrosex/status/498981729453871104",,,,,,,,
"HEELNelsz;2014-08-11 16:58;0;0;""""@Bigboybeezy: Let Bill Cosby die i'mma lose my fucking mind""if he died the wrong gonna explode that same day"";University City"," MO;@Bigboybeezy;;""498981718687117312"";https://twitter.com/HEELNelsz/status/498981718687117312",,,,,,,,
"JennaHanchardK5;2014-08-11 16:58;0;0;""@JoanneKSumner thank you for the updates!"";Overland"," MO;@JoanneKSumner;;""498981715927642113"";https://twitter.com/JennaHanchardK5/status/498981715927642113",,,,,,,,
"raisin_brynn1;2014-08-11 16:58;1;12;""""Oh Captain"," my Captain"" pic.twitter.com/YaiCuyeCs5"";Kirkwood"," MO;;;""498981714299875328"";https://twitter.com/raisin_brynn1/status/498981714299875328",,,,,,,
"nothingscarsme;2014-08-11 16:58;1;0;""I'm ready to Purge"";St Louis"," MO;;;""498981706976604161"";https://twitter.com/nothingscarsme/status/498981706976604161",,,,,,,,
"cobitate;2014-08-11 16:57;2;8;""low life hoodlums ruin everything good in #STL"";Florissant"," MO;;#STL;""498981674894368768"";https://twitter.com/cobitate/status/498981674894368768",,,,,,,,
"witty_ryan;2014-08-11 16:57;0;1;""@EmChoww lol don't judge me"";St Charles"," MO;@EmChoww;;""498981597341691904"";https://twitter.com/witty_ryan/status/498981597341691904",,,,,,,,
"captainn_morgyy;2014-08-11 16:57;1;1;""@dominicbiondo1 's smile in his snapchat story though"";Florissant"," MO;@dominicbiondo1;;""498981590593060864"";https://twitter.com/captainn_morgyy/status/498981590593060864",,,,,,,,
"jmachetta;2014-08-11 16:57;0;0;""Crowds overwhelm NAACP gathering in Ferguson"," where chants of ""No Justice"," No Peace"" ring out. pic.twitter.com/A1AVqM6Miv"";Normandy"," MO;;;""498981580485185536"";https://twitter.com/jmachetta/status/498981580485185536",,,,,,
"iamJasmyne_;2014-08-11 16:57;0;0;""Ya taking advantage of this huh. Selfish asses."";Spanish Lake"," MO;;;""498981579880820736"";https://twitter.com/iamJasmyne_/status/498981579880820736",,,,,,,,
"Abuv_Standards;2014-08-11 16:57;0;0;""@williba85 @_JustNae_ you really be hating"";Missouri"," USA;@williba85 @_JustNae_;;""498981578295746560"";https://twitter.com/Abuv_Standards/status/498981578295746560",,,,,,,,
"Biblio_Liz;2014-08-11 16:57;0;0;""Robin Williams dead from apparent suicide. Beyond devastating."";St Louis"," MO;;;""498981577464897536"";https://twitter.com/Biblio_Liz/status/498981577464897536",,,,,,,,
"K_XII;2014-08-11 16:57;0;0;""Ppl are losing it here"";St Louis"," MO;;;""498981563279761409"";https://twitter.com/K_XII/status/498981563279761409",,,,,,,,
"Its_Mya_W;2014-08-11 16:57;0;0;""#mikebrown #noco #uniting #praying #community @Murchison Tabernacle Christian Methodist Episcopal Church http:// instagram.com/p/rk8YgcGH2O/"";Normandy"," MO;@Murchison;#mikebrown #noco #uniting #praying #community;""498981507763929089"";https://twitter.com/Its_Mya_W/status/498981507763929089",,,,,,,,
"gwyn_becker;2014-08-11 16:57;0;1;""@dylanericbecker this is so true! When you're happy"," you're more content at home"";Creve Coeur"," MO;@dylanericbecker;;""498981500419706880"";https://twitter.com/gwyn_becker/status/498981500419706880",,,,,,,
"YoureWholeRTM;2014-08-11 16:57;0;0;""Y'all all saying this but I know the real story about what happen ."";St Louis"," MO;;;""498981499014627328"";https://twitter.com/YoureWholeRTM/status/498981499014627328",,,,,,,,
"K_XII;2014-08-11 16:57;0;0;""Ready to get out of St. Louis"";St Louis"," MO;;;""498981474993848320"";https://twitter.com/K_XII/status/498981474993848320",,,,,,,,
"babydoll_1961;2014-08-11 16:57;0;0;""Robin williams will keep heaven in stitches. God bless you Robin. No more pain."";St Charles"," MO;;;""498981463446933504"";https://twitter.com/babydoll_1961/status/498981463446933504",,,,,,,,
"tyler_treynolds;2014-08-11 16:57;0;2;""The one time I watch news and all of this shit is happening"";Granite City"," IL;;;""498981449903534081"";https://twitter.com/tyler_treynolds/status/498981449903534081",,,,,,,,
"dan_vanonymous;2014-08-11 16:56;0;3;""Robin Williams made me feel good about myself once in a far away and scary place. Thanks for that"," funny man. pic.twitter.com/ee7AZ4ezB2"";St Louis"," MO;;;""498981424348020737"";https://twitter.com/dan_vanonymous/status/498981424348020737",,,,,,,
"kara_spears;2014-08-11 16:56;0;0;""Happy birthday @yoyoitscody"";East Alton"," IL;@yoyoitscody;;""498981334363029504"";https://twitter.com/kara_spears/status/498981334363029504",,,,,,,,
"CreeLuv314;2014-08-11 16:56;0;0;""Per @FOX2now there was fight at the galleria!"";Berkeley"," MO;@FOX2now;;""498981333557731331"";https://twitter.com/CreeLuv314/status/498981333557731331",,,,,,,,
"stephensinner;2014-08-11 16:56;0;0;""the thing is"," to have a life before we die. it can be a real adventure having a life - jenny fields 'the world according to garp' #RIPRobin"";Kirkwood"," MO;;#RIPRobin;""498981328046415873"";https://twitter.com/stephensinner/status/498981328046415873",,,,,,,
"ColinTSBusby;2014-08-11 16:56;0;0;""@50inthe314 TouchÃ©. Just don't think anything he ever did was funny."";St Louis"," MO;@50inthe314;;""498981319590703104"";https://twitter.com/ColinTSBusby/status/498981319590703104",,,,,,,,
"MyVoiceSTL;2014-08-11 16:56;0;0;""Go ahead Mayor of Berkeley!!! All we want is justice! All other stuff is a distraction!"";St Louis"," MO;;;""498981316935696386"";https://twitter.com/MyVoiceSTL/status/498981316935696386",,,,,,,,
"EMILYstew13;2014-08-11 16:56;0;2;""fav pic.twitter.com/GXdMy0I2R6"";Edwardsville"," IL;;;""498981313186394113"";https://twitter.com/EMILYstew13/status/498981313186394113",,,,,,,,
"JazzStewart;2014-08-11 16:56;0;0;""The fight at the mall had nothing to do with #MikeBrown"";Dellwood"," MO;;#MikeBrown;""498981299978117120"";https://twitter.com/JazzStewart/status/498981299978117120",,,,,,,,
"Gary_Wilson14;2014-08-11 16:56;0;1;""ITS CRAZY DOWN HERE!!"";Ferguson"," MO;;;""498981227769372672"";https://twitter.com/Gary_Wilson14/status/498981227769372672",,,,,,,,
"HussBus8;2014-08-11 16:56;0;4;""Everytime I come to mid rivers mall I walk past Charley's to get a free sample not because I want to but because I have to"";St Peters"," MO;;;""498981206948470784"";https://twitter.com/HussBus8/status/498981206948470784",,,,,,,,
"kaylanicole_28;2014-08-11 16:56;0;1;""gah if someone were to bring me smoothie king"";Missouri"," USA;;;""498981197448351744"";https://twitter.com/kaylanicole_28/status/498981197448351744",,,,,,,,
"LoveableKae;2014-08-11 16:55;0;0;""@MansoorMusic I like it"," thanks for suggesting it."";Lemay"," MO;@MansoorMusic;;""498981168658649089"";https://twitter.com/LoveableKae/status/498981168658649089",,,,,,,
"HollyVonDoom;2014-08-11 16:55;0;1;""Goodbye Robin Williams... You were cherished and the world grieves for you..."";Missouri"," USA;;;""498981161075372033"";https://twitter.com/HollyVonDoom/status/498981161075372033",,,,,,,,
"kitchenchef;2014-08-11 16:55;0;0;""Scallops to be used in a frisÃ©e salad! We love Kirk Warner's classes! @Kitchen Conservatory http:// instagram.com/p/rk8OWtTeoG/"";Clayton"," MO;@Kitchen;;""498981158680403969"";https://twitter.com/kitchenchef/status/498981158680403969",,,,,,,,
