username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Love_2hateme;2016-01-01 15:59;0;0;"#slayed #healthyhair #hairbyshann #protectivestyling #shortcut #thecutlife #dmvhairstylist … https://www. instagram.com/p/BABAaqllPLl/";Towson, MD;;#slayed #healthyhair #hairbyshann #protectivestyling #shortcut #thecutlife #dmvhairstylist;"683075013235322881";https://twitter.com/Love_2hateme/status/683075013235322881
jeffreyprice;2016-01-01 15:59;0;0;"RT @MountVernon : On Jan 1, 1776, the Grand Union flag is unfurled by #GeorgeWashington over the American encampment. pic.twitter.com/Wmjl8rVQ9w";Baltimore, MD;@MountVernon;#GeorgeWashington;"683074981589331968";https://twitter.com/jeffreyprice/status/683074981589331968
Mosions101;2016-01-01 15:58;0;0;"I did dat @Towson University Marriott Conference Hotel https://www. instagram.com/p/BABAWPlNqWO/";Towson, MD;@Towson;;"683074874806423554";https://twitter.com/Mosions101/status/683074874806423554
relley69;2016-01-01 15:57;0;0;"2016..... I plan to drink more #aqua @Baltimore City Police Headquarters https://www. instagram.com/p/BABARUCMNQ_/";Baltimore, MD;@Baltimore;#aqua;"683074703775240192";https://twitter.com/relley69/status/683074703775240192
jeffreyprice;2016-01-01 15:55;0;1;"@ProseccoAndPups that would be sexist - can’t promote male only products. What if some random lady out there really wants to try Just 4 Men?";Baltimore, MD;@ProseccoAndPups;;"683074100433170434";https://twitter.com/jeffreyprice/status/683074100433170434
Love_2hateme;2016-01-01 15:55;0;0;"#slayed #knothegrl #weavewhet #weavemaitnence #hairbyshann #sheslays #showoffs #healthyhair … https://www. instagram.com/p/BAA__RBlPKm/";Towson, MD;;#slayed #knothegrl #weavewhet #weavemaitnence #hairbyshann #sheslays #showoffs #healthyhair;"683074072075452416";https://twitter.com/Love_2hateme/status/683074072075452416
tweetnIGNANTish;2016-01-01 15:55;0;0;"I'm at BP Terminal in Baltimore, MD https://www. swarmapp.com/c/jabrNGHa1rD";Brooklyn Park, MD;;;"683074017625026564";https://twitter.com/tweetnIGNANTish/status/683074017625026564
djmlove2013;2016-01-01 15:54;0;0;"Big brother on ft with Dyls he miss his Lil brother @… https://www. instagram.com/p/BAA_4DKFe8Ee zQd6hUlM76f-yWWlrDAaHzq2j00/ …";Baltimore, MD;@;;"683073844907651072";https://twitter.com/djmlove2013/status/683073844907651072
HarrisForBmore;2016-01-01 15:51;1;1;"Happy New Year! pic.twitter.com/7vLBaHHMAW";Baltimore, MD;;;"683073168777560064";https://twitter.com/HarrisForBmore/status/683073168777560064
Scarly53;2016-01-01 15:48;0;0;"Taking my Cuz out for birthday dinner. Happy birthday beautiful girl! @Ryleigh's Oyster Mount… https://www. instagram.com/p/BAA_LjUtpma/";Baltimore, MD;@Ryleigh;;"683072296009994240";https://twitter.com/Scarly53/status/683072296009994240
attCAREERS;2016-01-01 15:41;0;0;"#BusinessMgmt #Job in #Columbia , MD: AJ Information Assurance Manager at AT&T http:// bit.ly/1NpncOd #Jobs #Hiring pic.twitter.com/mJSDahJRw0";Maryland, USA;;#BusinessMgmt #Job #Columbia #Jobs #Hiring;"683070659673522176";https://twitter.com/attCAREERS/status/683070659673522176
PCfromDC;2016-01-01 15:41;0;0;"we are back to start the new year right! (@mod pizza in Columbia, MD) https://www. swarmapp.com/c/4srlVXpGbTy";Maryland, USA;@mod;;"683070638446243840";https://twitter.com/PCfromDC/status/683070638446243840
_BaltimoreMD;2016-01-01 15:40;0;0;"temperature down 41°F -> 39°F humidity up 51% -> 53% wind 14mph -> 10mph pressure 30.09in rising";Baltimore, MD;;;"683070362934874113";https://twitter.com/_BaltimoreMD/status/683070362934874113
buckjoneslegend;2016-01-01 15:40;1;1;"28 DAYS TILL PART TWO #PARADOXTHEREUNION 30NOVER 11PM until… https://www. instagram.com/p/BAA-S1VSq3it s4pabwU4CIi0VU3tJeHnACGa9k0/ …";Baltimore, MD;;#PARADOXTHEREUNION;"683070350654046209";https://twitter.com/buckjoneslegend/status/683070350654046209
David_Wilen;2016-01-01 15:38;0;0;"Food time (@Yuki Sushi in Owings Mills, MD) https://www. swarmapp.com/c/b5wGCcykMEz";Owings Mills, MD;@Yuki;;"683069749861941249";https://twitter.com/David_Wilen/status/683069749861941249
ChrisHeisey;2016-01-01 15:37;0;0;"Ermagoodness #date night @Outback Steakhouse - Perry Hall https://www. instagram.com/p/BAA950xqf7Jv cc1DJuvJs75s50I3oQTHfGtCDs0/ …";Perry Hall, MD;@Outback;#date;"683069488091234304";https://twitter.com/ChrisHeisey/status/683069488091234304
